rand,Avg_max_fit,Gen,Dataset,CosDist,Hof
17898,56.15,45,"[6, 6, 6, 6]",0.2440710539815456,"concatenate(addOneAll(addOneAll(mul([4], sub([4], [9])))), div(if_then_else(repeat(sub([7], [2])), addOneAll(add([4], mul([10], [4]))), add(repeat([2]), add([5], [6])), if_then_else(div([1], [12]), concatenate([1], [11]), if_then_else([13], [8], [3], [9]), repeat([3]))), div(concatenate(concatenate([12], [5]), repeat([9])), if_then_else(repeat([8]), sub([12], [8]), concatenate([5], [5]), div([8], [5])))))","[13, 6, 6, 2, 1]"
18497,56.022,39,"[6, 6, 6, 6]",0.33333333333333337,"concatenate(concatenate(repeat([2]), [6]), add(if_then_else([13], sub([4], if_then_else([7], [6], [3], [13])), [2], div(addOneAll([3]), [13])), add([11], [5])))","[2, 2, 6, 13, 6]"
19119,56.256,36,"[6, 6, 6, 6]",0.33333333333333337,"sub(if_then_else([6], subOneAll(subOneAll(div(if_then_else([8], [2], [11], [5]), if_then_else([7], [10], [12], [6])))), repeat(repeat(addOneAll(if_then_else([8], [11], [3], [10])))), div(repeat(add(repeat([3]), mul([3], [12]))), concatenate(addOneAll(add([6], [13])), add(add([7], [1]), repeat([5]))))), repeat(addOneAll(if_then_else([8], [11], [3], [10]))))","[6, 3, 2, 3, 6]"
19706,56.067,39,"[6, 6, 6, 6]",0.2440710539815456,"concatenate(mul(div(concatenate(if_then_else([6], [12], [12], [7]), repeat([2])), add(addOneAll([1]), addOneAll([1]))), addOneAll(subOneAll(subOneAll([13])))), add(div(subOneAll([3]), add(sub([1], [6]), [3])), subOneAll(add(subOneAll([13]), add([3], [1])))))","[6, 12, 2, 13, 6]"
20273,56.6,41,"[6, 6, 6, 6]",0.42264973081037416,"repeat(if_then_else(subOneAll([7]), div(add(repeat([5]), div([7], [1])), mul(add([11], [8]), subOneAll([3]))), div(add(concatenate([7], [3]), addOneAll([8])), if_then_else(subOneAll([5]), repeat([1]), sub([6], [4]), concatenate([4], [2]))), addOneAll(div(repeat([10]), addOneAll([8])))))","[6, 11, 3, 6, 11, 3]"
