optimal,Max_fit,Gen,Dataset,Dist,Hof
142707,14.0,35,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",4,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
142762,14.0,30,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",4,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
142820,14.0,33,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",4,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
142876,14.0,36,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",4,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
142931,14.0,32,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",4,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
142987,14.0,29,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",4,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
143047,14.0,30,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",4,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
143106,14.0,29,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",4,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
143166,14.0,37,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",4,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
143220,14.0,33,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",4,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
