gen,nevals,avg,min,max
25,78,[109.61111111  60.42222222],[-1000.     5.],[ 175. 1000.]
26,73,[161.92222222  16.16666667],[-1000.     5.],[ 175. 1000.]
27,80,[122.73333333  49.3       ],[-1000.     5.],[ 175. 1000.]
28,75,[174.97777778   5.06666667],[174.   5.],[175.   6.]
29,68,[148.86666667  27.17777778],[-1000.     5.],[ 175. 1000.]
30,70,[135.81111111  38.25555556],[-1000.     5.],[ 175. 1000.]
31,75,[174.9          5.17777778],[172.   5.],[175.  12.]
32,65,[135.81111111  38.27777778],[-1000.     5.],[ 175. 1000.]
33,72,[148.85555556  27.2       ],[-1000.     5.],[ 175. 1000.]
34,77,[148.87777778  27.13333333],[-1000.     5.],[ 175. 1000.]
35,71,[148.87777778  27.13333333],[-1000.     5.],[ 175. 1000.]
36,76,[174.98888889   5.04444444],[174.   5.],[175.   6.]
37,76,[161.88888889  16.2       ],[-1000.     5.],[ 175. 1000.]
38,74,[161.92222222  16.07777778],[-1000.     5.],[ 175. 1000.]
39,70,[174.97777778   5.05555556],[174.   5.],[175.   6.]
40,73,[161.93333333  16.14444444],[-1000.     5.],[ 175. 1000.]
41,66,[148.87777778  27.11111111],[-1000.     5.],[ 175. 1000.]
42,64,[174.98888889   5.01111111],[174.   5.],[175.   6.]
43,70,[135.81111111  38.21111111],[-1000.     5.],[ 175. 1000.]
44,72,[174.98888889   5.03333333],[174.   5.],[175.   6.]
45,78,[174.98888889   5.03333333],[174.   5.],[175.   6.]
46,74,[175.           5.02222222],[175.   5.],[175.   6.]
47,74,[161.9         16.11111111],[-1000.     5.],[ 175. 1000.]
48,78,[135.8  38.2],[-1000.     5.],[ 175. 1000.]
49,64,[161.92222222  16.46666667],[-1000.     5.],[ 175. 1000.]
50,70,[161.93333333  16.07777778],[-1000.     5.],[ 175. 1000.]
51,77,[174.98888889   5.04444444],[174.   5.],[175.   6.]
52,82,[122.76666667  49.26666667],[-1000.     5.],[ 175. 1000.]
53,75,[174.97777778   5.03333333],[174.   5.],[175.   6.]
54,62,[174.98888889   5.01111111],[174.   5.],[175.   6.]
55,73,[161.92222222  16.15555556],[-1000.     5.],[ 175. 1000.]
56,72,[161.94444444  16.06666667],[-1000.     5.],[ 175. 1000.]
57,78,[174.98888889   5.01111111],[174.   5.],[175.   6.]
58,58,[161.93333333  16.11111111],[-1000.     5.],[ 175. 1000.]
59,72,[148.86666667  27.22222222],[-1000.     5.],[ 175. 1000.]
60,69,[175.           5.01111111],[175.   5.],[175.   6.]
,,,,
gen,nevals,avg,min,max
0,90,[-609.04444444  670.01111111],[-1000.     7.],[ 175. 1000.]
1,72,[-35.08888889 185.38888889],[-1000.     7.],[ 175. 1000.]
2,67,[109.41111111  63.72222222],[-1000.     7.],[ 175. 1000.]
3,76,[161.82222222  18.44444444],[-1000.     7.],[ 175. 1000.]
4,72,[135.76666667  40.2       ],[-1000.     7.],[ 175. 1000.]
5,67,[135.63333333  40.4       ],[-1000.     6.],[ 175. 1000.]
6,75,[148.68888889  29.41111111],[-1000.     7.],[ 175. 1000.]
7,64,[135.7         40.43333333],[-1000.     7.],[ 175. 1000.]
8,69,[135.74444444  40.2       ],[-1000.     6.],[ 175. 1000.]
9,76,[109.57777778  62.22222222],[-1000.     6.],[ 175. 1000.]
10,72,[122.65555556  51.47777778],[-1000.     6.],[ 175. 1000.]
11,79,[161.83333333  18.26666667],[-1000.     7.],[ 175. 1000.]
12,71,[174.92222222   7.05555556],[173.   7.],[175.  10.]
13,72,[148.84444444  29.1       ],[-1000.     7.],[ 175. 1000.]
14,68,[148.78888889  29.37777778],[-1000.     7.],[ 175. 1000.]
15,73,[109.63333333  62.25555556],[-1000.     7.],[ 175. 1000.]
16,71,[161.85555556  18.45555556],[-1000.     7.],[ 175. 1000.]
17,78,[174.87777778   7.12222222],[173.   7.],[175.  10.]
18,79,[161.86666667  18.18888889],[-1000.     6.],[ 175. 1000.]
19,62,[148.81111111  29.13333333],[-1000.     6.],[ 175. 1000.]
20,76,[161.93333333  18.05555556],[-1000.     7.],[ 175. 1000.]
21,79,[148.82222222  29.11111111],[-1000.     7.],[ 175. 1000.]
22,78,[135.72222222  40.13333333],[-1000.     7.],[ 175. 1000.]
23,63,[161.86666667  18.11111111],[-1000.     7.],[ 175. 1000.]
24,79,[161.9         18.08888889],[-1000.     7.],[ 175. 1000.]
25,72,[161.92222222  18.03333333],[-1000.     7.],[ 175. 1000.]
26,67,[161.87777778  18.06666667],[-1000.     7.],[ 175. 1000.]
27,80,[148.82222222  29.15555556],[-1000.     7.],[ 175. 1000.]
28,68,[135.76666667  40.2       ],[-1000.     7.],[ 175. 1000.]
29,76,[122.75555556  51.24444444],[-1000.     7.],[ 175. 1000.]
30,72,[161.87777778  18.17777778],[-1000.     7.],[ 175. 1000.]
31,81,[174.96666667   7.01111111],[174.   7.],[175.   8.]
32,74,[174.98888889   7.02222222],[174.   7.],[175.   9.]
33,67,[148.83333333  29.21111111],[-1000.     7.],[ 175. 1000.]
34,83,[161.94444444  18.03333333],[-1000.     7.],[ 175. 1000.]
35,73,[161.94444444  18.04444444],[-1000.     7.],[ 175. 1000.]
36,69,[174.95555556   7.06666667],[173.   7.],[175.  11.]
37,77,[174.96666667   7.03333333],[174.   7.],[175.   8.]
38,70,[161.9  18.2],[-1000.     7.],[ 175. 1000.]
39,76,[161.9  18.1],[-1000.     7.],[ 175. 1000.]
40,73,[174.93333333   7.18888889],[173.   7.],[175.  16.]
41,58,[174.94444444   7.07777778],[174.   7.],[175.  11.]
42,74,[161.93333333  18.04444444],[-1000.     7.],[ 175. 1000.]
43,78,[174.98888889   7.02222222],[174.   7.],[175.   8.]
44,72,[174.97777778   7.01111111],[173.   7.],[175.   8.]
45,74,[174.95555556   7.31111111],[172.   7.],[175.  34.]
46,70,[161.93333333  18.03333333],[-1000.     7.],[ 175. 1000.]
47,70,[148.85555556  29.07777778],[-1000.     7.],[ 175. 1000.]
48,76,[161.93333333  18.04444444],[-1000.     7.],[ 175. 1000.]
49,72,[161.85555556  18.26666667],[-1000.     7.],[ 175. 1000.]
50,70,[174.97777778   7.02222222],[173.   7.],[175.   8.]
51,74,[161.9         18.07777778],[-1000.     7.],[ 175. 1000.]
52,64,[161.92222222  18.11111111],[-1000.     7.],[ 175. 1000.]
53,70,[174.97777778   7.03333333],[174.   7.],[175.  10.]
54,72,[174.97777778   7.17777778],[174.   7.],[175.  23.]
55,73,[161.9         18.14444444],[-1000.     7.],[ 175. 1000.]
56,76,[174.98888889   7.01111111],[174.   7.],[175.   8.]
57,68,[161.94444444  18.03333333],[-1000.     7.],[ 175. 1000.]
58,78,[161.94444444  18.08888889],[-1000.     7.],[ 175. 1000.]
59,59,[161.92222222  18.03333333],[-1000.     7.],[ 175. 1000.]
60,65,[174.96666667   7.06666667],[174.   7.],[175.  10.]
,,,,
gen,nevals,avg,min,max
0,90,[-661.16666667  713.77777778],[-1000.     7.],[ 175. 1000.]
1,71,[ 17.07777778 141.26666667],[-1000.     6.],[ 175. 1000.]
2,63,[70.25555556 96.68888889],[-1000.     6.],[ 175. 1000.]
3,81,[135.71111111  39.9       ],[-1000.     6.],[ 175. 1000.]
4,74,[161.8  17.3],[-1000.     6.],[ 175. 1000.]
5,75,[96.58888889 72.37777778],[-1000.     6.],[ 175. 1000.]
6,79,[161.81111111  17.22222222],[-1000.     6.],[ 175. 1000.]
7,71,[161.8         17.28888889],[-1000.     6.],[ 175. 1000.]
8,71,[109.6         61.46666667],[-1000.     6.],[ 175. 1000.]
9,72,[135.82222222  39.15555556],[-1000.     6.],[ 175. 1000.]
10,81,[135.68888889  39.33333333],[-1000.     5.],[ 175. 1000.]
11,74,[161.92222222  17.1       ],[-1000.     6.],[ 175. 1000.]
12,71,[161.86666667  17.16666667],[-1000.     6.],[ 175. 1000.]
13,68,[122.68888889  50.3       ],[-1000.     5.],[ 175. 1000.]
14,72,[161.82222222  17.24444444],[-1000.     5.],[ 175. 1000.]
15,73,[161.83333333  17.18888889],[-1000.     6.],[ 175. 1000.]
16,75,[161.83333333  17.24444444],[-1000.     6.],[ 175. 1000.]
17,71,[148.8         28.15555556],[-1000.     5.],[ 175. 1000.]
18,76,[148.78888889  28.25555556],[-1000.     6.],[ 175. 1000.]
19,75,[174.93333333   6.17777778],[173.   6.],[175.  13.]
20,76,[161.87777778  17.13333333],[-1000.     5.],[ 175. 1000.]
21,76,[161.9         17.01111111],[-1000.     5.],[ 175. 1000.]
22,69,[161.88888889  16.72222222],[-1000.     5.],[ 175. 1000.]
23,83,[148.88888889  27.27777778],[-1000.     5.],[ 175. 1000.]
24,71,[161.91111111  16.11111111],[-1000.     5.],[ 175. 1000.]
25,68,[148.87777778  27.11111111],[-1000.     5.],[ 175. 1000.]
26,70,[174.97777778   5.05555556],[174.   5.],[175.   7.]
27,64,[148.88888889  27.13333333],[-1000.     5.],[ 175. 1000.]
28,75,[161.93333333  16.11111111],[-1000.     5.],[ 175. 1000.]
29,73,[135.8         38.28888889],[-1000.     5.],[ 175. 1000.]
30,72,[122.75555556  49.42222222],[-1000.     5.],[ 175. 1000.]
31,68,[174.98888889   5.        ],[174.   5.],[175.   5.]
32,63,[161.93333333  16.14444444],[-1000.     5.],[ 175. 1000.]
33,72,[161.93333333  16.06666667],[-1000.     5.],[ 175. 1000.]
34,66,[148.84444444  27.14444444],[-1000.     5.],[ 175. 1000.]
35,74,[174.98888889   5.02222222],[174.   5.],[175.   6.]
36,84,[148.87777778  27.11111111],[-1000.     5.],[ 175. 1000.]
37,72,[161.93333333  16.06666667],[-1000.     5.],[ 175. 1000.]
38,68,[174.97777778   5.04444444],[174.   5.],[175.   7.]
39,72,[174.97777778   5.04444444],[173.   5.],[175.   7.]
40,72,[174.97777778   5.03333333],[173.   5.],[175.   7.]
41,63,[175.   5.],[175.   5.],[175.   5.]
42,80,[122.75555556  49.23333333],[-1000.     5.],[ 175. 1000.]
43,84,[174.98888889   5.        ],[174.   5.],[175.   5.]
44,76,[174.98888889   5.        ],[174.   5.],[175.   5.]
45,72,[174.97777778   5.04444444],[174.   5.],[175.   9.]
46,67,[175.   5.],[175.   5.],[175.   5.]
47,78,[161.94444444  16.06666667],[-1000.     5.],[ 175. 1000.]
48,69,[161.94444444  16.05555556],[-1000.     5.],[ 175. 1000.]
49,72,[161.92222222  16.15555556],[-1000.     5.],[ 175. 1000.]
50,65,[174.87777778   5.21111111],[166.   5.],[175.  18.]
51,74,[174.98888889   5.04444444],[174.   5.],[175.   7.]
52,73,[161.91111111  16.24444444],[-1000.     5.],[ 175. 1000.]
53,72,[161.93333333  16.05555556],[-1000.     5.],[ 175. 1000.]
54,72,[175.   5.],[175.   5.],[175.   5.]
55,62,[174.97777778   5.05555556],[173.   5.],[175.   7.]
56,70,[174.98888889   5.        ],[174.   5.],[175.   5.]
57,81,[161.94444444  16.07777778],[-1000.     5.],[ 175. 1000.]
58,76,[175.           5.06666667],[175.   5.],[175.  11.]
59,78,[174.96666667   5.04444444],[173.   5.],[175.   7.]
60,73,[174.93333333   5.08888889],[170.   5.],[175.  10.]
,,,,
gen,nevals,avg,min,max
0,90,[-765.16666667  801.86666667],[-1000.     7.],[ 175. 1000.]
1,66,[-269.31111111  383.75555556],[-1000.     7.],[ 175. 1000.]
2,76,[83.32222222 85.13333333],[-1000.     6.],[ 175. 1000.]
3,66,[ 44.05555556 118.04444444],[-1000.     6.],[ 175. 1000.]
4,66,[ -8.01111111 161.27777778],[-1000.     6.],[ 175. 1000.]
5,62,[109.46666667  62.07777778],[-1000.     6.],[ 175. 1000.]
6,68,[70.42222222 94.76666667],[-1000.     6.],[ 175. 1000.]
7,67,[96.37777778 72.95555556],[-1000.     5.],[ 175. 1000.]
8,82,[ 17.83333333 139.37777778],[-1000.     5.],[ 175. 1000.]
9,83,[70.41111111 94.73333333],[-1000.     5.],[ 175. 1000.]
10,74,[148.24444444  29.06666667],[-1000.     5.],[ 175. 1000.]
11,65,[122.62222222  49.78888889],[-1000.     5.],[ 175. 1000.]
12,75,[83.32222222 83.58888889],[-1000.     5.],[ 175. 1000.]
13,72,[109.61111111  60.57777778],[-1000.     5.],[ 175. 1000.]
14,73,[135.72222222  38.43333333],[-1000.     5.],[ 175. 1000.]
15,75,[122.71111111  49.46666667],[-1000.     5.],[ 175. 1000.]
16,77,[148.67777778  27.48888889],[-1000.     5.],[ 175. 1000.]
17,67,[135.63333333  38.48888889],[-1000.     5.],[ 175. 1000.]
18,78,[83.47777778 82.6       ],[-1000.     5.],[ 175. 1000.]
19,72,[161.83333333  16.26666667],[-1000.     5.],[ 175. 1000.]
20,64,[135.75555556  38.34444444],[-1000.     5.],[ 175. 1000.]
