size,Avg_max_fit,Gen,Dataset,CosDist,Hof
80,90.594,23,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.07964201338315557,"repeat(div(concatenate(repeat([10]), [11]), concatenate(div([8], [8]), [1])))","[10, 10, 6, 10, 10, 6]"
81,90.63,32,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.20788196561866046,"subOneAll(repeat(sub(if_then_else(add([10], [3]), repeat(repeat(if_then_else(subOneAll(sub([4], [8])), concatenate(repeat([13]), sub([7], [12])), repeat(div([13], [11])), sub(mul([5], [5]), add([9], [10]))))), if_then_else([7], [13], [11], [9]), addOneAll([11])), add([10], [3]))))","[13, 6, 10, 13, 6, 10]"
82,91.049,5,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.04869701169101193,"concatenate(concatenate(mul([5], concatenate(div([7], [10]), repeat([3]))), subOneAll(add(concatenate(add([13], [10]), subOneAll([3])), sub(sub([11], [7]), mul([8], [5]))))), subOneAll(add(concatenate(add([13], [10]), subOneAll([3])), sub(sub(if_then_else(sub([5], [11]), mul([3], [5]), repeat([3]), mul([6], [8])), [7]), if_then_else([6], if_then_else(sub([5], [11]), mul(sub(sub([11], [7]), mul([8], [5])), [7]), [11], subOneAll([7])), subOneAll([7]), div(addOneAll([11]), mul(repeat([3]), [7])))))))","[6, 10, 6, 10, 10]"
83,90.066,57,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.12095092700846743,"concatenate(addOneAll(addOneAll(sub(div([5], [13]), mul([8], repeat([11]))))), mul(repeat(subOneAll(repeat([11]))), if_then_else(mul(div([13], [4]), if_then_else([6], [7], [7], [2])), if_then_else(div([3], [9]), div([5], [4]), add([5], [12]), repeat([4])), add(concatenate([5], [11]), addOneAll([1])), sub(add([8], [8]), sub(mul(div([13], [4]), if_then_else([6], [4], [7], [2])), [5])))))","[6, 10, 10, 10, 4]"
84,91.042,39,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.39697731084447285,"repeat(sub(repeat(concatenate([3], [10])), div(add(addOneAll([9]), [6]), concatenate([7], [6]))))","[3, 10, 3, 10, 3, 10, 3, 10]"
