optimal,Max_fit,Gen,Hof
26111,0.2554274728005236,58,"[0.0, 1.0, 0.011239761960503528, 0.02629248611522708, 0.002351314324692044, 0.0]"
26120,0.2571699142265224,38,"[0.050505050505050504, 1.0, 0.011216483531330104, 0.02629777416398391, 0.0031565656565656565, 0.0]"
26128,0.2553700975310175,91,"[0.0008710801393728223, 1.0, 0.011257652639388917, 0.02624950909450178, 0.002355944820921347, 0.0]"
26137,0.25541281571614993,84,"[0.0, 1.0, 0.011203865574253916, 0.026104388424723828, 0.0023575219426633398, 0.0]"
26146,0.25542778306723546,95,"[0.0, 1.0, 0.01125735879634705, 0.026295914425904822, 0.002313908177546334, 0.0]"
26155,0.2554255664750786,71,"[0.0, 1.0, 0.011246653584231076, 0.026264859134198567, 0.0023501920218016717, 0.0]"
26163,0.255423234928521,80,"[0.0, 1.0, 0.011271411604333688, 0.02622518371462545, 0.0023555685590128613, 0.0]"
26176,0.25544145116084455,38,"[0.0, 1.0, 0.011826544021024968, 0.026293589379328415, 0.002351463342641398, 0.0]"
26184,0.25535191386798056,67,"[0.001212856276531231, 1.0, 0.011219641835191668, 0.02629462167344834, 0.0023505337880097084, 0.0]"
26193,0.25472366907433186,86,"[0.0, 1.0, 0.011266855856713446, 0.026289521769403197, 0.002358434468879086, 0.0007079144839303412]"
