mutate,Max_fit,Gen,Hof
0.054980345424694224,0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0007811076105918191, 0.0]"
0.07691010190445434,100,0.05,"[0.0023104517728310815, 1.0, 0.003994159717854008, 0.01728036186575662, 0.001191034189608144, 0.07964298722688297]"
0.07822280025929208,91,0.1,"[0.014148021219507203, 1.0, 0.013376664575165523, 0.01798952999076375, 1.8667876522460522e-06, 0.09011511394365862]"
0.08193619621158577,88,0.15000000000000002,"[0.014148021219507203, 1.0, 0.0135017957497195, 0.01798952999076375, 1.8667876522460522e-06, 0.08630591929271851]"
0.08234336771278855,73,0.2,"[0.014084196248169634, 1.0, 0.0, 0.018071743730133802, 1.8667876522460522e-06, 0.08560903519414138]"
0.08225356989122977,70,0.25,"[0.014120409838992466, 1.0, 0.0018981466664937344, 0.018071743730133802, 1.8667876522460522e-06, 0.08560903519414138]"
0.08224780927668617,68,0.30000000000000004,"[0.014084196248169634, 1.0, 0.0018981466664937344, 0.018071743730133802, 1.8667876522460522e-06, 0.08560903519414138]"
0.0819452939423835,91,0.35000000000000003,"[0.014204677143377335, 1.0, 0.0135017957497195, 0.01798952999076375, 1.8667876522460522e-06, 0.08630591929271851]"
0.08195027549293207,88,0.4,"[0.014204677143377335, 1.0, 0.0135017957497195, 0.01802705300640986, 1.8667876522460522e-06, 0.08630591929271851]"
0.08194308584557755,85,0.45,"[0.014204677143377335, 1.0, 0.0135017957497195, 0.017973165686870005, 5.1658193319270594e-06, 0.08630591929271851]"
0.08194525308356024,83,0.5,"[0.014204677143377335, 1.0, 0.0135017957497195, 0.01798952999076375, 5.1658193319270594e-06, 0.08630591929271851]"
0.08195855376909121,81,0.55,"[0.014204677143377335, 1.0, 0.0135017957497195, 0.01808943464450341, 5.1658193319270594e-06, 0.08630591929271851]"
0.0819564959200472,78,0.6000000000000001,"[0.014204677143377335, 1.0, 0.013487937242739029, 0.018084252312894563, 6.543184320703879e-07, 0.08630591929271851]"
0.08238945061732703,89,0.65,"[0.014204677143377335, 1.0, 0.0135017957497195, 0.018084252312894563, 0.0013496207990121693, 0.0858564262469138]"
0.08248540363967073,74,0.7000000000000001,"[0.014204677143377335, 1.0, 0.0, 0.01808943464450341, 6.543184320703879e-07, 0.08548561903178235]"
0.08238766643231406,73,0.75,"[0.014204677143377335, 1.0, 0.0018981466664937344, 0.018071743730133802, 0.0, 0.08548561903178235]"
0.08239213198876279,70,0.8,"[0.014212806087334743, 1.0, 0.0018766631848168584, 0.01808943464450341, 1.8667876522460522e-06, 0.08548561903178235]"
0.08239204376496065,97,0.8500000000000001,"[0.014212806087334743, 1.0, 0.0018766631848168584, 0.01808943464450341, 9.042719289753752e-06, 0.08548561903178235]"
0.0823920582286812,76,0.9,"[0.014212806087334743, 1.0, 0.0018766631848168584, 0.01808943464450341, 7.862780145166216e-06, 0.08548561903178235]"
0.08228520529831823,99,0.9500000000000001,"[0.014191814084742243, 1.0, 0.0018766631848168584, 0.018051891412460344, 0.0013427704508924463, 0.0852516895951809]"
