rand,Max_fit,Gen,Hof
0.08097114834310412,86,209797,"[0.02796942010068991, 1.0, 0.013220701363531531, 0.017606091955509964, 0.0, 0.09081485101556529]"
0.08364094412982932,93,209812,"[0.03208213025344883, 1.0, 0.002182776213844626, 0.017908846579212472, 0.0013404838318806106, 0.08403129748878033]"
0.07918884939237637,97,209827,"[0.014168484855759552, 1.0, 0.012971313011399865, 0.017906069043644966, 0.0, 0.08906888943881706]"
0.088810079598014,84,209842,"[0.04557291666666667, 1.0, 0.002156844073255782, 0.01789128024190113, 0.0012840057287223808, 0.084950842373875]"
0.11120497920766378,98,209857,"[0.08155251831156082, 1.0, 0.012759782382604104, 0.01801732907905742, 0.001341100032296462, 0.09048133680294351]"
0.07764530902789181,77,209871,"[0.014096575352218017, 1.0, 0.013318279490077417, 0.017920012311505227, 5.254662239602421e-05, 0.09068450689506585]"
0.08530703587022528,85,209886,"[0.03977724741447892, 1.0, 0.0020340570216877485, 0.01712108109954621, 0.0027539358332950843, 0.08351550744313455]"
0.07965665148245125,61,209902,"[0.0014050375977795499, 1.0, 0.0019705223627454237, 0.01679698621341356, 0.001349143117942694, 0.08227083415242346]"
0.0775813211342138,81,209916,"[0.02909678722974338, 1.0, 0.0019892517642825115, 0.01758783523018171, 0.0027662517289073307, 0.07835180774280999]"
0.07865981780904902,99,209931,"[0.01395283502922507, 1.0, 0.013467736863951741, 0.015444910984894826, 0.0, 0.0893225140400703]"
