lamb,Max_fit,Gen,Hof
0.08189483923357027,74,70,"[0.007217784533050271, 1.0, 0.012985226683900897, 0.017680295934732897, 0.0013379405255313788, 0.08541263385584322]"
0.08177109210755393,97,71,"[0.007217784533050271, 1.0, 0.012985226683900897, 0.017097943610548057, 0.0013379405255313788, 0.08541263385584322]"
0.08177599095324117,96,72,"[0.007217784533050271, 1.0, 0.012985226683900897, 0.017097943610548057, 0.0016097443189440077, 0.08541263385584322]"
0.08177599095324117,95,73,"[0.007217784533050271, 1.0, 0.012985226683900897, 0.017097943610548057, 0.0016097443189440077, 0.08541263385584322]"
0.08189483923357027,70,74,"[0.007217784533050271, 1.0, 0.012985226683900897, 0.017680295934732897, 0.0013379405255313788, 0.08541263385584322]"
0.08189483923357027,69,75,"[0.007217784533050271, 1.0, 0.012985226683900897, 0.017680295934732897, 0.0013379405255313788, 0.08541263385584322]"
0.08189483923357027,68,76,"[0.007217784533050271, 1.0, 0.012985226683900897, 0.017680295934732897, 0.0013379405255313788, 0.08541263385584322]"
0.08189483923357027,67,77,"[0.007217784533050271, 1.0, 0.012985226683900897, 0.017680295934732897, 0.0013379405255313788, 0.08541263385584322]"
0.08189483923357027,66,78,"[0.007217784533050271, 1.0, 0.012985226683900897, 0.017680295934732897, 0.0013379405255313788, 0.08541263385584322]"
0.08190780242834635,100,79,"[0.007217784533050271, 1.0, 0.013494813887051673, 0.017680295934732897, 0.0013379405255313788, 0.08541263385584322]"
