rand,Max_fit,Gen,Dataset,Dist,Hof
162605,0.0,8,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
162609,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
162613,0.0,9,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
162617,0.0,5,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
162621,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
162626,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
162630,0.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
162634,0.0,5,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
162638,0.0,5,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
162642,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
