optimal,Max_fit,Gen,Hof
28727,0.25542275039926443,64,"[0.0, 1.0, 0.011254561461964688, 0.026228494481416047, 0.0023174728050047366, 0.0]"
28736,0.25542586070212514,80,"[0.0, 1.0, 0.011233603425104346, 0.026271919161765273, 0.0023571756449339313, 0.0]"
28745,0.2554211216761319,60,"[0.0, 1.0, 0.011272199231851274, 0.026196868451167876, 0.0023516527495928427, 0.0]"
28753,0.25542230605798455,62,"[0.0, 1.0, 0.011265643506213589, 0.026214139407481643, 0.0023576578356595745, 0.0]"
28762,0.25561777274042885,83,"[0.03573954804363203, 1.0, 0.011254243714133926, 0.026183579927814664, 0.002343806760189891, 0.0]"
28770,0.25535204379927623,59,"[0.0010719454022475121, 1.0, 0.011262388774968806, 0.02617130773248972, 0.0023346378257276265, 0.0]"
28779,0.255423324387846,69,"[0.0, 1.0, 0.011182353739417505, 0.026254947091599503, 0.0023431878240965996, 0.0]"
28788,0.25537836836066974,62,"[0.0007580734825895789, 1.0, 0.011179930864073402, 0.026290858008790222, 0.0023587764455768006, 0.0]"
28796,0.25537267408210645,83,"[0.0008015175398754976, 1.0, 0.011263291018555985, 0.026225682193820873, 0.0023516831528705745, 0.0]"
28804,0.2554196478696212,53,"[0.0, 1.0, 0.011211557583913201, 0.0261960427748067, 0.002346668421694968, 0.0]"
