mutate,Max_fit,Gen,Dataset,Dist,Hof
0.0,3.0,0,"[6, 6, 6, 6]",0.42264973081037416,"[6, 8, 10]"
0.02,1.0,20,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.04,1.0,17,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.06,1.0,2,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.08,1.0,8,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.1,2.0,1,"[6, 6, 6, 6]",0.09546596626670911,"[6, 6, 7, 6, 9]"
0.12,1.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.14,1.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.16,1.0,5,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.18,2.0,2,"[6, 6, 6, 6]",0.0,"[6, 6]"
0.2,0.0,5,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.22,2.0,2,"[6, 6, 6, 6]",0.09546596626670911,"[3, 6, 6, 5, 6]"
0.24,2.0,4,"[6, 6, 6, 6]",0.09546596626670911,"[6, 3, 6, 13, 6]"
0.26,0.0,9,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.28,1.0,3,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.3,1.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.32,1.0,4,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.34,1.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.36,1.0,3,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.38,1.0,2,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.4,0.0,15,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.42,1.0,4,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.44,1.0,1,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.46,1.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.48,0.0,8,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.5,0.0,2,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.52,0.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.54,0.0,15,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.56,0.0,10,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.58,0.0,11,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.6,0.0,9,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.62,0.0,12,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.64,0.0,8,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.66,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.68,0.0,15,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.7000000000000001,0.0,9,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.72,0.0,8,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.74,0.0,8,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.76,0.0,10,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.78,0.0,5,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.8,0.0,11,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.8200000000000001,0.0,12,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.84,0.0,9,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.86,0.0,11,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.88,0.0,12,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.9,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.92,0.0,11,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.9400000000000001,0.0,9,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.96,0.0,8,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.98,0.0,10,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
