gen,nevals,avg,min,max
2,28,7.55,6.0,9.0
3,23,31.825,6.0,1000.0
4,29,31.7375,5.0,1000.0
5,26,56.3125,5.0,1000.0
6,31,105.5125,5.0,1000.0
7,34,68.1125,5.0,1000.0
8,23,30.075,5.0,1000.0
9,33,42.6875,5.0,1000.0
10,33,67.5,5.0,1000.0
11,27,30.0625,5.0,1000.0
12,21,5.2625,5.0,10.0
13,25,18.025,5.0,1000.0
14,33,17.75,5.0,1000.0
15,25,17.575,5.0,1000.0
16,28,17.525,5.0,1000.0
17,22,29.95,5.0,1000.0
18,34,17.5125,5.0,1000.0
19,28,5.1625,5.0,10.0
20,29,17.4625,5.0,1000.0
21,23,5.05,5.0,8.0
22,23,5.0,5.0,5.0
23,31,29.95,5.0,1000.0
24,22,5.1125,5.0,12.0
25,19,5.025,5.0,7.0
26,29,5.15,5.0,15.0
27,23,17.475,5.0,1000.0
28,32,5.0625,5.0,7.0
29,38,17.4375,5.0,1000.0
30,25,17.475,5.0,1000.0
31,28,17.4625,5.0,1000.0
32,19,5.075,5.0,9.0
33,21,5.0125,5.0,6.0
34,21,5.0,5.0,5.0
35,22,5.0125,5.0,6.0
36,22,17.5,5.0,1000.0
37,20,5.025,5.0,7.0
38,32,5.0,5.0,5.0
39,17,5.0,5.0,5.0
40,38,17.4625,5.0,1000.0
41,17,5.0125,5.0,6.0
42,24,5.0125,5.0,6.0
43,25,5.025,5.0,6.0
44,23,17.5,5.0,1000.0
45,21,17.4375,5.0,1000.0
46,26,5.0,5.0,5.0
47,32,5.0125,5.0,6.0
48,22,17.4375,5.0,1000.0
49,28,17.4875,5.0,1000.0
50,31,17.4375,5.0,1000.0
51,36,5.0375,5.0,7.0
52,35,17.4375,5.0,1000.0
53,30,5.025,5.0,6.0
54,30,5.0375,5.0,7.0
55,23,5.0,5.0,5.0
56,28,5.075,5.0,11.0
57,16,5.025,5.0,7.0
58,23,5.0375,5.0,8.0
59,23,5.0,5.0,5.0
60,30,5.0375,5.0,7.0
,,,,
gen,nevals,avg,min,max
0,80,764.85,6.0,1000.0
1,32,231.8,6.0,1000.0
2,29,94.5625,6.0,1000.0
3,35,56.475,6.0,1000.0
4,32,56.7875,6.0,1000.0
5,28,43.775,6.0,1000.0
6,33,93.425,6.0,1000.0
7,40,68.9,6.0,1000.0
8,35,130.65,6.0,1000.0
9,38,44.125,6.0,1000.0
10,26,19.175,6.0,1000.0
11,43,93.5125,6.0,1000.0
12,40,56.425,6.0,1000.0
13,31,68.9125,6.0,1000.0
14,36,80.95,6.0,1000.0
15,32,31.55,6.0,1000.0
16,28,81.725,6.0,1000.0
17,35,31.4875,6.0,1000.0
18,33,43.5625,6.0,1000.0
19,36,43.7625,6.0,1000.0
20,32,31.2375,6.0,1000.0
21,31,55.975,6.0,1000.0
22,47,43.5125,6.0,1000.0
23,34,18.575,6.0,1000.0
24,41,18.5625,6.0,1000.0
25,40,31.0,6.0,1000.0
26,35,18.5375,6.0,1000.0
27,41,6.0375,6.0,8.0
28,35,6.025,6.0,7.0
29,36,6.05,6.0,10.0
30,36,30.925,6.0,1000.0
31,42,6.35,6.0,20.0
32,29,6.25,6.0,20.0
33,36,18.6375,6.0,1000.0
34,44,6.1125,6.0,10.0
35,41,6.0375,6.0,9.0
36,28,6.0,6.0,6.0
37,33,6.0125,6.0,7.0
38,32,18.7125,6.0,1000.0
39,37,6.125,6.0,13.0
40,35,6.0125,6.0,7.0
41,31,6.0,6.0,6.0
42,32,18.425,6.0,1000.0
43,28,6.0625,6.0,10.0
44,32,6.075,6.0,10.0
45,24,6.0,6.0,6.0
46,28,6.0,6.0,6.0
47,29,6.0375,6.0,9.0
48,38,6.0,6.0,6.0
49,41,6.0375,6.0,7.0
50,32,6.0625,6.0,8.0
51,32,18.4375,6.0,1000.0
52,38,6.025,6.0,8.0
53,36,18.4375,6.0,1000.0
54,50,6.0,6.0,6.0
55,36,6.025,6.0,8.0
56,33,6.0,6.0,6.0
57,37,6.0,6.0,6.0
58,35,6.0,6.0,6.0
59,35,6.0,6.0,6.0
60,28,6.0125,6.0,7.0
,,,,
gen,nevals,avg,min,max
0,80,702.8375,7.0,1000.0
1,38,70.7875,6.0,1000.0
2,42,19.8125,6.0,1000.0
3,45,44.025,6.0,1000.0
4,43,55.75,6.0,1000.0
5,44,6.125,6.0,8.0
6,41,6.125,6.0,10.0
7,34,6.0875,6.0,9.0
8,50,31.0875,6.0,1000.0
9,41,18.475,6.0,1000.0
10,45,31.05,6.0,1000.0
11,45,30.8875,6.0,1000.0
12,28,6.0375,6.0,8.0
13,44,6.2375,6.0,19.0
14,37,6.0625,6.0,8.0
15,47,31.0125,6.0,1000.0
16,37,6.1,6.0,9.0
17,49,18.475,5.0,1000.0
18,38,6.0125,5.0,10.0
19,47,30.7625,5.0,1000.0
