optimal,Max_fit,Gen,Dataset,Dist,Hof
117373,9.0,48,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14406598736065113,"[4, 3, 3, 3, 4, 7, 6, 7, 4, 9, 9]"
117484,9.0,28,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[7, 6, 7, 7, 3, 7, 3, 3, 7, 4, 4]"
117599,9.0,56,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2792134630405483,"[7, 9, 3, 6, 4, 4, 3, 9, 3, 7, 7]"
117708,10.0,51,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.11603580725013118,"[4, 4, 4, 6, 3, 9, 3, 3, 7, 7]"
117799,9.0,52,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.26548296191217813,"[4, 4, 7, 7, 7, 4, 9, 9, 3, 3]"
117900,9.0,29,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 7, 3, 6, 4, 7, 4, 7, 4, 7, 7]"
118020,10.0,43,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14076541833431244,"[7, 4, 3, 4, 4, 6, 3, 9, 9]"
118118,9.0,27,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14406598736065113,"[4, 3, 3, 6, 7, 7, 9, 4, 9, 4, 3]"
118234,10.0,19,"[6, 7, 7, 7, 7]",0.17537887487646797,"[6, 3, 7, 4, 4, 3, 7, 7, 7]"
118338,11.0,37,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.09293110922998804,"[6, 3, 7, 9, 4, 3, 4, 4]"
