mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,175.0,4,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.08590946984108672,"if_then_else(div(subOneAll(repeat([1])), mul(subOneAll([13]), div([2], [3]))), div(addOneAll(concatenate([7], [4])), mul(sub([1], [13]), add([9], [3]))), repeat(concatenate(sub([7], [2]), repeat([10]))), div(addOneAll(subOneAll([4])), repeat(concatenate([9], [4]))))","[13, 2, 6, 10, 10, 6, 10, 10]"
0.1,175.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.571253537143728,"subOneAll(repeat(sub(concatenate(concatenate(add([6], [4]), sub([11], [9])), addOneAll(if_then_else([12], [1], [8], [5]))), subOneAll(if_then_else(concatenate([9], [9]), addOneAll([6]), mul([7], [1]), sub([9], [5]))))))","[10, 2, 12, 11, 10, 2, 12, 11]"
0.2,175.0,19,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.6482367646592757,"repeat(addOneAll(add(repeat(if_then_else(repeat([3]), add([11], [8]), add([2], [7]), subOneAll(div(sub(mul(addOneAll(div(subOneAll([7]), concatenate([13], [4]))), repeat(sub(subOneAll([8]), concatenate([7], [1])))), concatenate(sub(repeat(if_then_else([2], [13], [5], [5])), repeat(mul([7], [7]))), if_then_else(div(addOneAll([7]), if_then_else([12], [10], [9], [4])), addOneAll(if_then_else([4], [9], [13], [2])), repeat(subOneAll([7])), concatenate(addOneAll([1]), if_then_else([12], [11], [2], [7]))))), mul(if_then_else(addOneAll(add(repeat([10]), mul([9], [9]))), div(div(if_then_else([9], [5], [5], [2]), mul([5], [13])), repeat(subOneAll([9]))), sub(subOneAll(subOneAll([4])), div(mul([2], [1]), addOneAll([11]))), sub(add(if_then_else([9], [12], [5], [10]), mul([12], [1])), div(if_then_else([13], [3], [11], [13]), subOneAll([10])))), subOneAll(concatenate(subOneAll(mul([1], [10])), sub(if_then_else([1], [2], [6], [8]), sub([13], [5]))))))))), repeat(mul(repeat([7]), repeat([3]))))))","[4, 4, 11, 4, 4, 6, 4, 4, 11, 4, 4, 6]"
0.30000000000000004,175.0,13,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.3517962764478356,"concatenate(sub(concatenate(repeat(mul([4], [10])), mul(sub([5], [12]), div([13], [5]))), mul(concatenate(addOneAll([3]), subOneAll([12])), mul(addOneAll([6]), subOneAll([5])))), addOneAll(subOneAll(addOneAll(if_then_else([10], [2], [9], [9])))))","[2, 2, 6, 11, 10]"
0.4,175.0,15,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.36307024470151805,"concatenate(addOneAll(repeat(subOneAll(addOneAll(repeat([9]))))), concatenate(add(add([5], [13]), mul([9], [6])), subOneAll(repeat([13]))))","[10, 10, 10, 10, 10, 12, 12]"
0.5,175.0,14,"[1, 3]",0.5000000000000001,"sub(if_then_else(div(concatenate(if_then_else(repeat([3]), concatenate([13], [5]), subOneAll([13]), concatenate(subOneAll(repeat(div(mul(div(if_then_else([10], [5], [3], [12]), repeat([6])), addOneAll(subOneAll([9]))), mul(mul(subOneAll([8]), concatenate([1], [8])), sub(subOneAll([9]), mul([2], [8])))))), if_then_else(sub(addOneAll(addOneAll(sub(repeat([2]), add([8], [2])))), repeat(add(addOneAll(subOneAll([11])), concatenate(sub([11], [11]), concatenate([7], [5]))))), concatenate(concatenate(sub(add(mul([6], [3]), div([6], [10])), div(add([7], [10]), sub([6], [2]))), div(mul(add([12], [2]), add([12], [1])), mul(sub([13], [8]), subOneAll([5])))), subOneAll(addOneAll(if_then_else(sub([12], [6]), concatenate([10], [6]), mul([13], [11]), repeat([12]))))), repeat(div(sub(concatenate(sub([11], [6]), concatenate([12], [10])), add(add([10], [2]), if_then_else([10], [2], [10], [7]))), addOneAll(concatenate(addOneAll([5]), div([1], [2]))))), addOneAll(mul(div(div(subOneAll([5]), add([4], [9])), concatenate(sub([5], [1]), add([1], [4]))), repeat(subOneAll(addOneAll([12])))))))), sub(sub([11], [9]), if_then_else([12], [9], [10], [1]))), div(div(mul([6], [6]), subOneAll([11])), concatenate(repeat([5]), concatenate([2], [11])))), div(addOneAll(div(add([12], [2]), subOneAll([4]))), mul(add(mul([10], [10]), div([5], [3])), if_then_else(if_then_else([9], [5], [4], [10]), addOneAll([7]), mul([7], [10]), div([1], [3])))), add(subOneAll(add(addOneAll([12]), concatenate([13], [1]))), sub(mul(if_then_else([10], [11], [7], [11]), if_then_else([7], [9], [11], [13])), div(add([7], [8]), subOneAll([9])))), repeat(sub(add(div([5], [4]), mul([12], [13])), subOneAll(div([13], [9]))))), sub(div(add(mul(concatenate([5], [2]), concatenate([12], [7])), if_then_else(mul([10], [11]), concatenate([2], [2]), sub([10], [3]), repeat([8]))), repeat(if_then_else(repeat([2]), subOneAll([7]), add([4], [1]), sub([12], [3])))), addOneAll(repeat(subOneAll(sub([7], [10]))))))","[3, 3, 12, 6, 4, 13]"
0.6000000000000001,175.0,9,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.3344877353538377,"repeat(concatenate(repeat(repeat(add([10], [8]))), addOneAll(addOneAll(add([8], [13])))))","[6, 6, 6, 6, 11, 6, 6, 6, 6, 11]"
0.7000000000000001,175.0,8,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.3936609374091675,"subOneAll(concatenate(mul(mul(sub([3], [12]), div([6], [11])), mul(subOneAll([4]), concatenate([13], [6]))), if_then_else(concatenate(if_then_else([6], [10], [11], [1]), repeat([5])), sub(div([12], [7]), repeat([12])), repeat(add([6], [13])), subOneAll(div([11], [8])))))","[6, 5, 10, 4, 4, 13]"
0.8,175.0,6,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.3936609374091675,"repeat(repeat(subOneAll(add(concatenate(sub(sub([10], [7]), div([9], [5])), mul(addOneAll([11]), mul([6], [6]))), sub(div(subOneAll([6]), if_then_else([1], [7], [4], [4])), concatenate(subOneAll([5]), addOneAll([7])))))))","[2, 6, 2, 6, 2, 6, 2, 6]"
0.9,175.0,13,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.3553416287796958,"sub(addOneAll(sub(if_then_else(concatenate(repeat([5]), add([5], [6])), add(add([3], [9]), concatenate([10], [10])), add(mul([12], [6]), subOneAll([9])), if_then_else(subOneAll([4]), addOneAll([5]), addOneAll([13]), addOneAll([4]))), subOneAll(addOneAll(div([1], [5]))))), div(subOneAll(mul(if_then_else(div([2], [12]), subOneAll([2]), sub([11], [1]), sub([9], [11])), if_then_else(subOneAll([4]), if_then_else([6], [9], [4], [10]), concatenate([11], [1]), subOneAll([4])))), subOneAll(add(if_then_else(div(add(div(div(sub(add([1], [3]), sub([8], [8])), addOneAll(addOneAll([9]))), mul(concatenate(repeat([10]), add([13], [3])), if_then_else(addOneAll([1]), div([4], [1]), div([11], [10]), div([7], [9])))), mul(div(mul(mul([11], [8]), subOneAll([5])), div(add([7], [4]), subOneAll([13]))), add(sub(if_then_else([9], [10], [4], [5]), repeat([12])), repeat(concatenate([5], [9]))))), div(concatenate(mul(div(if_then_else([2], [13], [12], [7]), subOneAll([2])), div(addOneAll([5]), div([3], [9]))), repeat(add(sub([2], [5]), if_then_else([11], [7], [1], [1])))), subOneAll(div(addOneAll(subOneAll([6])), sub(sub([9], [4]), addOneAll([11])))))), repeat(concatenate(if_then_else(mul(repeat(sub([8], [5])), mul(repeat([10]), div([4], [13]))), mul(subOneAll(mul([9], [8])), repeat(sub([6], [8]))), add(sub(mul([1], [9]), mul([5], [7])), if_then_else(add([13], [8]), addOneAll([7]), repeat([10]), if_then_else([9], [6], [13], [10]))), mul(mul(add([7], [3]), addOneAll([11])), subOneAll(addOneAll([1])))), sub(sub(sub(sub([6], [4]), sub([10], [1])), concatenate(sub([5], [3]), sub([13], [7]))), add(sub(sub([12], [5]), if_then_else([5], [11], [4], [8])), mul(div([6], [2]), div([11], [1])))))), div(subOneAll(mul(repeat(add(if_then_else([11], [9], [12], [5]), add([1], [10]))), sub(add(add([9], [4]), concatenate([1], [11])), add(addOneAll([3]), add([5], [2]))))), if_then_else(div(add(repeat(subOneAll([9])), addOneAll(concatenate([5], [1]))), subOneAll(if_then_else(add([4], [6]), div([5], [1]), concatenate([9], [6]), concatenate([10], [6])))), div(sub(add(addOneAll([11]), concatenate([11], [10])), div(addOneAll([11]), mul([13], [2]))), if_then_else(mul(sub([4], [12]), div([10], [5])), concatenate(add([3], [2]), div([12], [10])), sub(add([11], [12]), mul([1], [11])), addOneAll(subOneAll([13])))), repeat(mul(subOneAll(addOneAll([10])), if_then_else(sub([7], [2]), repeat([4]), subOneAll([10]), mul([7], [10])))), concatenate(concatenate(concatenate(div([11], [8]), addOneAll([11])), if_then_else(addOneAll([12]), repeat([1]), mul([5], [1]), subOneAll([5]))), sub(div(subOneAll([9]), addOneAll([13])), if_then_else(subOneAll([1]), subOneAll([6]), if_then_else([3], [10], [11], [1]), mul([3], [11])))))), subOneAll(repeat(addOneAll(mul(mul(sub([10], [2]), concatenate([6], [8])), sub(div([8], [9]), subOneAll([6]))))))), concatenate(sub([10], [12]), add([7], [7]))))))","[6, 6, 13, 4, 3]"
