cross,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,92.1125,19,"[1, 3]",0.5000000000000001,"concatenate(concatenate(repeat(addOneAll([2])), subOneAll(sub([5], [6]))), if_then_else(concatenate(mul([7], subOneAll(if_then_else(mul(div(subOneAll(addOneAll(concatenate([11], [5]))), addOneAll(div(div([5], [13]), if_then_else([6], [12], [13], [8])))), add(repeat(concatenate(div([1], [2]), subOneAll(mul(sub(add(addOneAll(subOneAll(subOneAll(concatenate([10], [7])))), concatenate(repeat(add(sub(concatenate(repeat(div([10], [2])), mul(subOneAll([8]), add([4], [2]))), div(if_then_else(add([5], [5]), add([6], [5]), add([2], [8]), if_then_else([5], [13], [9], [13])), add(mul([3], [11]), addOneAll([5])))), addOneAll(if_then_else(sub(repeat([7]), div([9], [8])), div(concatenate([3], [7]), addOneAll([5])), div(subOneAll([6]), div([4], [5])), sub(subOneAll([7]), if_then_else([13], [7], [9], [12])))))), mul(repeat(subOneAll([10])), repeat(repeat([5]))))), subOneAll(concatenate(subOneAll(addOneAll(concatenate([4], [5]))), subOneAll(addOneAll(subOneAll([3])))))), addOneAll(concatenate(repeat(add(if_then_else(concatenate([4], [6]), subOneAll([7]), div([13], [10]), repeat([10])), if_then_else(if_then_else([7], [9], [3], [7]), mul([5], [2]), subOneAll([2]), sub([2], [6])))), div(concatenate(mul(subOneAll([7]), sub([3], [12])), add(mul([11], [9]), if_then_else([1], [6], [13], [13]))), add(repeat(concatenate([11], [2])), if_then_else(div([1], [6]), subOneAll([6]), addOneAll([3]), if_then_else([6], [2], [6], [7])))))))))), sub(addOneAll(concatenate([7], [3])), mul(add([3], [7]), add([2], [7]))))), div(sub(mul(if_then_else(if_then_else([8], [11], [7], [1]), sub([4], [1]), concatenate([8], [5]), mul([1], [6])), repeat(subOneAll([7]))), add(add(if_then_else([5], [10], [2], [4]), addOneAll([2])), add(repeat([3]), mul([12], [12])))), mul(subOneAll(div(if_then_else([6], [4], [6], [13]), addOneAll([1]))), addOneAll(mul(subOneAll([13]), if_then_else([11], [3], [9], [4]))))), add(mul(repeat(addOneAll(addOneAll([2]))), mul(repeat(div([4], [1])), mul(div([3], [11]), addOneAll([7])))), addOneAll(mul(subOneAll(sub([1], [9])), mul(if_then_else([6], [11], [1], [10]), repeat([8]))))), div(mul(sub(sub(mul([13], [10]), mul([8], [2])), add(sub([9], [10]), add([11], [13]))), concatenate(if_then_else(if_then_else([7], [9], [11], [5]), subOneAll([12]), concatenate([7], [3]), concatenate([6], [13])), sub(mul([9], [10]), concatenate([7], [2])))), concatenate(addOneAll(mul(sub([8], [5]), if_then_else([7], [3], [11], [6]))), addOneAll(subOneAll(div([6], [10])))))))), addOneAll([3])), concatenate(sub([4], [3]), div([3], [7])), addOneAll(div([6], [1])), addOneAll(add([13], [9]))))","[3, 3, 12, 6, 4, 11]"
0.1,90.51875,4,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.12095092700846743,"add(if_then_else(add(repeat(repeat([6])), add(sub([1], [1]), sub([4], [4]))), add(concatenate(if_then_else([5], [3], [6], [4]), if_then_else(div(sub(subOneAll(div(div(add([7], [12]), addOneAll([6])), subOneAll(div([9], [8])))), mul(repeat(addOneAll(div([6], [1]))), if_then_else(repeat(concatenate([5], [11])), add(add([2], [5]), concatenate([9], [9])), if_then_else(div([5], [2]), if_then_else([4], [4], [11], [7]), div([5], [8]), add([6], [6])), subOneAll(mul([1], [5]))))), concatenate(if_then_else(repeat(concatenate(subOneAll([12]), if_then_else([12], [1], [9], [12]))), add(sub(if_then_else([4], [7], [8], [3]), addOneAll([5])), sub(sub([5], [6]), concatenate([6], [9]))), addOneAll(sub(mul([11], [9]), div([2], [10]))), mul(sub(mul([10], [11]), div([5], [6])), addOneAll(if_then_else([8], [10], [2], [4])))), concatenate(mul(div(subOneAll([9]), subOneAll([12])), mul(if_then_else([3], [13], [12], [10]), mul([6], [9]))), mul(concatenate(repeat([11]), repeat([11])), add(concatenate([5], [8]), subOneAll([1])))))), if_then_else(addOneAll(mul(if_then_else(if_then_else(mul([13], [9]), if_then_else([1], [13], [7], [10]), if_then_else([9], [9], [5], [3]), repeat([13])), if_then_else(concatenate([8], [7]), sub([8], [6]), div([1], [6]), concatenate([1], [1])), mul(addOneAll([4]), concatenate([6], [8])), repeat(add([9], [5]))), add(if_then_else(sub([6], [13]), subOneAll([12]), addOneAll([10]), concatenate([4], [9])), div(if_then_else([5], [3], [2], [5]), mul([8], [11]))))), repeat(repeat(concatenate(div(mul([12], [5]), div([9], [7])), add(add([1], [5]), repeat([7]))))), if_then_else(sub(sub(div(mul([12], [5]), subOneAll([12])), div(add([7], [12]), sub([8], [6]))), concatenate(sub(if_then_else([13], [5], [8], [10]), add([10], [1])), repeat(div([5], [5])))), if_then_else(if_then_else(subOneAll(sub([12], [7])), mul(addOneAll([6]), addOneAll([1])), if_then_else(mul([6], [1]), mul([1], [11]), concatenate([11], [5]), sub([13], [9])), subOneAll(div([9], [8]))), sub(sub(subOneAll([11]), sub([9], [13])), div(add([5], [11]), addOneAll([11]))), if_then_else(sub(add([8], [3]), subOneAll([5])), mul(addOneAll([6]), repeat([5])), subOneAll(subOneAll([7])), sub(add([3], [4]), repeat([7]))), repeat(mul(mul([13], [12]), if_then_else([4], [6], [4], [1])))), addOneAll(add(if_then_else(subOneAll([7]), div([5], [2]), div([5], [2]), repeat([10])), sub(addOneAll([3]), mul([8], [6])))), add(addOneAll(sub(mul([13], [2]), subOneAll([12]))), add(div(addOneAll([11]), sub([1], [8])), concatenate(sub([7], [9]), sub([5], [4]))))), concatenate(div(add(mul(if_then_else([2], [8], [7], [3]), repeat([3])), if_then_else(subOneAll([4]), subOneAll([7]), add([1], [4]), div([11], [11]))), addOneAll(sub(sub([2], [8]), subOneAll([11])))), concatenate(div(add(div([7], [2]), concatenate([3], [5])), sub(repeat([8]), repeat([9]))), div(repeat(addOneAll([4])), concatenate(addOneAll([13]), if_then_else([13], [3], [10], [13])))))), div(if_then_else(concatenate(div(if_then_else(add([8], [2]), if_then_else([13], [13], [9], [7]), mul([12], [2]), sub([2], [3])), if_then_else(subOneAll([9]), repeat([1]), sub([1], [4]), mul([5], [13]))), subOneAll(div(addOneAll([12]), addOneAll([8])))), div(div(div(addOneAll([4]), if_then_else([6], [5], [10], [12])), subOneAll(subOneAll([3]))), div(sub(mul([12], [13]), add([7], [4])), subOneAll(concatenate([10], [6])))), sub(concatenate(add(concatenate([5], [13]), if_then_else([9], [13], [4], [12])), div(repeat([7]), concatenate([13], [9]))), addOneAll(div(if_then_else([2], [2], [9], [11]), mul([7], [11])))), sub(repeat(sub(addOneAll([1]), addOneAll([1]))), addOneAll(div(subOneAll([12]), concatenate([9], [2]))))), if_then_else(repeat(add(add(mul([1], [6]), if_then_else([2], [5], [12], [4])), sub(div([13], [2]), add([1], [11])))), if_then_else(repeat(addOneAll(div([5], [1]))), subOneAll(sub(repeat([11]), mul([2], [12]))), sub(subOneAll(sub([11], [1])), if_then_else(add([7], [3]), add([9], [4]), mul([9], [12]), addOneAll([2]))), mul(addOneAll(sub([5], [3])), if_then_else(if_then_else([3], [9], [6], [2]), concatenate([11], [6]), sub([1], [4]), sub([8], [10])))), concatenate(if_then_else(if_then_else(if_then_else([9], [7], [8], [8]), sub([6], [4]), concatenate([1], [9]), concatenate([3], [12])), repeat(repeat([8])), add(repeat([7]), add([9], [10])), subOneAll(sub([3], [9]))), addOneAll(add(subOneAll([5]), repeat([2])))), addOneAll(sub(addOneAll(sub([6], [12])), repeat(repeat([6])))))), subOneAll(sub(sub(addOneAll(mul(subOneAll([9]), addOneAll([13]))), if_then_else(div(addOneAll([11]), div([9], [6])), repeat(sub([4], [3])), mul(if_then_else([6], [1], [5], [10]), addOneAll([11])), add(if_then_else([6], [5], [5], [3]), concatenate([9], [1])))), if_then_else(add(add(mul([13], [3]), mul([5], [1])), subOneAll(repeat([10]))), mul(if_then_else(sub([11], [3]), concatenate([1], [9]), div([10], [6]), subOneAll([12])), add(concatenate([13], [10]), mul([7], [5]))), subOneAll(sub(div([11], [9]), div([8], [3]))), concatenate(add(subOneAll([12]), div([11], [5])), add(subOneAll([7]), mul([10], [11])))))))), div(repeat([9]), concatenate([9], [1]))), sub(concatenate(if_then_else([11], [1], [5], [13]), mul([4], [11])), concatenate(repeat([3]), div([12], [3]))), mul([4], [11])), mul(subOneAll(subOneAll(add([10], [5]))), concatenate(concatenate(mul([2], [4]), addOneAll([12])), mul(div([8], [13]), if_then_else([2], [11], [4], [9])))))","[6, 6, 6, 10, 4]"
0.2,90.7375,5,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.08534087923995304,"sub(sub(concatenate(concatenate(repeat([6]), add([6], [3])), div(repeat([12]), subOneAll([13]))), mul(mul(subOneAll([2]), if_then_else([6], [6], [11], [13])), [9])), div(if_then_else(subOneAll(repeat([9])), subOneAll(add([7], [11])), concatenate(if_then_else([5], [12], [13], [1]), addOneAll([5])), repeat(subOneAll([4]))), add(repeat(sub([5], [3])), div(subOneAll([9]), sub([9], [11])))))","[6, 6, 10, 12, 10]"
0.30000000000000004,90.8875,9,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.24074339763470354,"concatenate(mul([12], [10]), if_then_else(concatenate([12], [6]), sub([12], [4]), concatenate(repeat(sub(mul([11], [9]), add([1], [11]))), [4]), add([1], addOneAll([4]))))","[4, 12, 6, 10, 10, 4]"
0.4,90.6,24,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.07964201338315557,"repeat(add(sub(concatenate(mul(mul([11], [3]), addOneAll([11])), subOneAll(repeat([7]))), subOneAll(sub(addOneAll([6]), addOneAll([2])))), concatenate(repeat(mul(mul([9], [4]), div([11], div([11], [5])))), div(repeat(mul([3], [12])), mul(add([7], [5]), mul([12], [1]))))))","[6, 6, 10, 6, 6, 10]"
0.5,86.56875,2,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.39697731084447285,"repeat(repeat(div(concatenate(subOneAll(sub(add(subOneAll(subOneAll([6])), add(div([12], [2]), repeat([13]))), add(div(repeat([7]), addOneAll([4])), addOneAll(add([9], [9]))))), mul(addOneAll(addOneAll(add(div([13], [2]), div([3], [12])))), subOneAll(mul(repeat(concatenate([7], [8])), repeat(mul([6], [11])))))), div(concatenate(if_then_else(mul(mul(subOneAll([5]), addOneAll([2])), add(repeat([12]), repeat([13]))), concatenate(addOneAll(add([4], [6])), addOneAll(subOneAll([11]))), div(subOneAll(subOneAll([1])), add(mul([12], [2]), repeat([11]))), repeat(if_then_else(sub([6], [7]), repeat([5]), repeat([7]), add([11], [4])))), add(div(subOneAll(div([2], [6])), concatenate(if_then_else([12], [6], [6], [3]), addOneAll([10]))), if_then_else(sub(sub([9], [5]), mul([8], [4])), concatenate(if_then_else([11], [7], [4], [10]), sub([5], [6])), repeat(addOneAll([1])), if_then_else(if_then_else([4], [10], [12], [10]), subOneAll([9]), addOneAll([5]), mul([9], [11]))))), addOneAll(repeat(mul(mul(sub([6], [6]), repeat([13])), div(sub([6], [7]), concatenate([13], [11])))))))))","[6, 3, 6, 3, 6, 3, 6, 3]"
0.6000000000000001,91.56875,2,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.15112531237283455,"mul(repeat(if_then_else(concatenate(subOneAll(sub([12], [6])), subOneAll(subOneAll([8]))), repeat(addOneAll(mul([8], [7]))), addOneAll(add(div([7], if_then_else([11], [11], [2], [5])), mul([11], [4]))), addOneAll(mul([1], [8])))), mul([3], mul(add(mul([11], [4]), addOneAll(subOneAll([9]))), concatenate(sub(mul([1], [8]), add([5], [6])), concatenate(concatenate([1], [7]), div([4], [11]))))))","[6, 6, 10, 6, 6, 4]"
0.7000000000000001,91.025,17,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.2949760120893675,"sub(sub(concatenate(addOneAll(if_then_else(addOneAll([4]), repeat([10]), repeat([10]), add([7], [8]))), sub(add(concatenate(repeat([10]), [13]), concatenate([8], [1])), subOneAll(concatenate([8], [6])))), subOneAll(add(repeat(addOneAll([2])), concatenate(addOneAll([8]), mul([12], [7]))))), div(sub(concatenate(if_then_else(mul([9], [7]), if_then_else([7], [8], [10], [12]), addOneAll([8]), mul(div(repeat([10]), repeat([12])), [10])), if_then_else(add([7], [12]), mul([7], [10]), addOneAll(add(sub(sub(if_then_else(subOneAll([13]), sub(concatenate(addOneAll(if_then_else(addOneAll([4]), repeat([10]), repeat([10]), concatenate(mul(sub(subOneAll([13]), sub(addOneAll(sub([9], [8])), sub(mul([9], [11]), div(repeat(subOneAll(concatenate([8], [2]))), [2])))), add(add(addOneAll(concatenate([9], [5])), if_then_else(addOneAll([13]), mul([3], [4]), add([5], [10]), mul([7], [7]))), sub(div(concatenate([8], [2]), repeat([8])), repeat(mul([4], [3]))))), mul(div(mul(subOneAll(subOneAll([9])), subOneAll(subOneAll([6]))), add(repeat(mul([7], [11])), add(if_then_else([4], [3], [6], [11]), if_then_else([10], [6], [11], [8])))), div(mul([2], repeat(addOneAll([9]))), addOneAll(repeat(concatenate([1], [4])))))))), sub(add(concatenate([6], [13]), concatenate([8], [1])), subOneAll(concatenate([8], [7])))), subOneAll(add(repeat(addOneAll([2])), concatenate(addOneAll([8]), mul([12], [12]))))), mul([11], [10]), sub([3], [10])), addOneAll([9])), repeat(subOneAll(add([9], [1])))), if_then_else(add(div(addOneAll([11]), addOneAll([10])), concatenate(div([2], div(repeat([10]), repeat([12]))), add([10], [9]))), repeat(sub(mul([4], [7]), div([11], add([9], [5])))), mul(repeat(repeat([9])), concatenate(addOneAll([5]), mul([3], [5]))), add(subOneAll(addOneAll([9])), addOneAll(subOneAll([7])))))), mul([2], [8]))), addOneAll(div(repeat([10]), repeat([12])))), if_then_else(subOneAll(addOneAll([7])), concatenate(mul(mul([3], [3]), repeat([2])), sub(addOneAll([9]), [8])), [10], add(addOneAll(mul([1], [5])), repeat([10])))))","[6, 11, 11, 10, 10, 4]"
0.8,90.66875,42,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.3936609374091675,"sub(repeat(sub(concatenate(add([4], [12]), repeat([10])), repeat(div([1], [6])))), subOneAll(mul(subOneAll(sub([10], [13])), sub(repeat([2]), [8]))))","[4, 10, 10, 4, 10, 4]"
