mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,175.0,4,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.3295396206479102,"[10, 10, 10, 10, 10, 10, 10, 10, 11, 13, 1]"
0.1,174.962,9,"[1, 3]",0.7113248654051871,"[11, 11, 5, 3, 11, 11, 5, 3]"
0.2,175.0,7,"[1, 3]",0.4522774424948339,"[2, 2, 3, 3, 3, 11, 13]"
0.3,175.0,18,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.439887966388796,"[13, 6, 6, 11, 13, 6, 6, 11]"
0.4,174.988,38,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.5049262285116628,"[5, 13, 4, 2, 12, 6, 12, 6]"
0.5,145.525,41,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.38006958012193337,"[2, 6, 2, 6, 12, 5, 6]"
0.6,174.912,49,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.4871774059316293,"[4, 13, 10, 13, 12, 10, 4, 3]"
0.7,145.562,29,"[1, 3]",0.8613249509436927,"[12, 5, 12, 5, 12, 5, 12, 3]"
0.8,174.975,48,"[1, 3]",0.8377785788692375,"[3, 12, 12, 12, 12, 2, 13]"
0.9,145.462,44,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.23129388521419258,"[10, 6, 6, 3, 4, 3, 4]"
