rand,Avg_max_fit,Gen,Dataset,CosDist,Hof
0,174.922,35,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.3651609119418133,"[12, 6, 6, 12, 6, 6, 12, 6, 6, 12, 6, 6, 12, 12, 4, 4, 10, 4, 13]"
1045,174.822,24,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.08534087923995304,"[6, 6, 6, 6, 11, 10, 10, 11, 10, 10]"
2272,174.989,6,"[1, 3]",0.5133357366077125,"[3, 3, 5, 2, 6, 11, 5, 2, 3]"
3360,174.978,47,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.5049262285116629,"[13, 4, 13, 4, 12, 6, 2, 13, 10, 13, 10]"
4684,174.956,47,"[1, 3]",0.3291796067500631,"[3, 3, 3, 5, 3, 3, 3, 5]"
