mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,109.0,4,"[6, 6, 6, 6]",0.6666666666666667,"[13, 10, 2, 11, 8, 11, 6]"
0.1,109.0,5,"[6, 6, 6, 6]",1.0,"[2, 1, 2, 1, 2, 1, 2, 1]"
0.2,109.0,5,"[6, 6, 6, 6]",0.4654775161751512,"[6, 2, 13, 13, 2, 4, 3, 6]"
0.3,108.975,16,"[6, 6, 6, 6]",0.5,"[12, 3, 10, 6, 12, 3, 10, 6]"
0.4,108.875,36,"[6, 6, 6, 6]",1.0,"[2, 4, 4, 1, 12, 1, 1, 12, 1]"
0.5,108.95,39,"[6, 6, 6, 6]",1.0,"[3, 2, 3, 5, 3, 2, 3, 5]"
0.6,108.975,50,"[6, 6, 6, 6]",0.5149287499273341,"[11, 11, 4, 6, 11, 4, 6]"
0.7,95.125,25,"[6, 6, 6, 6]",0.7113248654051871,"[2, 10, 4, 1, 4, 12, 2, 6]"
0.8,81.225,59,"[6, 6, 6, 6]",1.0,"[4, 4, 12, 12, 4, 4, 12, 12]"
0.9,108.925,43,"[6, 6, 6, 6]",0.5,"[11, 2, 3, 6, 11, 2, 3, 6]"
