cross,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,109.0,3,"[6, 6, 6, 6]",1.0,"[3, 3, 10, 2, 2, 10, 12]"
0.1,109.0,3,"[6, 6, 6, 6]",1.0,"[12, 12, 1, 2, 12, 2, 1, 11, 2, 1, 11]"
0.2,109.0,6,"[6, 6, 6, 6]",0.44529980377477085,"[13, 11, 11, 1, 3, 6, 6, 4, 12]"
0.3,109.0,28,"[6, 6, 6, 6]",1.0,"[3, 4, 4, 13, 13, 4, 4]"
0.4,109.0,39,"[6, 6, 6, 6]",0.5527864045000421,"[4, 2, 6, 3, 10, 4, 2, 6, 3, 10]"
0.5,108.988,16,"[6, 6, 6, 6]",1.0,"[4, 2, 4, 2, 4, 2, 4, 2, 2, 2, 13, 2, 2, 4]"
0.6,108.962,15,"[6, 6, 6, 6]",0.6666666666666667,"[2, 6, 2, 1, 1, 2, 6, 2, 1, 1]"
0.7,108.962,6,"[6, 6, 6, 6]",0.7867992836443896,"[13, 1, 4, 2, 4, 13, 1, 4, 2, 6]"
0.8,108.938,48,"[6, 6, 6, 6]",1.0,"[4, 4, 1, 10, 12, 12, 12, 12]"
