size,Avg_max_fit,Gen,Dataset,CosDist,Hof
80,109.0,62,"[6, 6, 6, 6]",0.6464466094067263,"[2, 6, 5, 10, 11, 1, 4, 13]"
81,109.0,57,"[6, 6, 6, 6]",1.0,"[3, 3, 3, 3, 3, 3, 3, 11]"
82,109.0,39,"[6, 6, 6, 6]",1.0,"[4, 12, 4, 12, 4, 12, 4, 12, 4, 12, 4, 12, 4, 12, 4, 12]"
83,108.964,61,"[6, 6, 6, 6]",1.0,"[12, 10, 3, 12, 10, 5, 12, 10, 3, 12, 10, 5]"
84,108.952,61,"[6, 6, 6, 6]",0.7705842661294382,"[6, 12, 2, 4, 4, 4, 4]"
