mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,121.0,2,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7278761172025887,"[3, 12, 4, 3, 12, 3, 12]"
0.1,121.0,7,"[1, 2, 1, 9, 2]",0.7278344730240913,"[12, 12, 2, 10, 12, 12, 2, 10]"
0.2,121.0,10,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7607405581781683,"[8, 5, 11, 4, 5, 11, 4]"
0.3,120.975,21,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7829907300233145,"[12, 3, 4, 3, 10, 10, 10, 3]"
0.4,120.95,5,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7250792926154213,"[3, 11, 3, 11, 3, 11, 3, 4]"
0.5,120.85,35,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7440627499385988,"[8, 10, 4, 3, 3, 13, 8, 10, 4, 3, 3, 11]"
0.6,120.912,6,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.6748719556188225,"[4, 12, 4, 3, 3, 2, 13]"
0.7,120.925,13,"[1, 2, 1, 9, 2]",0.6150998205402495,"[13, 8, 12, 12, 2, 4, 2, 5]"
0.8,106.875,43,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7073847600569403,"[12, 4, 12, 4, 2, 3, 8]"
0.9,106.962,40,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.8312150122403558,"[8, 4, 8, 11, 8, 3, 11, 11]"
