rand,Avg_max_fit,Gen,Dataset,CosDist,Hof
128543,120.933,40,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7578760007604535,"[3, 3, 3, 4, 5, 5, 8, 5, 8, 10]"
129322,120.967,47,"[1, 2, 1, 9, 2]",0.6666666666666667,"[3, 4, 2, 8, 3, 4, 2, 8]"
130091,120.933,29,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7843344535931231,"[4, 4, 4, 4, 4, 4, 4, 4]"
130883,120.978,26,"[1, 2, 1, 9, 2]",0.7278344730240913,"[6, 6, 2, 3, 6, 6, 2, 3]"
131715,120.989,42,"[1, 2, 1, 9, 2]",0.6557348136704519,"[6, 6, 3, 13, 13, 2, 4, 2, 12]"
