optimal,Max_fit,Gen,Hof
23467,0.09684723567513961,95,"[0.057664584334454594, 1.0, 0.0020527545097144178, 0.017910194840200098, 0.0013376966575512554, 0.08810674502225851]"
23476,0.10428980528638582,25,"[0.07009975734699381, 1.0, 0.0, 0.018080849708013397, 0.005392289026691831, 0.08877443922923028]"
23484,0.08153487122766948,100,"[0.0006541141580403725, 1.0, 0.0019052177141954264, 0.017945794676905068, 0.0013454191704509802, 0.08386100459832166]"
23493,0.08406402428125008,97,"[0.027791634005558327, 1.0, 0.0019953772714368903, 0.0180734037675552, 0.0013361017225424323, 0.08543862365605287]"
23501,0.08209730815147662,71,"[0.0, 1.0, 0.013476045463351197, 0.018065848032486707, 0.0013465407578543563, 0.08483691585384778]"
23510,0.08176079728052364,61,"[0.0, 1.0, 0.0, 0.017996121415144953, 0.001326548299537673, 0.0837464980955505]"
23518,0.12519280085641848,85,"[0.10100115176752016, 1.0, 0.0, 0.01808184518176974, 0.00134109409884256, 0.09071773154309885]"
23527,0.0882235255299881,48,"[0.039318479685452164, 1.0, 0.001921520683644223, 0.018041476247037107, 0.0013335550660556555, 0.08668153517863827]"
23535,0.08234171830096094,89,"[0.014113710640230493, 1.0, 0.0019645836362330877, 0.018089759078439478, 1.3689055169019064e-05, 0.08551745242098117]"
23544,0.08237238046606385,90,"[0.014203195468767076, 1.0, 0.002352870796717187, 0.017962465093989424, 0.0, 0.08546948605005171]"
