optimal,Max_fit,Gen,Hof
29998,0.08299604764367552,65,"[0.02533962131343704, 1.0, 0.0020469619173827903, 0.018071856321868376, 0.0021116351094530865, 0.08478149497809685]"
30007,0.08484979058616729,95,"[0.028249537581974106, 1.0, 0.01341035772577651, 0.018017605428024972, 0.0013415067718994575, 0.08666961235137245]"
30015,0.08238409455546929,65,"[0.0142070399637833, 1.0, 0.0019321572270326814, 0.017996228803874633, 4.320841772449274e-07, 0.08547808608449774]"
30025,0.08210937665167858,99,"[0.0, 1.0, 0.0019140570111006372, 0.018038979717866003, 6.09648965241929e-05, 0.08469463196313831]"
30033,0.0821218045157692,99,"[0.0006533847239806127, 1.0, 0.0010023387905111927, 0.018049390982311328, 0.00011399269928319277, 0.08471806340303166]"
30043,0.08182214084045868,98,"[0.0006761351560713653, 1.0, 0.002092653218714262, 0.01797526690782723, 0.0013469732318309854, 0.08417818211609292]"
30052,0.08418945373743644,83,"[0.027557246899809724, 1.0, 0.0020154331015578533, 0.018084145545210022, 0.0013441138618971353, 0.08561876215718524]"
30061,0.08229421920151075,91,"[0.002613149424171386, 1.0, 0.0, 0.018089170685674658, 0.00013091395604373428, 0.08462032408989002]"
30071,0.08569953466656405,52,"[0.03272302298402805, 1.0, 0.013502494979522354, 0.01804488149317518, 0.002337358784573432, 0.08759526553961054]"
30080,0.08206347909608133,76,"[0.0038946796257907372, 1.0, 0.0019023980405512642, 0.01800421670587437, 5.267415999014383e-06, 0.08478198676928475]"
