optimal,Max_fit,Gen,Hof
50200,0.08214248355153853,98,"[0.000998396353956786, 1.0, 0.0025974999723795767, 0.018006315290745954, 0.001301466201682487, 0.08460372374643062]"
50209,0.08216114902432736,94,"[0.01417479930089854, 1.0, 0.013439881663186421, 0.017980835211054147, 6.742724897531832e-06, 0.0860713311996166]"
50218,0.08208239484144526,87,"[0.003358729120725342, 1.0, 0.0019156156651766803, 0.018026802385796965, 4.957165551939954e-05, 0.08474763691569406]"
50227,0.08225274329069247,100,"[0.014165279949193255, 1.0, 0.002157665029084837, 0.018060321983659436, 7.848308389400708e-06, 0.08560568535722494]"
50235,0.08875906827732913,97,"[0.04028648164726947, 1.0, 0.0019490227604051795, 0.018081349621597034, 5.707527274832022e-07, 0.08722800984630427]"
50244,0.08211237406402243,49,"[0.0, 1.0, 0.013502847021870346, 0.01805129260087273, 0.0, 0.08506776849353065]"
50253,0.07905320444807351,99,"[0.014213093418787025, 1.0, 0.01339986325470168, 0.01801520577378096, 0.0, 0.08927676110362037]"
50261,0.08204655753745228,99,"[0.0037453100568895416, 1.0, 0.0019430281478185658, 0.017936772585485976, 0.00016794728137228896, 0.08478147543110758]"
50270,0.08220309861855896,49,"[0.014202265474596718, 1.0, 0.013386096422574432, 0.017958226310478276, 6.081942522808436e-06, 0.08602408235433649]"
50279,0.0823921009321386,96,"[0.014182966048796227, 1.0, 0.002130462908156906, 0.01805689042571589, 0.0, 0.08546663311710978]"
