gen,nevals,avg,std,min,max
0,22,[0.05381959],[0.00065642],[0.05238883],[0.05493137]
1,31,[0.05484174],[0.00026256],[0.05435338],[0.05572329]
2,31,[0.05521981],[0.00033794],[0.05489858],[0.05573517]
3,33,[0.05571967],[1.47348699e-05],[0.05569396],[0.05573517]
4,23,[0.05577104],[0.00016434],[0.05573517],[0.05652415]
5,29,[0.05588195],[0.00052549],[0.05573517],[0.05816962]
6,41,[0.05663366],[0.0015367],[0.05573517],[0.06232985]
7,32,[0.06003555],[0.0043667],[0.05816962],[0.0784055]
8,36,[0.06650227],[0.00685758],[0.06232985],[0.0784055]
9,34,[0.07842358],[5.98540476e-05],[0.07840228],[0.07864533]
10,30,[0.07856249],[0.00016109],[0.0784055],[0.07888981]
11,39,[0.0787959],[8.61623203e-05],[0.07864533],[0.07889355]
12,26,[0.07889205],[1.72460355e-06],[0.07888981],[0.07889467]
13,32,[0.07889375],[4.26878216e-07],[0.07889355],[0.07889467]
14,34,[0.07889445],[4.2681392e-07],[0.07889355],[0.07889467]
15,32,[0.07889811],[1.4891548e-05],[0.07889467],[0.0789663]
16,38,[0.07891325],[2.96839349e-05],[0.07889467],[0.0789663]
17,38,[0.07896788],[4.07142904e-05],[0.07893067],[0.07914366]
18,34,[0.07900173],[7.21136561e-05],[0.0789663],[0.07918394]
19,34,[0.07924153],[0.00023757],[0.07897813],[0.07993086]
20,29,[0.07952578],[0.00027962],[0.07921348],[0.08010608]
21,22,[0.07990266],[0.00010918],[0.07976713],[0.08010608]
22,35,[0.08008344],[5.46889793e-05],[0.07993087],[0.08012546]
23,29,[0.08010965],[7.47552187e-06],[0.08010608],[0.08012564]
24,25,[0.08013049],[2.14998796e-05],[0.08010665],[0.08020818]
25,44,[0.08014982],[3.29973238e-05],[0.08012564],[0.08020818]
26,38,[0.0802115],[2.16117263e-05],[0.08018148],[0.08030719]
27,29,[0.08023915],[4.47219894e-05],[0.08020818],[0.08030719]
28,29,[0.08030717],[5.92947719e-08],[0.08030699],[0.08030719]
29,31,[0.08030733],[6.15743457e-07],[0.08030719],[0.08031015]
30,32,[0.08030839],[2.42858397e-06],[0.08030719],[0.08031708]
31,39,[0.08031224],[3.22721253e-06],[0.0803089],[0.08031822]
32,36,[0.08032068],[1.05408529e-05],[0.08031708],[0.08036841]
33,36,[0.08032888],[2.05947394e-05],[0.08031822],[0.08039959]
34,39,[0.08035377],[2.80261783e-05],[0.08032167],[0.08039959]
35,31,[0.08039142],[1.42285589e-05],[0.08036841],[0.08041011]
36,34,[0.08040198],[4.4087636e-06],[0.08039959],[0.08041011]
37,33,[0.08041021],[2.08880968e-07],[0.08041011],[0.08041065]
38,26,[0.08041055],[2.08880968e-07],[0.08041011],[0.08041065]
39,35,[0.08041086],[7.7074576e-07],[0.08041065],[0.08041425]
40,38,[0.08041116],[8.44415645e-07],[0.08041065],[0.08041425]
41,32,[0.08041267],[1.15109576e-06],[0.08041168],[0.08041479]
42,40,[0.08041476],[7.42581899e-07],[0.08041425],[0.08041624]
43,31,[0.080416],[4.61469324e-07],[0.08041479],[0.08041692]
44,27,[0.08041642],[3.06497918e-07],[0.08041624],[0.08041692]
45,38,[0.0804168],[2.65434983e-07],[0.08041624],[0.08041692]
46,24,[0.08041692],[0.],[0.08041692],[0.08041692]
47,32,[0.08041692],[0.],[0.08041692],[0.08041692]
48,40,[0.08041692],[0.],[0.08041692],[0.08041692]
49,32,[0.08041692],[0.],[0.08041692],[0.08041692]
50,35,[0.08041692],[0.],[0.08041692],[0.08041692]
51,34,[0.08041692],[0.],[0.08041692],[0.08041692]
52,33,[0.08041692],[0.],[0.08041692],[0.08041692]
53,37,[0.08041692],[0.],[0.08041692],[0.08041692]
54,33,[0.08041694],[6.65492624e-08],[0.08041692],[0.08041724]
55,35,[0.08041701],[1.42288308e-07],[0.08041692],[0.08041724]
56,26,[0.08041747],[1.02293252e-06],[0.08041724],[0.08042215]
57,32,[0.08041747],[1.02293252e-06],[0.08041724],[0.08042215]
58,29,[0.08041814],[1.89410297e-06],[0.08041724],[0.08042215]
59,27,[0.08042128],[1.90210044e-06],[0.08041724],[0.08042247]
60,38,[0.08042222],[1.26519289e-07],[0.08042215],[0.08042247]
61,33,[0.08042247],[2.24803002e-08],[0.08042237],[0.08042247]
62,39,[0.08042257],[4.20424002e-07],[0.08042247],[0.08042449]
63,38,[0.08042284],[7.78473982e-07],[0.08042247],[0.08042449]
64,34,[0.08042394],[8.98904327e-07],[0.08042247],[0.08042449]
65,36,[0.08042449],[1.38777878e-17],[0.08042449],[0.08042449]
66,32,[0.08042449],[1.38777878e-17],[0.08042449],[0.08042449]
67,36,[0.08042449],[1.38777878e-17],[0.08042449],[0.08042449]
68,30,[0.08042449],[1.38777878e-17],[0.08042449],[0.08042449]
69,39,[0.08042449],[1.38777878e-17],[0.08042449],[0.08042449]
70,42,[0.08042449],[1.38777878e-17],[0.08042449],[0.08042449]
71,39,[0.08042449],[1.38777878e-17],[0.08042449],[0.08042449]
72,28,[0.08042449],[1.38777878e-17],[0.08042449],[0.08042449]
73,39,[0.08042449],[1.38777878e-17],[0.08042449],[0.08042449]
74,27,[0.08042449],[1.38777878e-17],[0.08042449],[0.08042449]
75,27,[0.08042449],[1.38777878e-17],[0.08042449],[0.08042449]
76,43,[0.08044096],[7.54841754e-05],[0.08042449],[0.08078688]
77,32,[0.08052332],[0.00016139],[0.08042449],[0.08078688]
78,29,[0.08077962],[3.32421809e-05],[0.08062729],[0.08078688]
79,40,[0.08080193],[6.90084266e-05],[0.08078688],[0.08111817]
80,34,[0.08085884],[0.00015992],[0.08078688],[0.08137621]
81,34,[0.08115395],[0.00019187],[0.08078688],[0.08153011]
82,38,[0.08141857],[6.90277778e-05],[0.08137621],[0.0815371]
83,32,[0.08153634],[2.41310388e-05],[0.08153011],[0.08164638]
84,42,[0.08161045],[0.00013444],[0.08153011],[0.08194693]
85,33,[0.08189551],[9.99263635e-05],[0.08164638],[0.08194693]
86,31,[0.08195148],[2.0069717e-05],[0.08194693],[0.08204338]
87,33,[0.08196513],[3.69094096e-05],[0.08194693],[0.08204338]
88,24,[0.08202229],[3.88977837e-05],[0.08195056],[0.08204338]
89,38,[0.08204538],[3.91221373e-06],[0.08204338],[0.08205961]
90,36,[0.08205186],[4.95577708e-06],[0.08204701],[0.08206324]
91,32,[0.08206078],[2.42965594e-06],[0.08205961],[0.08206992]
92,33,[0.08206554],[5.08072755e-06],[0.08206049],[0.08208301]
93,24,[0.08207166],[4.51398096e-06],[0.08206892],[0.08208301]
