rand,Max_fit,Gen,Dataset,Dist,Hof
156826,11.0,45,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.0032161810846966787,"[9, 9, 9, 9, 9, 10, 9, 10, 10, 9, 9, 9, 10, 9, 9, 9]"
156886,11.0,43,"[1, 9, 10, 9, 9, 9, 10, 10, 9, 10, 10, 10, 9, 10, 10, 9, 9, 9, 10, 9, 9, 10, 10, 10, 9, 9, 2]",0.0026350506934470497,"[10, 9, 9, 9, 9, 10, 10, 10, 9, 9, 9, 9, 10, 10, 10, 2]"
156945,11.0,33,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.0009244587290389017,"[1, 9, 9, 9, 9, 9, 9, 10, 10, 9, 10, 9, 9, 9, 10, 9, 2]"
157008,10.0,40,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.0009244587290389017,"[1, 9, 9, 9, 9, 10, 9, 10, 10, 9, 9, 9, 10, 9, 9, 9, 2]"
157070,10.0,45,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.0009244587290389017,"[1, 9, 10, 9, 9, 10, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 2]"
157132,10.0,39,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.0009244587290389017,"[1, 9, 10, 9, 9, 9, 10, 9, 9, 10, 9, 9, 9, 9, 9, 10, 2]"
157196,11.0,38,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.001958344323201411,"[1, 9, 9, 9, 9, 10, 10, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9]"
157258,10.0,40,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.0009244587290389017,"[1, 10, 9, 9, 9, 9, 10, 10, 9, 9, 9, 10, 9, 9, 9, 9, 2]"
157322,11.0,36,"[1, 9, 10, 9, 9, 9, 10, 10, 9, 10, 10, 10, 9, 10, 10, 9, 9, 9, 10, 9, 9, 10, 10, 10, 9, 9, 2]",0.0017268187638057597,"[1, 9, 9, 9, 9, 10, 9, 10, 9, 9, 10, 10, 9, 10, 10, 10, 2]"
157385,11.0,38,"[1, 10, 9, 10, 9, 9, 9, 2]",0.0015961702114103415,"[1, 10, 9, 9, 10, 10, 9, 10, 2, 9, 9, 9, 9, 9, 9, 10, 1, 2]"
