rand,Max_fit,Gen,Dataset,Dist,Hof
152798,14.0,46,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
152822,14.0,36,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
152849,14.0,38,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
152877,14.0,37,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
152905,14.0,37,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
152933,14.0,40,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
152960,14.0,33,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
152989,14.0,37,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
153018,14.0,41,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
153044,14.0,41,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
