optimal,Max_fit,Gen,Hof
21537,0.08231350178853489,96,"[0.014096203879568827, 1.0, 0.013497642901243945, 0.0177897945248676, 8.720592015326255e-06, 0.08588222689843732]"
21546,0.08251991351787503,100,"[0.014199841825645718, 1.0, 0.0, 0.01804640684256267, 0.001343773665683959, 0.08525467201066927]"
21555,0.08216132970735025,90,"[0.0006815871387410215, 1.0, 0.001976987868911109, 0.01800882376898115, 0.0013430784095261087, 0.08451099219767957]"
21563,0.08440440018657587,67,"[0.026956040917887752, 1.0, 0.002015916991358055, 0.01807510498984656, 0.002073541609068289, 0.08595190240044973]"
21572,0.08238460954454993,100,"[0.01418184450589574, 1.0, 0.0020306237936074858, 0.01799299442060162, 4.462618702993789e-06, 0.08546914585723689]"
21580,0.08433343437936673,80,"[0.03135779241141424, 1.0, 0.0019796830328705772, 0.017945272984953086, 0.0031357792411414237, 0.08487492394773789]"
21589,0.09974553938762785,81,"[0.06302107267117442, 1.0, 0.013469929140005844, 0.018033986041537817, 0.001347250604534434, 0.08880600532915532]"
21597,0.11067669397703817,49,"[0.08030231459612659, 1.0, 0.013354000252062704, 0.01801560238631299, 0.004723665564478035, 0.09008819289813043]"
21606,0.08233952260593826,83,"[0.014208013836742717, 1.0, 0.0019388847665967256, 0.018018789766737493, 0.0013495210096339373, 0.08532175834674068]"
21614,0.09719888420664138,100,"[0.05843071786310518, 1.0, 0.0018974702076319696, 0.01801642836716275, 8.131792059815457e-07, 0.08840243597441291]"
21623,0.08185865062469078,100,"[0.001042024702246882, 1.0, 0.0025926257684833667, 0.01798938987253777, 4.065728074687531e-06, 0.08432836495338696]"
21632,0.08174598094507128,93,"[0.000656647877105948, 1.0, 0.0008129310228027153, 0.017954907498519572, 0.0013486383379628603, 0.083942616248055]"
21641,0.08163094801477547,93,"[0.014021186462148071, 1.0, 0.013095738235722658, 0.018055977615285854, 2.5953101860387577e-05, 0.08656575794868024]"
21649,0.0822136729506923,95,"[0.014068825550297226, 1.0, 0.0018719817343665428, 0.018033267917795644, 0.0013365172933836435, 0.08518618512380051]"
21659,0.09174547671463536,74,"[0.04736915432127432, 1.0, 0.013495767133245686, 0.018018372056138154, 7.443186226643915e-06, 0.08803637915804122]"
21669,0.08827175103386317,99,"[0.038872691933916424, 1.0, 0.013486973814153183, 0.018014058373433783, 0.0013476568034821118, 0.08738271319807787]"
21682,0.08179254770025958,77,"[0.014196179799772496, 1.0, 0.013505430635421312, 0.018056280029787996, 4.796892877647618e-07, 0.08647112172095259]"
21696,0.08227057471337237,88,"[0.014132310037835157, 1.0, 0.013346921506994666, 0.01795495219033937, 0.001893521002303784, 0.0857582606927725]"
21713,0.08221815138150605,90,"[0.0006315813784238495, 1.0, 0.0018871178622166913, 0.01807985758252644, 0.0022571665036490857, 0.08451591856302015]"
21729,0.08468783129217908,82,"[0.027431258572268302, 1.0, 0.001923668753364335, 0.018045165293929355, 0.0013449042420576685, 0.08616661832745896]"
