mutate,Max_fit,Gen,Dataset,Dist,Hof
0.0,8.0,0,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.3936609374091675,"[10, 2]"
0.1,5.0,18,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 6, 10, 2]"
0.2,5.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.09251478702696991,"[6, 10, 6, 4, 2]"
0.30000000000000004,5.0,8,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.04869701169101193,"[6, 10, 6, 6, 10]"
0.4,5.0,12,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.07613022912568812,"[1, 10, 6, 3, 6, 4, 2]"
0.5,5.0,11,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 10, 6, 2]"
0.6000000000000001,5.0,12,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.04869701169101193,"[6, 10, 6, 10, 10]"
0.7000000000000001,5.0,8,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 6, 10, 10, 2]"
0.8,5.0,6,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 6, 10, 4]"
0.9,5.0,8,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 6, 10, 2]"
