mu,Max_fit,Gen,Dataset,Dist,Hof
60,5.0,9,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 6, 10, 4]"
61,5.0,9,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 6, 10, 10, 4]"
62,5.0,13,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 6, 10, 10, 2]"
63,5.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 10, 6, 2]"
64,5.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 6, 10, 4]"
65,5.0,8,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.09251478702696991,"[10, 6, 6, 4, 2]"
66,5.0,9,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 6, 10, 10, 4]"
67,5.0,9,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 6, 10, 2]"
68,5.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 10, 6, 4]"
69,5.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 10, 6, 2]"
