rand,Max_fit,Gen,Dataset,Dist,Hof
95749,5.0,12,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.04869701169101193,"[6, 10, 10, 6, 10]"
95758,5.0,9,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 10, 6, 2]"
95768,5.0,13,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 6, 10, 10, 4]"
95778,5.0,16,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 6, 10, 10, 2]"
95788,5.0,13,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 6, 10, 10, 2]"
95799,5.0,11,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 6, 10, 10, 4]"
95811,5.0,13,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 10, 6, 4]"
95821,5.0,9,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 6, 10, 4]"
95831,5.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 6, 10, 10, 2]"
95841,5.0,12,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 6, 10, 4]"
