lamb,Max_fit,Gen,Dataset,Dist,Hof
100,5.0,11,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 6, 10, 10, 2]"
101,5.0,12,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 10, 6, 2]"
102,5.0,12,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 10, 6, 4]"
103,5.0,8,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 10, 6, 4]"
104,5.0,12,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 6, 10, 4]"
105,5.0,11,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 10, 6, 4]"
106,5.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 6, 10, 2]"
107,5.0,12,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 6, 10, 2]"
108,5.0,11,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 6, 10, 4]"
109,5.0,8,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 10, 6, 4]"
