cross,Max_fit,Gen,Dataset,Dist,Hof
0.0,5.0,12,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.12095092700846743,"[6, 6, 6, 10, 2]"
0.1,5.0,11,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 6, 10, 10, 4]"
0.2,5.0,9,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 10, 6, 4]"
0.30000000000000004,5.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 6, 10, 2]"
0.4,5.0,8,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 6, 10, 2]"
0.5,5.0,13,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 6, 10, 2]"
0.6000000000000001,5.0,12,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 6, 10, 2]"
0.7000000000000001,5.0,11,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.09251478702696991,"[10, 6, 10, 4, 2]"
