optimal,Max_fit,Gen,Dataset,Dist,Hof
133849,9.0,52,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2014957943904805,"[3, 7, 7, 6, 3, 9, 3, 9, 4, 4]"
134115,9.0,134,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.21159950376363046,"[4, 7, 4, 4, 3, 3, 6, 9, 9, 9]"
134367,9.0,28,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[7, 7, 7, 3, 6, 3, 7, 3, 4, 4, 7]"
134672,9.0,32,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14406598736065113,"[7, 4, 4, 3, 4, 6, 3, 9, 9, 3, 7]"
134957,9.0,42,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 6, 3, 7, 4, 7, 3, 4, 7, 7, 7]"
135221,9.0,51,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14406598736065113,"[3, 4, 4, 4, 7, 6, 3, 9, 3, 9, 7]"
135492,9.0,98,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.26548296191217813,"[4, 3, 6, 4, 4, 4, 9, 9, 7, 7]"
135743,9.0,26,"[7, 7, 7, 7, 6, 7]",0.22240681407904705,"[7, 6, 7, 4, 7, 7, 4, 4, 7, 4, 3]"
136039,9.0,53,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[7, 3, 4, 3, 4, 4, 7, 6, 7, 7, 7]"
136306,9.0,27,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.22221520810631368,"[7, 3, 7, 4, 6, 4, 7, 3, 4, 9, 4]"
