optimal,Max_fit,Gen,Dataset,Dist,Hof
143578,10.0,34,"[1, 10, 9, 10, 9, 9, 10, 9, 9, 10, 9, 2]",5,"[1, 10, 9, 9, 9, 10, 9, 9, 10, 9, 9, 9, 10, 9, 10, 9, 2]"
143692,10.0,34,"[1, 10, 9, 10, 9, 9, 10, 9, 9, 10, 9, 2]",6,"[1, 10, 9, 9, 10, 9, 10, 9, 9, 9, 9, 10, 9, 9, 10, 10, 2]"
143806,10.0,50,"[1, 10, 9, 10, 9, 9, 10, 9, 9, 10, 9, 2]",6,"[1, 9, 10, 9, 9, 9, 9, 9, 9, 10, 9, 9, 10, 10, 9, 9, 2]"
143918,11.0,31,"[1, 10, 9, 10, 9, 9, 10, 9, 9, 10, 9, 2]",7,"[10, 9, 9, 1, 10, 9, 10, 10, 9, 9, 9, 9, 9, 9, 10, 9, 9]"
144027,10.0,32,"[1, 10, 9, 10, 9, 9, 10, 9, 9, 10, 9, 2]",6,"[1, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 10, 9, 9, 2]"
144142,10.0,43,"[1, 10, 9, 10, 9, 9, 10, 9, 9, 10, 9, 2]",5,"[1, 10, 9, 9, 10, 9, 9, 10, 9, 9, 9, 10, 9, 10, 9, 9, 2]"
144255,11.0,31,"[1, 10, 9, 10, 9, 9, 10, 9, 9, 10, 9, 2]",6,"[10, 9, 9, 1, 9, 10, 9, 10, 10, 9, 9, 10, 9, 9, 10, 9, 9]"
144368,10.0,47,"[1, 10, 9, 10, 9, 9, 10, 9, 9, 10, 9, 2]",6,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 10, 9, 9, 10, 10, 2]"
144484,10.0,44,"[1, 10, 9, 10, 9, 9, 10, 9, 9, 10, 9, 2]",5,"[1, 10, 9, 9, 10, 9, 9, 10, 9, 9, 9, 10, 9, 9, 10, 10, 2]"
144595,11.0,33,"[1, 10, 9, 10, 9, 9, 10, 9, 9, 10, 9, 2]",6,"[1, 10, 9, 9, 9, 10, 9, 9, 10, 9, 9, 9, 9, 9, 10, 10]"
