size,Avg_max_fit,Gen,Dataset,CosDist,Hof
80,120.988,29,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.730418066991404,"[4, 5, 3, 8, 4, 5, 3, 8]"
81,120.951,19,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7843344535931231,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
82,121.0,32,"[1, 2, 1, 9, 2]",0.6857303194726456,"[13, 8, 2, 8, 3, 13, 4, 5, 2, 5]"
83,120.928,41,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7603716151034702,"[11, 3, 3, 11, 3, 3, 11, 3, 3, 11, 3, 3, 10]"
84,120.857,48,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.8621876345823224,"[11, 11, 8, 8, 5, 6, 3, 8, 8, 5, 6, 12]"
