rand,Avg_max_fit,Gen,Dataset,CosDist,Hof
149382,120.967,24,"[1, 2, 1, 9, 2]",0.6766191666182226,"[4, 4, 2, 10, 2, 10, 3, 11, 11, 4, 4, 2, 10, 2, 10, 3, 11, 11]"
150365,120.967,48,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7509708774541239,"[3, 3, 11, 10, 5, 3, 3, 11, 10, 2, 13]"
151235,120.911,42,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7843344535931231,"[4, 5, 11, 5, 11, 4, 5, 11, 5, 11]"
152502,120.967,35,"[1, 2, 1, 9, 2]",0.6766191666182226,"[13, 4, 4, 2, 8, 10, 2, 10, 8]"
153956,108.467,50,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.8270828746887295,"[4, 8, 4, 8, 4, 10, 4, 8, 4, 8, 4, 10]"
