mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,121.0,3,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.4294025978425444,"[9, 11, 2, 3, 12, 10, 5]"
0.1,121.0,6,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7906479884058972,"[11, 8, 3, 11, 8, 3, 12]"
0.2,120.988,6,"[1, 2, 1, 9, 2]",0.6301998691831805,"[6, 6, 2, 2, 3, 3, 4]"
0.3,121.0,14,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7595888155270245,"[13, 11, 2, 2, 3, 3, 12, 12, 10, 10, 5, 5, 5, 5]"
0.4,106.938,46,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.6918421827860317,"[3, 4, 3, 5, 3, 4, 3, 5]"
0.5,121.0,24,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.739897564495058,"[3, 3, 5, 8, 12, 11, 5]"
0.6,120.938,37,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7724103689331757,"[3, 8, 4, 13, 8, 4, 11]"
0.7,120.938,41,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7483901958586436,"[3, 8, 3, 12, 10, 6, 4]"
0.8,120.938,48,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7843344535931231,"[10, 8, 12, 11, 5, 4, 5]"
0.9,120.962,15,"[1, 2, 1, 9, 2]",0.7018576030000281,"[4, 6, 12, 2, 13, 4, 6, 12, 2, 13, 4, 6, 12, 2, 13, 4, 6, 12, 2, 13]"
