rand,Max_fit,Gen,Dataset,Dist,Hof
157538,10.0,53,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.0009244587290389017,"[1, 9, 9, 9, 10, 10, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 2]"
157637,11.0,36,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.001958344323201411,"[9, 10, 9, 9, 9, 9, 10, 9, 10, 9, 10, 9, 9, 9, 9, 9, 2]"
157737,11.0,41,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.001958344323201411,"[9, 10, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 2]"
157834,10.0,45,"[1, 9, 10, 9, 9, 9, 10, 10, 9, 10, 10, 10, 9, 10, 10, 9, 9, 9, 10, 9, 9, 10, 10, 10, 9, 9, 2]",0.0017268187638057597,"[1, 10, 9, 9, 9, 10, 9, 10, 10, 10, 9, 9, 9, 9, 10, 10, 2]"
157931,10.0,47,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.0009244587290389017,"[1, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 9, 10, 9, 9, 2]"
158028,10.0,46,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.0009244587290389017,"[1, 9, 10, 9, 9, 9, 9, 10, 10, 9, 9, 9, 10, 9, 9, 9, 2]"
158123,10.0,49,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.0009244587290389017,"[1, 9, 9, 9, 9, 9, 10, 9, 10, 9, 9, 9, 9, 9, 10, 10, 2]"
158212,10.0,48,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.0009244587290389017,"[1, 10, 9, 9, 9, 9, 9, 10, 10, 9, 9, 10, 9, 9, 9, 9, 2]"
158306,11.0,35,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.0009244587290389017,"[1, 9, 9, 9, 9, 9, 9, 10, 10, 9, 9, 9, 2, 9, 10, 10, 9]"
158409,10.0,43,"[1, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 2]",0.0009244587290389017,"[1, 10, 9, 9, 9, 10, 9, 10, 9, 10, 9, 9, 9, 9, 9, 9, 2]"
