mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,7.0,0,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.2614510541240036,"add(concatenate(concatenate(repeat(concatenate(mul([9], [2]), sub([5], [3]))), add(add(sub([2], [1]), sub([12], [4])), if_then_else(add([7], [2]), subOneAll([2]), sub([7], [12]), concatenate([10], [11])))), subOneAll(div(if_then_else(add([8], [4]), subOneAll([8]), mul([11], [5]), if_then_else([2], [10], [7], [10])), mul(if_then_else([13], [3], [8], [8]), subOneAll([7]))))), add(add(concatenate(addOneAll(div([8], [4])), sub(if_then_else([10], [4], [11], [9]), add([11], [5]))), if_then_else(addOneAll(concatenate([11], [10])), concatenate(subOneAll([3]), repeat([1])), sub(mul([9], [3]), repeat([1])), sub(subOneAll([9]), addOneAll([11])))), sub(add(subOneAll(addOneAll([8])), add(concatenate([3], [4]), mul([10], [12]))), subOneAll(addOneAll(mul([8], [11]))))))","[6, 3, 6, 3, 10, 12, 1, 5]"
0.1,6.0,21,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.3277860030064751,"if_then_else(concatenate(repeat(addOneAll([9])), sub(addOneAll(mul(mul(concatenate([8], [13]), mul([2], [5])), subOneAll(concatenate([11], [10])))), subOneAll(div(concatenate(addOneAll([3]), subOneAll([4])), concatenate(div([13], [9]), concatenate([12], [8])))))), mul(repeat(subOneAll([8])), subOneAll(addOneAll([2]))), mul(concatenate(subOneAll([5]), add([4], div(repeat(if_then_else(add(if_then_else([12], [5], [3], [1]), sub([4], [7])), if_then_else(addOneAll([2]), if_then_else([3], [10], [12], [12]), concatenate([2], [10]), mul([6], [4])), div(subOneAll([9]), mul([12], [13])), mul(concatenate([1], [9]), div([13], [13])))), subOneAll(addOneAll(mul(subOneAll([7]), mul([2], [5]))))))), mul(subOneAll([12]), addOneAll([2]))), addOneAll(add(add([1], [8]), sub([9], [5]))))","[10, 10, 9, 10, 4]"
0.2,6.0,0,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.15112531237283455,"mul(concatenate(add(mul(concatenate(concatenate([2], [11]), concatenate([10], [2])), repeat(subOneAll([13]))), concatenate(repeat(repeat([6])), addOneAll(add([6], [7])))), div(subOneAll(repeat(addOneAll([6]))), sub(div(repeat([4]), repeat([6])), addOneAll(div([8], [1]))))), sub(mul(addOneAll(concatenate(sub([10], [4]), if_then_else([12], [4], [7], [3]))), add(subOneAll(repeat([11])), addOneAll(sub([5], [4])))), subOneAll(mul(addOneAll(sub([13], [9])), sub(sub([5], [7]), repeat([3]))))))","[2, 11, 10, 6, 6, 4]"
0.30000000000000004,6.0,3,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.07964201338315557,"repeat(concatenate(add(addOneAll(div(subOneAll([5]), if_then_else([11], [12], [8], [13]))), mul(mul(sub(if_then_else(concatenate(if_then_else(div([13], [5]), div([1], [2]), if_then_else([2], [5], [5], [10]), if_then_else([2], [12], [3], [10])), repeat(add([6], [2]))), add(addOneAll(sub([2], [10])), sub(if_then_else([5], [2], [11], [12]), sub([10], [3]))), repeat(sub(repeat([1]), sub([13], [11]))), concatenate(div(repeat([1]), div([11], [6])), subOneAll(subOneAll([6])))), subOneAll(mul(addOneAll(subOneAll([8])), mul(repeat([1]), concatenate([10], [12]))))), repeat(repeat(div(mul(addOneAll(mul(concatenate(concatenate(if_then_else([10], [5], [2], [3]), concatenate([1], [13])), div(subOneAll([11]), subOneAll([2]))), subOneAll(sub(sub([4], [4]), addOneAll([12]))))), mul([12], [4])), concatenate(if_then_else([4], [10], [8], [2]), if_then_else([13], [11], [11], [2])))))), div(if_then_else([4], [10], [8], [6]), sub([1], [2])))), repeat(addOneAll(sub(div([13], [4]), if_then_else([9], [1], [4], [7]))))))","[6, 10, 10, 6, 10, 10]"
0.4,6.0,0,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.3162365412421724,"div(repeat(concatenate(subOneAll(div(mul([4], [4]), repeat([4]))), repeat(addOneAll(add([5], [12]))))), addOneAll(mul(subOneAll(div(if_then_else(addOneAll(if_then_else(repeat(div([12], [3])), add(concatenate([11], [8]), if_then_else([10], [12], [2], [4])), mul(sub([8], [6]), addOneAll([8])), subOneAll(add([6], [13])))), subOneAll(div(concatenate(div([10], [6]), addOneAll([10])), subOneAll(repeat([4])))), if_then_else(add(subOneAll(subOneAll([12])), add(mul([2], [10]), concatenate([3], [6]))), repeat(concatenate(repeat([9]), if_then_else([13], [4], [2], [10]))), concatenate(addOneAll(subOneAll([12])), mul(concatenate([10], [4]), repeat([11]))), add(add(sub([3], [4]), div([5], [2])), sub(div([12], [4]), div([7], [11])))), concatenate(mul(div(sub([8], [8]), subOneAll([13])), mul(add([1], [8]), add([11], [9]))), if_then_else(if_then_else(if_then_else([1], [2], [5], [3]), div([11], [6]), add([10], [2]), addOneAll([2])), if_then_else(div([5], [9]), repeat([11]), div([1], [3]), addOneAll([5])), sub(concatenate([6], [1]), concatenate([8], [11])), mul(sub([10], [5]), add([2], [12]))))), addOneAll(sub(sub(sub(repeat([5]), mul([8], [12])), if_then_else(mul([3], [4]), div([10], [6]), subOneAll([4]), repeat([4]))), addOneAll(if_then_else(mul([8], [3]), sub([6], [4]), addOneAll([12]), addOneAll([8]))))))), addOneAll(div(mul([12], [4]), sub([7], [5]))))))","[1, 6, 6, 1, 6, 2]"
0.5,7.0,0,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.39322012378308224,"addOneAll(if_then_else(div(sub(addOneAll(subOneAll([7])), addOneAll(sub([13], [8]))), if_then_else(addOneAll(sub([1], [6])), sub(concatenate([8], [6]), if_then_else([4], [9], [13], [10])), concatenate(repeat([4]), div([7], [5])), add(div([10], [13]), repeat([4])))), div(repeat(add(repeat([4]), mul([1], [2]))), mul(mul(subOneAll([3]), sub([10], [4])), if_then_else(add([12], [5]), if_then_else([5], [11], [4], [5]), add([2], [11]), repeat([13])))), sub(if_then_else(addOneAll(if_then_else([5], [4], [3], [4])), if_then_else(concatenate([7], [5]), sub([2], [3]), subOneAll([8]), if_then_else([7], [1], [6], [6])), if_then_else(subOneAll([4]), addOneAll([7]), if_then_else([5], [13], [2], [10]), add([8], [11])), sub(add([2], [7]), concatenate([3], [5]))), subOneAll(if_then_else(if_then_else([1], [10], [7], [13]), concatenate([12], [5]), subOneAll([8]), repeat([2])))), mul(if_then_else(div(sub([4], [10]), repeat([11])), div(subOneAll([9]), div([13], [2])), if_then_else(repeat([7]), add([5], [1]), div([1], [5]), addOneAll([11])), sub(div([9], [6]), mul(div(add(div(sub(addOneAll([13]), concatenate([10], [6])), if_then_else(addOneAll([13]), add([6], [2]), div([3], [4]), if_then_else([4], [13], [8], [2]))), repeat(repeat(div([13], [12])))), mul(addOneAll(if_then_else(mul([2], [1]), if_then_else([6], [12], [4], [10]), concatenate([4], [13]), sub([6], [4]))), sub(addOneAll(addOneAll([10])), addOneAll(addOneAll([3]))))), concatenate(subOneAll(if_then_else(repeat(mul([1], [2])), mul(add([8], [8]), if_then_else([13], [7], [9], [2])), concatenate(mul([8], [5]), concatenate([1], [12])), addOneAll(subOneAll([4])))), sub(concatenate(div(repeat([6]), subOneAll([3])), subOneAll(repeat([6]))), sub(repeat(if_then_else([10], [9], [3], [7])), if_then_else(concatenate([1], [13]), div([3], [12]), sub([10], [3]), repeat([6])))))))), repeat(add(div([6], [7]), sub([6], [9]))))))","[2, 7, 6, 4, 6, 4]"
0.6000000000000001,5.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.12095092700846743,"if_then_else(add(mul(mul(mul([13], [10]), repeat([11])), addOneAll(add([10], [2]))), add(if_then_else(concatenate([5], [13]), if_then_else([2], [11], [9], [2]), add([9], [6]), repeat([11])), mul(add([2], [10]), add([1], [10])))), concatenate(mul(repeat(mul([2], [10])), mul(add([6], [13]), concatenate([10], [6]))), sub(subOneAll(addOneAll([7])), concatenate(add([3], [9]), concatenate([10], [10])))), subOneAll(if_then_else(repeat(addOneAll(sub(add(div(mul([8], [12]), div([12], [3])), addOneAll(repeat([2]))), div(subOneAll(if_then_else([2], [5], [6], [9])), if_then_else(addOneAll([1]), concatenate([7], [6]), add([8], [7]), add([1], [3])))))), subOneAll(div([11], [13])), if_then_else(mul([9], [4]), sub(if_then_else(repeat(if_then_else(subOneAll(sub([12], [9])), add(sub([2], [1]), sub([1], [3])), sub(sub([4], [7]), add([5], [6])), addOneAll(if_then_else([10], [10], [2], [9])))), if_then_else(concatenate(sub(mul([9], [4]), repeat([12])), concatenate(addOneAll([6]), subOneAll([8]))), concatenate(repeat(if_then_else([11], [3], [13], [12])), sub(add([10], [5]), subOneAll([1]))), div(mul(addOneAll([9]), if_then_else([13], [3], [3], [2])), subOneAll(addOneAll([13]))), mul(addOneAll(concatenate([5], [8])), subOneAll(if_then_else([9], [5], [2], [12])))), mul(addOneAll(addOneAll(sub([1], [1]))), mul(subOneAll(concatenate([11], [2])), subOneAll(concatenate([7], [3])))), addOneAll(sub(mul(div([2], [10]), add([2], [10])), sub(sub(sub(div(addOneAll(concatenate(sub(addOneAll(add([6], [9])), repeat(div([7], [11]))), subOneAll(concatenate(mul([7], [7]), sub([6], [10]))))), sub(repeat(subOneAll(mul(mul([1], [4]), addOneAll([10])))), sub(sub(if_then_else(sub([8], [10]), mul([11], [2]), if_then_else([11], [6], [11], [3]), subOneAll([3])), sub(subOneAll([7]), if_then_else([7], [9], [13], [1]))), sub(add(addOneAll([13]), concatenate([10], [11])), repeat(addOneAll([1])))))), if_then_else(repeat(repeat(div(sub(subOneAll([9]), repeat([6])), subOneAll(mul([2], [9]))))), subOneAll(mul(addOneAll(concatenate(if_then_else([9], [6], [13], [5]), concatenate([12], [7]))), mul(concatenate(add([11], [10]), div([7], [5])), mul(subOneAll([8]), addOneAll([7]))))), if_then_else(addOneAll(concatenate(div(div([5], [2]), sub([1], [7])), addOneAll(add([9], [11])))), addOneAll(if_then_else(repeat(concatenate([6], [1])), sub(div([12], [3]), div([10], [8])), subOneAll(subOneAll([10])), subOneAll(if_then_else([11], [3], [7], [5])))), div(div(addOneAll(if_then_else([2], [7], [7], [2])), concatenate(sub([1], [8]), if_then_else([3], [5], [4], [13]))), if_then_else(repeat(concatenate([10], [12])), div(div([9], [5]), subOneAll(add(div(repeat(concatenate(sub(mul(add([8], [11]), mul([1], [12])), add(addOneAll([13]), repeat([1]))), sub(if_then_else(repeat([5]), concatenate([7], [5]), repeat([3]), if_then_else([1], [5], [3], [9])), subOneAll(repeat([2]))))), repeat(sub(mul(subOneAll(div([5], [4])), concatenate(if_then_else([3], [3], [6], [5]), addOneAll(addOneAll(concatenate(addOneAll(if_then_else(repeat(sub([1], [9])), repeat(addOneAll([10])), div(repeat([9]), sub([9], [11])), sub(subOneAll([1]), div([11], [12])))), mul(add(div(repeat([10]), concatenate([6], [9])), mul(concatenate([2], [3]), repeat([2]))), subOneAll(if_then_else(mul([1], [3]), add([10], [5]), addOneAll([6]), div([3], [11]))))))))), if_then_else(div(repeat([7]), mul([9], [7])), add(div([8], [6]), addOneAll([3])), div(addOneAll([12]), addOneAll([10])), if_then_else(repeat([10]), addOneAll([12]), sub([5], [9]), mul([11], [8])))))), sub(subOneAll(repeat(mul(repeat(subOneAll([9])), div(add([12], [2]), mul([4], [12]))))), concatenate(add(div(sub(subOneAll([1]), subOneAll([2])), mul(concatenate([6], [11]), if_then_else([4], [11], [9], [5]))), addOneAll(add(if_then_else([2], [1], [12], [7]), subOneAll([4])))), subOneAll(add(if_then_else(if_then_else(add(mul([4], [11]), if_then_else([1], [8], [6], [13])), add(concatenate([1], [11]), if_then_else([13], [3], [7], [12])), div(div([6], [5]), mul([6], [11])), repeat(repeat([6]))), mul(subOneAll(sub([5], [3])), subOneAll(concatenate([11], [1]))), mul(repeat(repeat([3])), repeat(if_then_else([3], [2], [3], [4]))), repeat(concatenate(sub([3], [9]), sub([2], [1])))), repeat(div(subOneAll(if_then_else([8], [5], [9], [11])), addOneAll(concatenate([13], [3]))))))))))), concatenate(addOneAll([6]), repeat([10])), sub(sub([1], [10]), repeat([13])))), add(concatenate(div(repeat([3]), addOneAll([1])), repeat(subOneAll([5]))), div(add(div([12], [9]), subOneAll([4])), addOneAll(if_then_else([7], [3], [10], [9]))))), div(addOneAll(concatenate(concatenate(addOneAll([8]), if_then_else([10], [1], [7], [12])), subOneAll(if_then_else([13], [3], [11], [7])))), concatenate(div(concatenate(sub([2], [6]), mul([1], [1])), add(add([4], [12]), addOneAll([6]))), subOneAll(div(div([8], [7]), div([3], [8]))))))), [8]), add([8], [13]))))), concatenate(subOneAll(concatenate(add(concatenate([4], [3]), sub([3], [5])), if_then_else(if_then_else([5], [1], [3], [10]), div([5], [6]), addOneAll([13]), addOneAll([10])))), concatenate(repeat(subOneAll(div([4], [3]))), subOneAll(add(if_then_else([8], [6], [6], [7]), mul([6], [6])))))), subOneAll([2]), subOneAll([6])), mul(addOneAll([6]), repeat(if_then_else(if_then_else(mul(add(mul(mul(if_then_else([12], [13], [12], [1]), div([8], [7])), sub(repeat([9]), mul([3], [4]))), div(add(subOneAll([12]), add([4], [5])), subOneAll(add([10], [8])))), add(repeat(sub(repeat([7]), addOneAll([4]))), concatenate(mul(div([4], [13]), div([1], [1])), repeat(subOneAll([2]))))), sub(concatenate(addOneAll(subOneAll(if_then_else([9], [4], [7], [3]))), repeat(div(mul([7], [2]), div([6], [12])))), div(div(addOneAll(repeat([6])), concatenate(addOneAll([11]), div([12], [4]))), concatenate(sub(div([8], [6]), if_then_else([13], [9], [8], [5])), div(sub([12], [6]), addOneAll([3]))))), subOneAll(if_then_else(sub(mul(if_then_else([13], [11], [6], [1]), mul([5], [7])), concatenate(sub([1], [5]), sub([12], [6]))), concatenate(concatenate(if_then_else([4], [11], [5], [5]), add([9], [10])), if_then_else(addOneAll([9]), subOneAll([6]), concatenate([11], [12]), mul([4], [9]))), concatenate(mul(sub([7], [10]), repeat([7])), subOneAll(if_then_else([4], [9], [2], [2]))), div(subOneAll(sub([4], [11])), addOneAll(addOneAll([13]))))), sub(mul(concatenate(add(mul([1], [3]), if_then_else([13], [2], [7], [3])), subOneAll(div([12], [1]))), addOneAll(mul(addOneAll([1]), concatenate([12], [13])))), mul(if_then_else(concatenate(mul([12], [3]), addOneAll([9])), repeat(sub([9], [3])), subOneAll(add([11], [8])), add(repeat([8]), repeat([10]))), subOneAll(add(add([4], [11]), add([11], [5])))))), sub(subOneAll(addOneAll(addOneAll(add(div([1], [8]), div([1], [10]))))), subOneAll(repeat(addOneAll(repeat(subOneAll([12])))))), mul(div(div(addOneAll(concatenate(mul([5], [4]), if_then_else([7], [9], [12], [13]))), div(addOneAll(mul([1], [2])), if_then_else(concatenate([9], [6]), div([10], [6]), sub([11], [3]), add([7], [13])))), concatenate(sub(if_then_else(sub([8], [9]), concatenate([11], [4]), addOneAll([4]), mul([9], [3])), concatenate(mul([4], [11]), subOneAll([4]))), div(addOneAll(repeat([1])), div(concatenate([7], [1]), add([7], [1]))))), add(sub(mul(mul(repeat([8]), repeat([10])), addOneAll(subOneAll([10]))), if_then_else(subOneAll(add([5], [8])), concatenate(addOneAll([4]), mul([3], [7])), addOneAll(addOneAll([3])), addOneAll(sub([1], [5])))), mul(subOneAll(sub(mul([3], [6]), concatenate([7], [10]))), sub(sub(addOneAll([13]), concatenate([10], [6])), if_then_else(concatenate([10], [2]), add([10], [11]), concatenate([3], [6]), subOneAll([10])))))), div(if_then_else(repeat(mul(addOneAll(mul([7], [10])), repeat(if_then_else([11], [9], [4], [13])))), addOneAll(add(if_then_else(mul([2], [2]), concatenate([10], [3]), subOneAll([12]), concatenate([13], [3])), sub(subOneAll([4]), addOneAll([11])))), subOneAll(sub(mul(add([5], [6]), add([6], [4])), if_then_else(add([7], [3]), subOneAll([12]), addOneAll([13]), add([1], [7])))), add(mul(sub(add([11], [11]), div([11], [10])), sub(if_then_else([2], [4], [13], [3]), mul([10], [3]))), add(div(mul([1], [1]), subOneAll([6])), if_then_else(repeat([1]), add([4], [5]), addOneAll([7]), subOneAll([10]))))), if_then_else(addOneAll(add(subOneAll(div([13], [7])), mul(subOneAll([7]), sub([8], [4])))), concatenate(div(if_then_else(concatenate([3], [7]), repeat([5]), div([4], [3]), sub([1], [12])), concatenate(sub([9], [10]), div([10], [3]))), addOneAll(concatenate(repeat([2]), mul([6], [13])))), repeat(sub(addOneAll(concatenate([7], [4])), mul(addOneAll([2]), add([5], [10])))), sub(if_then_else(if_then_else(subOneAll([12]), mul([7], [8]), concatenate([7], [1]), concatenate([11], [13])), div(repeat([5]), add([7], [1])), concatenate(div([8], [13]), subOneAll([13])), div(add([6], [8]), repeat([9]))), sub(sub(addOneAll([7]), subOneAll([13])), div(add([8], [11]), add([10], [4]))))))))))), subOneAll(div(sub(mul([2], [8]), if_then_else([10], [1], [6], [10])), add(subOneAll([13]), div([9], [6])))))","[6, 6, 6, 10, 4]"
0.7000000000000001,5.0,36,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.09546596626670922,"if_then_else(add(repeat([6]), addOneAll([2])), add(addOneAll(mul(addOneAll(div([10], [8])), repeat(div([13], [11])))), subOneAll(div(subOneAll(addOneAll([4])), concatenate(add([6], [13]), repeat([4]))))), mul(add([13], [12]), repeat([6])), concatenate(mul(subOneAll(repeat(sub([10], div(mul(div(concatenate(if_then_else(repeat(div(div(addOneAll(div(subOneAll([4]), add([1], [11]))), concatenate(div(div([11], [13]), repeat([4])), if_then_else(subOneAll([9]), sub([3], [1]), concatenate([9], [7]), subOneAll([12])))), if_then_else(sub(if_then_else(div([3], [12]), div([7], [6]), mul([11], [12]), mul([11], [4])), div(mul([6], [12]), mul([7], [1]))), subOneAll(addOneAll(add([11], [2]))), sub(add(mul([3], [6]), div([13], [7])), subOneAll(div([13], [6]))), if_then_else(concatenate(subOneAll([4]), subOneAll([10])), mul(div([6], [10]), addOneAll([2])), repeat(mul([3], [11])), concatenate(concatenate([1], [8]), subOneAll([2])))))), if_then_else(sub([6], [1]), subOneAll([4]), add([8], [3]), add([8], [7])), addOneAll(add([11], [12])), subOneAll(div([2], [1]))), add(if_then_else(mul([5], [4]), add([2], [9]), div([9], [8]), concatenate([1], [4])), add(sub([1], [10]), repeat([12])))), mul(addOneAll(div(div([12], [7]), concatenate([9], [6]))), mul(add(mul([2], [8]), subOneAll([3])), sub(mul([3], [9]), repeat([4]))))), if_then_else(div(repeat(if_then_else(concatenate([12], [12]), mul([10], [8]), mul([13], [9]), div([4], [12]))), div(sub(mul([1], [13]), div([2], [1])), if_then_else(mul([7], [7]), subOneAll([10]), subOneAll([10]), repeat([8])))), div(concatenate(subOneAll(mul([4], [8])), repeat(addOneAll([12]))), mul(if_then_else(repeat([5]), if_then_else([7], [3], [4], [1]), subOneAll([1]), subOneAll([12])), sub(mul([11], [12]), if_then_else([11], [10], [5], [4])))), subOneAll(addOneAll(mul(add([4], [10]), subOneAll([3])))), add(subOneAll(mul(concatenate([3], [8]), mul([10], [10]))), sub(add(if_then_else([1], [5], [4], [1]), subOneAll([12])), addOneAll(subOneAll([8])))))), concatenate(mul(concatenate(concatenate(repeat(add([3], [10])), add(div([9], [8]), concatenate([12], [3]))), mul(add(subOneAll([13]), subOneAll([8])), addOneAll(concatenate([3], [9])))), repeat(div(if_then_else(if_then_else([5], [10], [12], [4]), mul([2], [12]), addOneAll([5]), div([6], [5])), add(if_then_else([7], [10], [1], [7]), sub([3], [10]))))), sub(addOneAll(if_then_else(addOneAll(concatenate([4], [7])), concatenate(repeat(add(subOneAll(div(repeat(sub(div([6], [1]), sub([2], [11]))), sub(subOneAll(concatenate([12], [8])), concatenate(div([1], [6]), if_then_else([6], [1], [8], [8]))))), concatenate(div(repeat(div(div([5], [10]), div([5], [12]))), addOneAll(add(mul([6], [7]), subOneAll([5])))), if_then_else(concatenate(concatenate(repeat([1]), mul([7], [10])), if_then_else(mul([12], [2]), addOneAll([2]), addOneAll([13]), div([4], [3]))), sub(concatenate(add([6], [3]), if_then_else([3], [13], [12], [5])), repeat(subOneAll([11]))), mul(repeat(if_then_else([7], [8], [12], [13])), repeat(mul([3], [13]))), concatenate(mul(concatenate([10], [10]), subOneAll([8])), if_then_else(subOneAll([4]), div([11], [7]), add([7], [12]), mul([12], [11]))))))), concatenate([7], [10])), div(mul([6], [10]), add([2], [9])), addOneAll(addOneAll([9])))), concatenate(repeat(mul(div([12], [2]), div([11], [5]))), repeat(subOneAll(add([4], [7])))))))))), add(subOneAll(concatenate([1], [3])), addOneAll(subOneAll([3])))), mul(mul(repeat(sub([3], [13])), add(if_then_else([13], [3], [9], [3]), concatenate(concatenate(add(addOneAll(if_then_else([1], [3], [9], [13])), subOneAll(repeat([10]))), div(addOneAll(concatenate([6], [13])), concatenate(mul([4], [6]), sub([1], [12])))), div(if_then_else(concatenate(addOneAll([8]), repeat([2])), div(sub([4], [8]), if_then_else([1], [9], [9], [13])), subOneAll(sub(addOneAll(add(concatenate(concatenate(mul(repeat(repeat([2])), repeat(sub([7], [13]))), div(div(repeat([13]), mul([7], [13])), concatenate(repeat([11]), div([13], [9])))), div(if_then_else(concatenate(div([12], [10]), addOneAll([12])), sub(div(mul(if_then_else(addOneAll(addOneAll(div(if_then_else([5], [1], [9], [12]), concatenate([11], [11])))), if_then_else(concatenate(subOneAll(sub([13], [5])), concatenate(sub([8], [4]), mul([9], [9]))), mul(subOneAll(concatenate([12], [13])), subOneAll(repeat([12]))), concatenate(mul(repeat([4]), concatenate([12], [2])), addOneAll(concatenate([6], [4]))), subOneAll(add(addOneAll([4]), add([4], [10])))), add(if_then_else(sub(concatenate([9], [12]), repeat([4])), div(concatenate([10], [5]), mul([13], [2])), sub(subOneAll([2]), sub([6], [12])), mul(repeat([2]), addOneAll([5]))), concatenate(add(div([13], [2]), repeat([11])), mul(if_then_else([2], [11], [5], [3]), repeat([4])))), if_then_else(concatenate(sub(mul(addOneAll(div(sub(concatenate(mul(subOneAll(sub([13], [12])), sub(concatenate([2], [12]), div([5], [7]))), subOneAll(add(add([13], [2]), mul([12], [5])))), repeat(repeat(div(sub([6], [10]), if_then_else([11], [3], [13], [1]))))), mul(if_then_else(if_then_else(subOneAll(addOneAll([9])), addOneAll(concatenate([1], [9])), mul(mul([8], [5]), addOneAll([8])), subOneAll(if_then_else([3], [7], [11], [2]))), subOneAll(addOneAll(div([3], [6]))), repeat(add(concatenate([7], [8]), addOneAll([12]))), repeat(subOneAll(subOneAll([1])))), repeat(repeat(addOneAll(div([12], [2]))))))), [1]), mul([8], [13])), addOneAll(add([13], [9]))), repeat(concatenate(if_then_else([9], [6], [13], [13]), sub([1], [1]))), if_then_else(subOneAll(concatenate([1], [13])), add(concatenate([1], [5]), div([4], [5])), div(add([3], [1]), mul([4], [5])), sub(repeat([3]), repeat([13]))), concatenate(mul(concatenate([5], [5]), concatenate([12], [6])), mul(repeat([9]), sub([5], [5]))))), subOneAll(repeat(repeat(subOneAll(addOneAll([7])))))), [12]), mul([1], [6])), addOneAll(sub([5], [9])), mul(subOneAll([8]), addOneAll([1]))), addOneAll(sub(mul([10], [5]), concatenate([7], [10]))))), concatenate(add(subOneAll(mul(repeat([3]), add([1], [10]))), add(repeat(subOneAll([10])), addOneAll(concatenate([2], [11])))), concatenate(add(subOneAll(addOneAll([3])), sub(add([5], [1]), repeat([6]))), mul(if_then_else(addOneAll(sub(addOneAll(mul(add(concatenate([4], [2]), if_then_else([5], [9], [4], [10])), addOneAll(concatenate([7], [2])))), repeat(if_then_else(mul(mul([2], [11]), addOneAll([4])), concatenate(if_then_else(concatenate(if_then_else(concatenate(add(concatenate([7], [9]), sub([9], [7])), if_then_else(div([6], [4]), sub([12], [11]), add([11], [3]), add([10], [13]))), if_then_else(repeat(if_then_else([4], [9], [1], [7])), concatenate(sub([5], [12]), add([12], [12])), if_then_else(concatenate([9], [12]), sub([5], [11]), subOneAll([9]), mul([10], [5])), mul(div([7], [9]), sub([6], [11]))), repeat(add(mul([8], [11]), addOneAll([2]))), mul(if_then_else(sub([4], [9]), concatenate([13], [3]), add([6], [1]), mul([11], [10])), addOneAll(mul([5], [10])))), sub(concatenate(concatenate(concatenate([13], [13]), sub([6], [5])), subOneAll(if_then_else([3], [3], [10], [6]))), if_then_else(sub(concatenate([11], [3]), if_then_else([4], [5], [8], [3])), div(sub([4], [9]), mul([1], [8])), div(div([4], [3]), div([9], [3])), subOneAll(addOneAll([3]))))), addOneAll(div(mul(mul(add([12], [13]), sub([8], [5])), div(add([9], [5]), sub([4], [13]))), sub(sub(sub([6], [3]), concatenate([12], [7])), sub(mul([12], add(sub(add(mul(addOneAll([8]), sub([5], [5])), sub(repeat([6]), concatenate([10], [13]))), if_then_else(concatenate(sub([9], [12]), subOneAll([4])), div(add([10], [5]), repeat([9])), addOneAll(if_then_else([1], [10], [8], [7])), subOneAll(subOneAll([6])))), repeat(subOneAll(repeat(repeat([13])))))), mul([4], [6]))))), subOneAll(if_then_else(div(subOneAll(add([2], [6])), addOneAll(concatenate([8], [10]))), subOneAll(div(add([7], [10]), sub([10], [2]))), repeat(div(concatenate([6], [10]), repeat([3]))), addOneAll(div(if_then_else([4], [10], [3], [9]), mul([2], [5]))))), div(concatenate(sub(concatenate(if_then_else([13], [5], [11], [9]), repeat([11])), repeat(mul([9], [6]))), add(div(addOneAll([3]), addOneAll([6])), subOneAll(addOneAll([9])))), repeat(sub(if_then_else(subOneAll([5]), repeat([7]), div([11], [4]), if_then_else([6], [10], [5], [8])), subOneAll(mul([3], [4])))))), mul([11], [8])), sub(add([4], [6]), addOneAll([2])), concatenate(repeat([2]), sub([3], [11])))))), subOneAll([10]), div([1], [3]), subOneAll([2])), mul(repeat([11]), repeat([9]))))))), [8])), subOneAll(if_then_else([5], [6], [4], [11]))), sub(add(if_then_else(addOneAll(sub(subOneAll(mul([3], [8])), add(repeat([13]), concatenate([1], [11])))), sub(addOneAll(concatenate(div([10], [1]), div([2], [8]))), add(concatenate(if_then_else([1], [4], [3], [5]), if_then_else([1], [3], [5], [12])), addOneAll(if_then_else([10], [8], [3], [13])))), concatenate(add(add(sub([9], [10]), div([8], [12])), if_then_else(if_then_else([2], [10], [3], [1]), concatenate([11], [4]), addOneAll([13]), repeat([12]))), div(mul(addOneAll([2]), mul([5], [6])), div(addOneAll([7]), sub([7], [2])))), if_then_else(add(concatenate(add([12], [9]), if_then_else([1], [3], [3], [10])), add(concatenate([3], [5]), if_then_else([9], [1], [10], [4]))), addOneAll(mul(div([10], [13]), add([9], [4]))), add(if_then_else(mul([7], [7]), div([6], [5]), div([12], [4]), subOneAll([10])), div(subOneAll([2]), subOneAll([8]))), subOneAll(add(concatenate([3], [5]), addOneAll([6]))))), mul(subOneAll(concatenate(mul(addOneAll([7]), add([6], [13])), mul(addOneAll([1]), div([5], [3])))), concatenate(concatenate(subOneAll(repeat([1])), div(if_then_else([3], [13], [1], [12]), addOneAll([4]))), subOneAll(if_then_else(if_then_else([9], [1], [5], [12]), if_then_else([2], [5], [11], [4]), subOneAll([12]), add([13], [4])))))), addOneAll(concatenate(add(concatenate(subOneAll(if_then_else([1], [13], [4], [6])), subOneAll(subOneAll([12]))), subOneAll(repeat(concatenate([3], [2])))), addOneAll(repeat(concatenate(mul([2], [10]), sub([5], [5]))))))))))), add(sub(sub([11], [2]), mul([13], [8])), if_then_else(if_then_else([3], [8], [1], [11]), subOneAll([13]), add([11], [1]), repeat([2]))))))","[6, 10, 6, 1, 4, 2]"
