cross,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,109.0,10,"[6, 6, 6, 6]",1.0,"[4, 10, 3, 4, 10, 3, 4]"
0.1,109.0,20,"[6, 6, 6, 6]",1.0,"[13, 11, 3, 1, 10, 4, 13, 3, 13, 10, 13, 3, 13, 10]"
0.2,109.0,16,"[6, 6, 6, 6]",0.8110177634953863,"[3, 3, 3, 2, 2, 11, 1, 1, 13, 13, 1, 6]"
0.3,109.0,41,"[6, 6, 6, 6]",1.0,"[13, 1, 12, 13, 1, 12, 13, 1, 12, 13, 1, 12]"
0.4,108.988,41,"[6, 6, 6, 6]",0.803883864861816,"[2, 4, 2, 4, 2, 4, 2, 6]"
0.5,109.0,40,"[6, 6, 6, 6]",0.5,"[4, 1, 3, 6, 4, 1, 3, 6]"
0.6,109.0,34,"[6, 6, 6, 6]",0.7327387580875756,"[5, 6, 2, 3, 1, 1, 1, 10]"
0.7,108.925,47,"[6, 6, 6, 6]",0.8456966500379081,"[12, 3, 6, 3, 11, 12, 3, 3, 3, 3]"
0.8,108.988,41,"[6, 6, 6, 6]",0.6348516283298893,"[13, 2, 3, 2, 12, 11, 12, 6, 12, 11, 12, 6]"
