mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,109.0,3,"[6, 6, 6, 6]",1.0,"[12, 13, 12, 13, 12, 13, 12, 13]"
0.1,109.0,4,"[6, 6, 6, 6]",0.8285014148574912,"[3, 3, 6, 4, 1, 1, 3, 1, 1, 3]"
0.2,109.0,7,"[6, 6, 6, 6]",0.7418011102528389,"[13, 13, 1, 6, 13, 2, 1]"
0.3,108.975,45,"[6, 6, 6, 6]",0.8,"[2, 1, 13, 6, 1, 12, 3, 4, 4, 4, 4]"
0.4,108.962,46,"[6, 6, 6, 6]",0.75,"[10, 6, 3, 11, 13, 3, 11, 11]"
0.5,108.975,32,"[6, 6, 6, 6]",1.0,"[5, 10, 4, 1, 5, 10, 4, 1]"
0.6,108.975,22,"[6, 6, 6, 6]",0.7327387580875756,"[4, 2, 3, 3, 13, 6, 11, 10, 13, 12]"
0.7,109.0,18,"[6, 6, 6, 6]",0.8048199854102933,"[11, 3, 1, 1, 1, 1, 11, 3, 1, 1, 1, 1, 6, 11, 6, 11, 1]"
0.8,108.95,23,"[6, 6, 6, 6]",0.7418011102528389,"[2, 2, 12, 4, 6, 4, 11, 1, 1]"
0.9,108.9,8,"[6, 6, 6, 6]",0.5,"[10, 2, 11, 6, 10, 2, 11, 6]"
