mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,109.0,2,"[6, 6, 6, 6]",0.6984886554222364,"[2, 2, 3, 13, 6, 11, 3]"
0.1,109.0,10,"[6, 6, 6, 6]",1.0,"[2, 3, 10, 2, 2, 3, 10, 1]"
0.2,109.0,9,"[6, 6, 6, 6]",0.7763932022500211,"[10, 10, 2, 2, 11, 2, 10, 6]"
0.3,109.0,33,"[6, 6, 6, 6]",0.7642977396044841,"[6, 1, 1, 1, 1, 3, 6, 1, 1, 1, 1, 3]"
0.4,109.0,8,"[6, 6, 6, 6]",0.5527864045000421,"[4, 11, 10, 6, 12, 4, 11, 10, 6, 12]"
0.5,108.975,18,"[6, 6, 6, 6]",0.39697731084447274,"[2, 12, 12, 10, 6, 11, 6]"
0.6,108.988,44,"[6, 6, 6, 6]",0.4654775161751512,"[13, 13, 1, 6, 10, 6, 10, 12]"
0.7,108.988,44,"[6, 6, 6, 6]",0.6220355269907728,"[10, 10, 6, 6, 1, 3, 12, 3, 1, 3, 1, 4]"
0.8,108.988,9,"[6, 6, 6, 6]",0.5735985672887791,"[4, 10, 10, 11, 6, 10, 6, 10]"
0.9,53.438,29,"[6, 6, 6, 6]",1.0,"[2, 4, 2, 4, 2, 4, 2, 4]"
