gen,nevals,avg,min,max
39,61,[105.98809524  21.02380952],[105.  20.],[106.  24.]
40,62,[105.98809524  20.9047619 ],[105.  20.],[106.  24.]
41,62,[105.86904762  20.47619048],[98. 20.],[106.  28.]
42,60,[105.98809524  20.08333333],[105.  20.],[106.  25.]
43,57,[106.          20.01190476],[106.  20.],[106.  21.]
44,64,[105.97619048  20.07142857],[105.  20.],[106.  24.]
45,72,[105.98809524  20.13095238],[105.  20.],[106.  25.]
46,66,[105.94047619  20.03571429],[102.  20.],[106.  22.]
47,66,[105.95238095  20.1547619 ],[102.  20.],[106.  29.]
48,61,[105.97619048  20.04761905],[105.  20.],[106.  22.]
49,58,[105.92857143  20.08333333],[102.  20.],[106.  25.]
50,67,[105.97619048  20.04761905],[104.  20.],[106.  24.]
51,67,[106.          20.02380952],[106.  20.],[106.  21.]
52,67,[105.89285714  20.3452381 ],[102.  20.],[106.  41.]
53,64,[105.96428571  20.03571429],[104.  20.],[106.  21.]
54,65,[105.98809524  20.        ],[105.  20.],[106.  20.]
55,64,[106.          20.03571429],[106.  20.],[106.  22.]
56,66,[106.          20.04761905],[106.  20.],[106.  24.]
57,66,[105.98809524  20.10714286],[105.  20.],[106.  25.]
58,59,[106.          20.05952381],[106.  20.],[106.  25.]
59,59,[105.97619048  20.11904762],[104.  20.],[106.  29.]
60,65,[105.97619048  20.03571429],[104.  20.],[106.  22.]
,,,,
gen,nevals,avg,min,max
0,84,[-776.48809524  802.76190476],[-1000.    23.],[ 106. 1000.]
1,65,[-92.92857143 199.71428571],[-1000.    22.],[ 106. 1000.]
2,63,[79.29761905 48.79761905],[-1000.    22.],[ 106. 1000.]
3,62,[66.36904762 59.77380952],[-1000.    21.],[ 106. 1000.]
4,66,[105.94047619  25.03571429],[104.  24.],[106.  27.]
5,62,[92.78571429 36.63095238],[-1000.    24.],[ 106. 1000.]
6,69,[92.58333333 36.66666667],[-1000.    24.],[ 106. 1000.]
7,61,[105.88095238  24.95238095],[103.  23.],[106.  25.]
8,53,[92.80952381 36.55952381],[-1000.    24.],[ 106. 1000.]
9,62,[92.64285714 36.4047619 ],[-1000.    23.],[ 106. 1000.]
10,64,[105.70238095  24.36904762],[98. 23.],[106.  27.]
11,65,[105.95238095  24.04761905],[104.  24.],[106.  25.]
12,63,[105.9047619   23.96428571],[103.  23.],[106.  25.]
13,63,[105.97619048  23.94047619],[105.  23.],[106.  25.]
14,71,[105.73809524  24.10714286],[101.  23.],[106.  44.]
15,64,[92.72619048 34.91666667],[-1000.    21.],[ 106. 1000.]
16,66,[105.95238095  22.98809524],[104.  22.],[106.  28.]
17,70,[105.86904762  22.64285714],[102.  22.],[106.  26.]
18,68,[105.92857143  22.20238095],[103.  22.],[106.  28.]
19,60,[105.96428571  22.01190476],[105.  21.],[106.  23.]
20,64,[105.96428571  22.11904762],[104.  22.],[106.  26.]
21,62,[92.80952381 33.63095238],[-1000.    20.],[ 106. 1000.]
22,59,[105.94047619  21.98809524],[101.  21.],[106.  22.]
23,64,[105.89285714  22.11904762],[101.  22.],[106.  28.]
24,65,[105.95238095  22.02380952],[104.  22.],[106.  23.]
25,63,[105.89285714  22.10714286],[102.  20.],[106.  32.]
26,56,[105.98809524  22.02380952],[105.  22.],[106.  23.]
27,63,[105.92857143  22.01190476],[102.  21.],[106.  24.]
28,68,[92.82142857 33.70238095],[-1000.    22.],[ 106. 1000.]
29,68,[92.82142857 33.72619048],[-1000.    22.],[ 106. 1000.]
30,65,[105.95238095  22.01190476],[104.  21.],[106.  23.]
31,63,[105.97619048  22.05952381],[104.  21.],[106.  28.]
32,61,[105.95238095  21.8452381 ],[102.  21.],[106.  26.]
33,64,[105.96428571  21.20238095],[104.  20.],[106.  22.]
34,69,[105.91666667  21.10714286],[104.  20.],[106.  26.]
35,55,[105.91666667  20.76190476],[103.  19.],[106.  25.]
36,59,[105.94047619  20.08333333],[102.  19.],[106.  22.]
37,60,[105.97619048  19.96428571],[105.  19.],[106.  21.]
38,64,[105.97619048  19.92857143],[104.  19.],[106.  24.]
39,53,[92.80952381 31.13095238],[-1000.    19.],[ 106. 1000.]
40,68,[92.78571429 30.91666667],[-1000.    19.],[ 106. 1000.]
41,63,[105.95238095  19.14285714],[104.  19.],[106.  21.]
42,68,[105.92857143  19.11904762],[104.  17.],[106.  21.]
43,63,[105.95238095  19.13095238],[102.  19.],[106.  24.]
44,66,[79.61904762 42.53571429],[-1000.    19.],[ 106. 1000.]
45,62,[105.88095238  19.19047619],[104.  18.],[106.  33.]
46,68,[92.66666667 31.22619048],[-1000.    19.],[ 106. 1000.]
47,65,[92.77380952 30.86904762],[-1000.    19.],[ 106. 1000.]
48,65,[105.98809524  19.11904762],[105.  19.],[106.  26.]
49,71,[105.95238095  19.13095238],[104.  19.],[106.  24.]
50,63,[105.9047619   19.14285714],[102.  19.],[106.  26.]
51,57,[105.94047619  19.16666667],[104.  18.],[106.  24.]
52,68,[92.78571429 30.76190476],[-1000.    19.],[ 106. 1000.]
53,64,[105.97619048  19.        ],[104.  18.],[106.  20.]
54,73,[106.          19.01190476],[106.  19.],[106.  20.]
55,57,[105.98809524  19.02380952],[105.  19.],[106.  20.]
56,58,[105.98809524  19.10714286],[105.  18.],[106.  24.]
57,62,[105.97619048  19.0952381 ],[104.  19.],[106.  22.]
58,64,[106.          19.02380952],[106.  19.],[106.  20.]
59,58,[105.94047619  19.10714286],[104.  18.],[106.  25.]
60,67,[105.96428571  19.08333333],[104.  19.],[106.  22.]
,,,,
gen,nevals,avg,min,max
0,84,[-671.48809524  710.19047619],[-1000.    23.],[ 106. 1000.]
1,54,[25.96428571 95.76190476],[-1000.    23.],[ 106. 1000.]
2,59,[53.         72.04761905],[-1000.    19.],[ 106. 1000.]
3,65,[66.4047619  59.36904762],[-1000.    23.],[ 106. 1000.]
4,70,[92.46428571 35.5952381 ],[-1000.    21.],[ 106. 1000.]
5,69,[53.23809524 70.41666667],[-1000.    21.],[ 106. 1000.]
6,64,[92.67857143 35.54761905],[-1000.    22.],[ 106. 1000.]
7,65,[79.5        46.97619048],[-1000.    21.],[ 106. 1000.]
8,70,[79.5952381  46.35714286],[-1000.    21.],[ 106. 1000.]
9,54,[92.77380952 33.82142857],[-1000.    21.],[ 106. 1000.]
10,56,[105.97619048  21.0952381 ],[104.  20.],[106.  25.]
11,59,[105.97619048  20.95238095],[104.  20.],[106.  23.]
12,56,[105.96428571  20.71428571],[104.  20.],[106.  26.]
13,59,[105.95238095  20.0952381 ],[104.  20.],[106.  24.]
14,63,[105.91666667  20.13095238],[102.  20.],[106.  22.]
15,62,[105.94047619  20.14285714],[104.  20.],[106.  22.]
16,63,[105.95238095  20.05952381],[102.  20.],[106.  22.]
17,65,[105.82142857  20.29761905],[96. 20.],[106.  33.]
18,65,[105.97619048  20.0952381 ],[105.  20.],[106.  25.]
19,54,[106.  20.],[106.  20.],[106.  20.]
20,67,[105.98809524  20.03571429],[105.  20.],[106.  22.]
21,71,[105.96428571  20.04761905],[105.  20.],[106.  22.]
22,59,[105.96428571  20.03571429],[104.  20.],[106.  22.]
23,68,[105.9047619   20.14285714],[104.  19.],[106.  24.]
24,69,[105.98809524  20.05952381],[105.  20.],[106.  24.]
25,67,[105.97619048  20.02380952],[104.  20.],[106.  22.]
26,70,[105.88095238  20.0952381 ],[102.  20.],[106.  24.]
27,69,[105.96428571  20.04761905],[104.  20.],[106.  23.]
28,63,[105.95238095  19.98809524],[103.  19.],[106.  20.]
29,71,[105.95238095  20.08333333],[104.  20.],[106.  23.]
30,55,[106.  20.],[106.  20.],[106.  20.]
31,59,[105.95238095  20.41666667],[104.  20.],[106.  43.]
32,61,[105.96428571  20.04761905],[105.  19.],[106.  23.]
33,59,[106.  20.],[106.  20.],[106.  20.]
34,67,[105.98809524  20.03571429],[105.  20.],[106.  22.]
35,54,[105.98809524  20.01190476],[105.  19.],[106.  22.]
36,65,[105.94047619  20.03571429],[104.  20.],[106.  22.]
37,63,[105.97619048  19.98809524],[105.  19.],[106.  20.]
38,63,[106.          20.03571429],[106.  20.],[106.  22.]
39,71,[105.97619048  20.16666667],[104.  20.],[106.  25.]
40,64,[105.98809524  20.        ],[105.  20.],[106.  20.]
41,63,[105.96428571  20.02380952],[103.  20.],[106.  21.]
42,60,[105.94047619  20.08333333],[103.  20.],[106.  24.]
43,64,[106.          20.02380952],[106.  20.],[106.  22.]
44,61,[105.97619048  20.04761905],[104.  20.],[106.  24.]
45,61,[106.  20.],[106.  20.],[106.  20.]
46,58,[105.98809524  20.02380952],[105.  20.],[106.  21.]
47,63,[106.          20.01190476],[106.  20.],[106.  21.]
48,66,[105.98809524  20.04761905],[105.  20.],[106.  24.]
49,53,[105.91666667  20.10714286],[101.  20.],[106.  25.]
50,62,[105.98809524  20.02380952],[105.  20.],[106.  22.]
51,68,[105.79761905  20.30952381],[90. 20.],[106.  46.]
52,58,[105.92857143  20.3452381 ],[101.  20.],[106.  45.]
53,65,[105.98809524  20.08333333],[105.  20.],[106.  27.]
54,55,[106.  20.],[106.  20.],[106.  20.]
55,61,[105.98809524  20.03571429],[105.  20.],[106.  22.]
56,62,[92.82142857 31.71428571],[-1000.    20.],[ 106. 1000.]
57,62,[105.92857143  20.07142857],[102.  20.],[106.  22.]
58,68,[105.95238095  20.05952381],[104.  20.],[106.  23.]
59,56,[105.98809524  20.        ],[105.  20.],[106.  20.]
60,64,[106.          20.01190476],[106.  20.],[106.  21.]
,,,,
gen,nevals,avg,min,max
0,84,[-684.36904762  721.83333333],[-1000.    24.],[ 106. 1000.]
1,67,[-66.0952381  177.10714286],[-1000.    23.],[ 106. 1000.]
2,69,[79.38095238 49.79761905],[-1000.    23.],[ 106. 1000.]
3,57,[92.6547619  37.35714286],[-1000.    23.],[ 106. 1000.]
4,63,[40.04761905 82.32142857],[-1000.    20.],[ 106. 1000.]
5,49,[105.80952381  23.44047619],[95. 23.],[106.  27.]
6,58,[79.22619048 46.5       ],[-1000.    23.],[ 106. 1000.]
7,63,[92.42857143 35.1547619 ],[-1000.    19.],[ 106. 1000.]
8,68,[79.53571429 46.39285714],[-1000.    23.],[ 106. 1000.]
9,67,[105.95238095  23.26190476],[102.  23.],[106.  35.]
10,56,[92.72619048 34.70238095],[-1000.    23.],[ 106. 1000.]
11,66,[79.57142857 46.38095238],[-1000.    23.],[ 106. 1000.]
12,52,[106.          23.02380952],[106.  23.],[106.  25.]
13,61,[92.71428571 34.77380952],[-1000.    23.],[ 106. 1000.]
14,69,[92.76190476 34.75      ],[-1000.    23.],[ 106. 1000.]
15,71,[92.83333333 34.75      ],[-1000.    23.],[ 106. 1000.]
