mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,74.5,3,"[1, 2, 1, 9, 2]",0.4836022205056778,"subOneAll(concatenate(if_then_else(sub(concatenate(addOneAll([13]), concatenate([6], [6])), subOneAll(add([4], [2]))), addOneAll(concatenate(if_then_else([2], [13], [8], [11]), mul([3], [3]))), sub(mul(repeat([3]), div([1], [5])), if_then_else(repeat([2]), subOneAll([9]), sub([3], [12]), add([2], [6]))), concatenate(subOneAll(repeat([11])), add(mul([7], [11]), if_then_else([11], [1], [4], [7])))), sub(add(if_then_else(add([12], [3]), concatenate([11], [2]), div([1], [3]), sub([13], [4])), repeat(sub([3], [8]))), mul(mul(concatenate([1], [6]), subOneAll([5])), div(if_then_else([1], [3], [5], [10]), div([9], [3]))))))","[13, 5, 13, 2, 2, 2, 10]"
0.1,74.712,14,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.730418066991404,"concatenate(addOneAll(div(repeat(repeat([3])), concatenate(mul(repeat(repeat(repeat(if_then_else(subOneAll([6]), addOneAll([2]), concatenate([7], [1]), addOneAll([5]))))), [11]), repeat([9])))), subOneAll(concatenate(sub(repeat([4]), mul([10], [5])), repeat(div([2], [8])))))","[4, 4, 4, 2, 3, 5, 13, 13]"
0.2,74.688,22,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.8169269766619205,"if_then_else(mul(repeat(if_then_else(sub(addOneAll([4]), subOneAll([12])), addOneAll(addOneAll([8])), addOneAll(if_then_else([10], [2], [5], [10])), if_then_else(sub([13], [7]), subOneAll([3]), mul([13], [9]), div([4], [10])))), div(div(mul(add([5], [5]), repeat([8])), addOneAll(concatenate([4], [2]))), addOneAll(mul(sub([6], [10]), subOneAll([11]))))), mul(repeat(sub(addOneAll(subOneAll([9])), repeat(div([9], [7])))), div(mul(subOneAll(subOneAll([8])), mul(subOneAll([5]), add([7], [8]))), mul(concatenate(addOneAll([1]), mul([12], [1])), sub(repeat([11]), concatenate([8], [9]))))), addOneAll(addOneAll(addOneAll(repeat(add([5], [3]))))), add(mul(concatenate(sub(subOneAll([7]), sub([2], [11])), mul(if_then_else([4], [10], [8], [4]), repeat([10]))), subOneAll(add(subOneAll([2]), add([1], [10])))), concatenate(sub(addOneAll(repeat([3])), add(sub([6], [10]), subOneAll([1]))), subOneAll(addOneAll(subOneAll([3]))))))","[8, 11, 11, 8, 11, 12, 2, 4, 6]"
0.3,74.631,57,"[1, 2, 1, 9, 2]",0.8333333333333334,"if_then_else(repeat(div(if_then_else(sub(sub([3], [7]), concatenate([11], [5])), add(add([8], [12]), if_then_else([5], [4], [12], [5])), subOneAll(addOneAll([6])), add(add([4], [3]), div([1], [3]))), if_then_else(if_then_else(addOneAll([13]), mul([8], [3]), if_then_else([11], [13], [2], [2]), add([2], [12])), mul(concatenate([13], [2]), concatenate([8], [6])), div(sub([5], [3]), sub([12], [1])), repeat(addOneAll([11]))))), add(add(concatenate(div(sub([11], [4]), mul([3], [8])), addOneAll(subOneAll([9]))), repeat(repeat(mul([4], [5])))), concatenate(addOneAll(concatenate(mul([7], [5]), add([3], [2]))), subOneAll(mul(addOneAll([9]), addOneAll([11]))))), repeat(sub(repeat(subOneAll(add([5], [13]))), add(mul(addOneAll([9]), addOneAll([2])), addOneAll(div([13], [4]))))), mul(concatenate(div(if_then_else(add([4], [11]), repeat([6]), if_then_else([10], [7], [9], [7]), addOneAll([12])), concatenate(add([11], [5]), add([1], [11]))), add(addOneAll(add([7], [11])), addOneAll(repeat([3])))), concatenate(mul(add(div([3], [8]), add([6], [13])), mul(concatenate([13], [7]), subOneAll([7]))), subOneAll(sub(addOneAll([4]), add([4], [12]))))))","[13, 11, 13, 11, 3, 10, 2, 13]"
0.4,74.531,13,"[1, 2, 1, 9, 2]",0.7713352198099883,"addOneAll(repeat(concatenate(subOneAll(concatenate(subOneAll([12]), mul([11], [7]))), if_then_else(repeat(if_then_else([1], [10], [10], [5])), sub(if_then_else([12], [7], [11], [10]), add([3], [9])), repeat(if_then_else([10], [2], [1], [4])), if_then_else(if_then_else([1], [11], [7], div(mul(subOneAll(subOneAll(if_then_else(div([9], [3]), if_then_else([8], [4], [11], [2]), repeat([13]), if_then_else([7], [10], [2], [1])))), concatenate(add(subOneAll(addOneAll([7])), add(add([6], [13]), add([4], [8]))), addOneAll(if_then_else(sub([10], [5]), repeat([7]), repeat([5]), sub([8], [7]))))), subOneAll(sub(add(div(add([3], [1]), if_then_else([10], [2], [6], [4])), repeat(sub([3], [13]))), concatenate(concatenate(if_then_else([5], [8], [10], [7]), if_then_else([5], [12], [4], [7])), concatenate(add([5], [5]), mul([7], [12]))))))), div([12], [10]), repeat([4]), sub([7], [6]))))))","[11, 13, 2, 11, 2, 11, 11, 5, 11, 5, 11, 13, 2, 11, 2, 11, 11, 5, 11, 5]"
0.5,74.575,17,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7215769768051477,"concatenate(repeat(concatenate(subOneAll([4]), addOneAll([10]))), mul(concatenate(if_then_else([3], [9], [4], [9]), mul([10], [2])), concatenate(concatenate([6], [9]), concatenate([2], [8]))))","[3, 11, 3, 11, 3, 4, 10]"
0.6,74.769,33,"[1, 2, 1, 9, 2]",0.7219807812572336,"concatenate(add(if_then_else([4], [9], div(subOneAll(concatenate(div(concatenate(sub(add([4], [8]), div([13], [2])), if_then_else(repeat([12]), sub([12], [4]), add([2], [2]), addOneAll([3]))), div(repeat(div([10], [9])), mul(repeat([7]), div([5], [10])))), sub(div(concatenate(subOneAll([1]), add([1], [2])), div(mul([13], [12]), subOneAll([12]))), subOneAll(sub(sub([3], [11]), subOneAll([8])))))), addOneAll(subOneAll(if_then_else(subOneAll(sub(sub([7], [8]), add([10], [9]))), subOneAll(sub(mul([10], [4]), repeat([6]))), repeat(sub(if_then_else([4], [8], [9], [8]), concatenate([2], [12]))), sub(sub(addOneAll([3]), addOneAll([4])), if_then_else(concatenate([3], [12]), sub([7], [10]), addOneAll([11]), add([11], [8]))))))), [5]), addOneAll([11])), repeat(mul([4], [9])))","[4, 6, 11, 11, 2, 12, 2, 11, 11]"
0.7,74.506,7,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7215769768051477,"sub(addOneAll(if_then_else(if_then_else(repeat(if_then_else([7], [1], [10], [2])), mul(addOneAll([3]), addOneAll([2])), add(sub([9], [3]), subOneAll([11])), add(subOneAll([7]), if_then_else([8], [2], [11], [2]))), mul(repeat(repeat([10])), subOneAll(if_then_else([1], [3], [3], [2]))), concatenate(repeat(div([10], [5])), mul(if_then_else([4], [13], [13], [12]), concatenate([3], [13]))), add(div(concatenate([12], [10]), addOneAll([3])), concatenate(add([3], [10]), concatenate([12], [9]))))), repeat(subOneAll(repeat(add(repeat([6]), concatenate([3], [4]))))))","[8, 3, 8, 3, 6, 4, 4, 5, 11]"
0.8,74.606,13,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.8475014296673953,"if_then_else(concatenate(div(add(concatenate([8], [5]), div([1], [6])), add(div([4], [13]), mul([13], [2]))), subOneAll(div(concatenate([6], [10]), mul([10], [5])))), concatenate(repeat(sub(subOneAll([3]), add([2], [13]))), addOneAll(addOneAll(addOneAll([1])))), if_then_else(div(add(repeat(addOneAll(if_then_else(concatenate(concatenate(subOneAll([5]), add([12], [9])), if_then_else(concatenate([4], [13]), repeat([5]), mul([10], [6]), div([2], [3]))), if_then_else(subOneAll(add([8], [2])), sub(repeat([9]), concatenate([7], [4])), repeat(addOneAll([10])), subOneAll(div([11], [1]))), add(div(concatenate([12], [10]), repeat([5])), add(add([7], [11]), sub([12], [3]))), repeat(mul(sub([1], [5]), addOneAll([2])))))), if_then_else(subOneAll(sub(sub(subOneAll(mul([13], [8])), mul(concatenate([7], [2]), sub([10], [11]))), concatenate(concatenate(subOneAll([7]), div([12], [3])), add(add([2], [13]), add([6], [4]))))), add(if_then_else(sub(div(div([1], [3]), if_then_else([6], [1], [8], [8])), repeat(addOneAll([5]))), if_then_else(addOneAll(add([1], [5])), subOneAll(div([8], [12])), sub(div([4], [6]), concatenate([5], [2])), subOneAll(subOneAll([11]))), mul(addOneAll(addOneAll([3])), add(repeat([1]), div([5], [5]))), concatenate(repeat(if_then_else([11], [5], [6], [1])), sub(addOneAll([7]), repeat([12])))), mul(repeat(mul(subOneAll([13]), concatenate([12], [7]))), mul(repeat(subOneAll([3])), sub(addOneAll([9]), div([6], [7]))))), mul(addOneAll(addOneAll(if_then_else(concatenate([9], [4]), add([5], [2]), repeat([1]), repeat([10])))), sub(addOneAll(repeat(concatenate([7], [3]))), concatenate(subOneAll(mul([12], [2])), sub(repeat([4]), subOneAll([10]))))), mul(concatenate(sub(concatenate(if_then_else([10], [8], [10], [11]), sub([2], [8])), concatenate(mul([2], [11]), div([8], [7]))), subOneAll(addOneAll(concatenate([3], [5])))), add(if_then_else(subOneAll(concatenate([12], [4])), addOneAll(repeat([2])), repeat(sub([10], [1])), sub(mul([6], [2]), mul([10], [1]))), if_then_else(subOneAll(mul([11], [11])), sub(concatenate([4], [5]), repeat([6])), repeat(subOneAll([1])), add(div([7], [5]), sub([7], [7]))))))), subOneAll(mul([2], [9]))), div(if_then_else(add([12], [12]), sub([3], [3]), sub([3], [13]), addOneAll([8])), addOneAll(concatenate([6], [12]))), div(sub(sub([13], [10]), add([7], [11])), add(if_then_else([1], [7], [9], [11]), add([4], [10]))), div(div(subOneAll([10]), repeat([4])), repeat(concatenate([6], [12])))), subOneAll(subOneAll(div(concatenate([2], [6]), mul([7], [12])))))","[8, 3, 5, 13, 13, 12]"
0.9,74.5,8,"[1, 2, 1, 9, 2]",0.7278344730240913,"repeat(sub(if_then_else(add(add(addOneAll([5]), subOneAll([13])), repeat(subOneAll([11]))), add(addOneAll(subOneAll([5])), concatenate(repeat([6]), concatenate([6], [1]))), if_then_else(mul(addOneAll([4]), addOneAll([5])), sub(mul([10], [3]), subOneAll([3])), concatenate(concatenate([9], [4]), subOneAll([10])), if_then_else(if_then_else([2], [3], [3], [6]), add([7], [11]), concatenate([8], [4]), mul([11], [6]))), mul(if_then_else(if_then_else([11], [5], [12], [5]), sub([6], [13]), concatenate([8], [6]), mul([4], [13])), if_then_else(div([5], [10]), add([7], [4]), div([12], [8]), add([5], [4])))), sub(if_then_else(subOneAll(div([10], [2])), if_then_else(concatenate([2], [5]), mul([11], [10]), repeat([3]), div([13], [1])), sub(sub([5], [13]), sub([8], [5])), add(if_then_else([10], [3], [2], [7]), subOneAll([11]))), subOneAll(mul(sub([1], [7]), subOneAll([6]))))))","[4, 5, 2, 3, 8, 13, 4, 5, 2, 3, 8, 13]"
