rand,Max_fit,Gen,Dataset,Dist,Hof
104325,9.0,32,"[7, 7, 7, 7, 7, 7]",0.18889289434618728,"[7, 3, 4, 7, 4, 4, 3, 7, 7, 7]"
104416,9.0,38,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 3, 3, 4, 4, 6, 7, 7, 7, 7, 7]"
104513,12.0,52,"[7, 9, 9, 7, 9]",0.16137213062246536,"[3, 7, 4, 9, 9]"
104561,9.0,33,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 3, 4, 4, 7, 7, 7, 6, 4, 7, 7]"
104658,9.0,50,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2014957943904805,"[3, 3, 6, 7, 7, 9, 9, 4, 4, 4]"
104737,9.0,53,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.29483315876836436,"[3, 7, 7, 3, 3, 3, 4, 9, 9, 9]"
104828,10.0,69,"[7, 7, 7, 7, 7, 7, 6, 7, 7, 9, 9, 9, 7, 7]",0.4053812746209311,"[10, 7, 12, 3, 3, 3, 3, 9, 7, 7]"
104895,9.0,34,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[7, 7, 4, 6, 7, 3, 7, 3, 3, 4, 7]"
104988,10.0,38,"[7, 7, 7, 7, 6, 7]",0.1501634144012025,"[3, 4, 7, 4, 6, 7, 7, 7, 4, 7]"
105064,9.0,53,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.24252930447193366,"[3, 7, 3, 4, 4, 9, 9, 9, 7, 3]"
