lamb,Max_fit,Gen,Dataset,Dist,Hof
100,9.0,35,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 3, 7, 7, 6, 7, 3, 4, 7, 4, 7]"
101,9.0,52,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.26548296191217813,"[7, 7, 7, 4, 3, 4, 9, 9, 3, 3]"
102,9.0,41,"[7, 7, 7, 7, 7, 7]",0.18889289434618728,"[7, 3, 7, 3, 7, 7, 7, 4, 4, 4]"
103,10.0,41,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.12776101727071154,"[3, 3, 6, 4, 4, 9, 4, 9, 4, 7]"
104,9.0,36,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 4, 3, 7, 3, 6, 7, 7, 4, 7, 7]"
105,10.0,21,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.12776101727071154,"[3, 4, 6, 3, 3, 9, 4, 9, 7, 3]"
106,10.0,67,"[6, 7, 7, 7, 7]",0.2949760120893674,"[7, 3, 7, 7, 4, 4, 6, 4]"
107,9.0,34,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.22221520810631368,"[3, 7, 3, 6, 7, 7, 4, 9, 4, 4, 4]"
108,10.0,50,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.1373707873525728,"[3, 3, 4, 3, 7, 9, 9, 9, 4, 4]"
109,11.0,41,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.1560042848904457,"[6, 3, 9, 9, 4, 4, 3]"
