optimal,Max_fit,Gen,Dataset,Dist,Hof
127845,9.0,58,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.26548296191217813,"[4, 7, 6, 7, 3, 9, 9, 4, 4, 4]"
127944,9.0,36,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.1741081744498082,"[3, 4, 3, 3, 7, 4, 6, 7, 9, 9, 3]"
128054,9.0,26,"[7, 7, 7, 7, 7, 7, 7, 7, 7]",0.2284832501895404,"[7, 4, 3, 7, 3, 3, 7, 7, 7, 3]"
128167,9.0,24,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 4, 6, 7, 7, 4, 7, 3, 3, 7, 7]"
128284,9.0,30,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[4, 7, 7, 3, 7, 7, 3, 6, 7, 3, 4]"
128395,9.0,45,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2014957943904805,"[4, 7, 6, 4, 7, 4, 9, 9, 3, 3]"
128487,10.0,26,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14076541833431244,"[4, 3, 4, 7, 4, 3, 6, 9, 9]"
128592,9.0,21,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[7, 4, 3, 6, 7, 3, 4, 7, 7, 3, 7]"
128712,9.0,39,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.24252930447193366,"[3, 7, 3, 7, 3, 9, 9, 9, 4, 4]"
128813,10.0,64,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.18270488921792472,"[7, 3, 4, 4, 7, 3, 9, 4, 9]"
