optimal,Max_fit,Gen,Dataset,Dist,Hof
137082,5.0,11,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 10, 6, 4]"
137094,5.0,11,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 6, 10, 2]"
137106,5.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 6, 10, 10, 4]"
137118,5.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 6, 10, 4]"
137129,5.0,11,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 10, 6, 4]"
137142,5.0,11,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[10, 6, 10, 6, 4]"
137154,5.0,11,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 10, 6, 4]"
137166,5.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 10, 6, 2]"
137178,5.0,7,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 6, 10, 4]"
137190,5.0,9,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.02817468419245006,"[6, 10, 6, 10, 4]"
