lamb,Max_fit,Gen,Dataset,Dist,Hof
100,9.0,41,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2014957943904805,"[4, 7, 7, 3, 6, 3, 4, 9, 9, 3]"
101,9.0,29,"[7, 7, 9, 7, 7, 7, 7, 7, 7, 9, 7]",0.24748786733772754,"[7, 3, 7, 7, 4, 4, 7, 3, 3, 9]"
102,10.0,30,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.16761649901136522,"[7, 7, 6, 4, 9, 3, 3, 4, 3]"
103,10.0,69,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.26194715745524255,"[2, 4, 7, 4, 3, 4, 6, 9, 9]"
104,12.0,18,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.15948948511276317,"[4, 9, 3, 7, 4]"
105,9.0,57,"[7, 7, 9, 7, 7, 7, 7, 7, 7, 9, 7]",0.2931379347858917,"[3, 7, 4, 7, 4, 4, 7, 4, 9, 7]"
106,9.0,42,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.21159950376363046,"[3, 4, 4, 3, 7, 6, 9, 9, 9, 3]"
107,10.0,16,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14076541833431244,"[3, 7, 3, 4, 6, 3, 9, 4, 9]"
108,9.0,19,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[7, 4, 4, 3, 4, 7, 3, 6, 7, 7, 7]"
109,10.0,50,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14076541833431244,"[4, 3, 3, 4, 7, 3, 6, 9, 9]"
