rand,Max_fit,Gen,Dataset,Dist,Hof
99866,10.0,34,"[6, 7, 7, 7, 7]",0.17537887487646797,"[7, 7, 7, 7, 3, 4, 6, 3, 4]"
99953,10.0,18,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.16761649901136522,"[3, 7, 3, 7, 4, 6, 4, 4, 9]"
100053,9.0,60,"[7, 7, 9, 7, 7, 7, 7, 7, 7, 9, 7]",0.24748786733772754,"[4, 3, 7, 4, 3, 7, 7, 9, 3, 7]"
100124,11.0,20,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.11776915844926794,"[6, 4, 7, 4, 3, 9, 3]"
100199,10.0,62,"[7, 6, 7, 7, 9]",0.3617152614957746,"[3, 6, 7, 9, 7, 3, 3, 7, 3]"
100251,9.0,32,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 4, 7, 4, 4, 6, 3, 7, 7, 7, 7]"
100347,9.0,56,"[7, 7, 7, 7, 7, 7]",0.18889289434618728,"[3, 3, 4, 7, 7, 7, 3, 7, 7, 4]"
100436,9.0,54,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14406598736065113,"[7, 4, 3, 3, 3, 6, 9, 9, 4, 4, 7]"
100511,9.0,60,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.21159950376363046,"[4, 7, 3, 3, 3, 6, 9, 9, 9, 4]"
100590,9.0,51,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.26548296191217813,"[3, 4, 7, 4, 7, 4, 6, 9, 4, 9]"
