rand,Avg_max_fit,Gen,Dataset,CosDist,Hof
0,108.989,46,"[6, 6, 6, 6]",0.7226499018873854,"[11, 2, 6, 5, 13, 13, 13]"
662,108.978,47,"[6, 6, 6, 6]",1.0,"[12, 4, 4, 12, 12, 4, 4, 12]"
1375,108.978,17,"[6, 6, 6, 6]",0.7327387580875756,"[2, 11, 2, 13, 2, 6, 1, 5]"
2083,108.922,40,"[6, 6, 6, 6]",1.0,"[2, 3, 2, 3, 11, 13, 12]"
3164,108.967,49,"[6, 6, 6, 6]",1.0,"[3, 4, 2, 5, 3, 4, 2, 5]"
