gen,nevals,avg,min,max
0,84,[-790.63095238  823.22619048],[-1000.     9.],[ 175. 1000.]
1,66,[-148.44047619  281.60714286],[-1000.     8.],[ 175. 1000.]
2,60,[104.27380952  68.82142857],[-1000.     8.],[ 175. 1000.]
3,66,[174.83333333   9.64285714],[167.   8.],[175.  47.]
4,62,[174.77380952   8.76190476],[170.   7.],[175.  21.]
5,64,[160.92857143  19.88095238],[-1000.     7.],[ 175. 1000.]
6,62,[160.88095238  19.64285714],[-1000.     7.],[ 175. 1000.]
7,60,[174.92857143   7.25      ],[170.   7.],[175.  22.]
8,60,[174.94047619   7.23809524],[173.   7.],[175.  19.]
9,62,[160.96428571  18.98809524],[-1000.     6.],[ 175. 1000.]
10,64,[174.97619048   6.94047619],[174.   6.],[175.  10.]
11,73,[160.9047619   18.71428571],[-1000.     6.],[ 175. 1000.]
12,62,[174.97619048   6.11904762],[174.   6.],[175.   8.]
13,67,[174.97619048   6.05952381],[174.   6.],[175.   7.]
14,64,[174.92857143   6.14285714],[171.   6.],[175.  10.]
15,63,[174.95238095   6.19047619],[173.   6.],[175.  13.]
16,66,[175.           6.02380952],[175.   6.],[175.   7.]
17,57,[174.83333333   6.26190476],[171.   6.],[175.  12.]
18,64,[174.98809524   6.11904762],[174.   6.],[175.  10.]
19,63,[174.96428571   6.21428571],[172.   6.],[175.  15.]
20,58,[174.98809524   6.14285714],[174.   6.],[175.  12.]
21,66,[174.95238095   6.0952381 ],[174.   6.],[175.   7.]
22,64,[174.85714286   6.9047619 ],[168.   6.],[175.  65.]
23,58,[174.95238095   6.10714286],[173.   6.],[175.  10.]
24,68,[174.95238095   6.17857143],[172.   6.],[175.  11.]
25,71,[175.           6.02380952],[175.   6.],[175.   7.]
26,62,[174.95238095   6.08333333],[172.   6.],[175.  12.]
27,55,[174.98809524   6.05952381],[174.   6.],[175.  10.]
28,60,[175.           6.02380952],[175.   6.],[175.   7.]
29,65,[174.97619048   6.05952381],[174.   6.],[175.   7.]
30,60,[174.96428571   6.13095238],[173.   6.],[175.  12.]
31,63,[174.96428571   6.05952381],[172.   6.],[175.  10.]
32,58,[174.95238095   6.11904762],[173.   6.],[175.  11.]
33,57,[174.98809524   6.03571429],[174.   6.],[175.   7.]
34,64,[175.           6.04761905],[175.   6.],[175.   7.]
35,72,[175.           6.04761905],[175.   6.],[175.   7.]
36,68,[174.95238095   6.07142857],[172.   6.],[175.  10.]
37,61,[174.98809524   6.04761905],[174.   6.],[175.   7.]
38,66,[175.           6.01190476],[175.   6.],[175.   7.]
39,63,[174.96428571   6.08333333],[172.   6.],[175.  10.]
40,65,[174.94047619   6.26190476],[171.   6.],[175.  24.]
41,56,[174.88095238   6.75      ],[168.   6.],[175.  65.]
42,68,[160.96428571  18.28571429],[-1000.     6.],[ 175. 1000.]
43,65,[174.92857143   6.03571429],[173.   6.],[175.   7.]
44,61,[175.           6.01190476],[175.   6.],[175.   7.]
45,69,[174.94047619   6.14285714],[173.   6.],[175.  10.]
46,65,[174.98809524   6.01190476],[174.   6.],[175.   7.]
47,55,[175.           6.04761905],[175.   6.],[175.  10.]
48,59,[174.98809524   6.01190476],[174.   6.],[175.   7.]
49,63,[174.97619048   6.08333333],[174.   6.],[175.   9.]
50,65,[175.           6.01190476],[175.   6.],[175.   7.]
51,65,[175.           6.03571429],[175.   6.],[175.   9.]
