gen,nevals,avg,min,max
0,90,779.8555555555556,7.0,1000.0
1,76,273.44444444444446,7.0,1000.0
2,78,96.36666666666666,7.0,1000.0
3,74,118.12222222222222,6.0,1000.0
4,62,106.7,6.0,1000.0
5,65,84.7,6.0,1000.0
6,70,161.8,6.0,1000.0
7,65,73.56666666666666,6.0,1000.0
8,73,239.01111111111112,6.0,1000.0
9,74,161.4111111111111,6.0,1000.0
10,72,106.17777777777778,6.0,1000.0
11,67,61.53333333333333,6.0,1000.0
12,83,28.333333333333332,6.0,1000.0
13,72,28.344444444444445,6.0,1000.0
14,64,39.233333333333334,6.0,1000.0
15,70,6.033333333333333,6.0,8.0
16,74,17.155555555555555,6.0,1000.0
17,71,28.144444444444446,6.0,1000.0
18,78,6.111111111111111,6.0,10.0
19,71,39.21111111111111,6.0,1000.0
20,70,6.222222222222222,6.0,18.0
21,78,28.22222222222222,6.0,1000.0
22,80,17.155555555555555,6.0,1000.0
23,74,6.144444444444445,6.0,10.0
24,66,28.2,6.0,1000.0
25,78,28.166666666666668,6.0,1000.0
26,73,28.18888888888889,6.0,1000.0
27,64,17.07777777777778,6.0,1000.0
28,75,17.333333333333332,6.0,1000.0
29,68,6.222222222222222,6.0,12.0
30,64,17.066666666666666,6.0,1000.0
31,70,39.21111111111111,6.0,1000.0
32,66,6.2555555555555555,6.0,19.0
33,70,17.133333333333333,6.0,1000.0
34,71,17.255555555555556,6.0,1000.0
35,73,6.044444444444444,6.0,8.0
36,73,17.144444444444446,6.0,1000.0
37,65,6.211111111111111,6.0,14.0
38,69,6.055555555555555,6.0,8.0
39,72,6.033333333333333,6.0,8.0
40,77,17.133333333333333,6.0,1000.0
41,74,6.111111111111111,6.0,8.0
42,71,17.122222222222224,6.0,1000.0
43,75,6.066666666666666,6.0,8.0
44,80,28.122222222222224,6.0,1000.0
45,77,17.07777777777778,6.0,1000.0
46,75,28.266666666666666,6.0,1000.0
47,76,17.044444444444444,6.0,1000.0
48,78,6.0,6.0,6.0
49,74,28.08888888888889,6.0,1000.0
50,69,17.08888888888889,6.0,1000.0
51,71,17.055555555555557,6.0,1000.0
52,78,17.122222222222224,6.0,1000.0
53,71,6.088888888888889,6.0,12.0
54,74,28.22222222222222,6.0,1000.0
55,80,6.022222222222222,6.0,8.0
56,70,17.07777777777778,6.0,1000.0
57,75,17.08888888888889,6.0,1000.0
58,76,17.08888888888889,6.0,1000.0
59,70,17.08888888888889,6.0,1000.0
60,79,6.044444444444444,6.0,8.0
,,,,
gen,nevals,avg,min,max
0,90,702.8888888888889,7.0,1000.0
1,70,185.2,7.0,1000.0
2,68,85.91111111111111,7.0,1000.0
3,74,85.73333333333333,7.0,1000.0
4,69,85.04444444444445,7.0,1000.0
5,69,18.488888888888887,6.0,1000.0
6,81,84.43333333333334,6.0,1000.0
7,68,128.2888888888889,6.0,1000.0
8,77,182.98888888888888,6.0,1000.0
9,65,94.64444444444445,6.0,1000.0
10,72,83.64444444444445,6.0,1000.0
11,74,83.47777777777777,6.0,1000.0
12,70,61.577777777777776,6.0,1000.0
13,79,94.58888888888889,6.0,1000.0
14,71,72.44444444444444,6.0,1000.0
15,75,83.47777777777777,6.0,1000.0
16,68,39.25555555555555,6.0,1000.0
17,74,50.333333333333336,6.0,1000.0
18,69,28.455555555555556,6.0,1000.0
19,75,50.46666666666667,6.0,1000.0
20,77,28.31111111111111,6.0,1000.0
21,69,61.355555555555554,6.0,1000.0
22,75,39.41111111111111,6.0,1000.0
23,71,28.2,6.0,1000.0
24,67,17.177777777777777,6.0,1000.0
25,75,6.033333333333333,6.0,7.0
26,57,6.033333333333333,6.0,7.0
27,77,39.266666666666666,6.0,1000.0
28,79,6.055555555555555,6.0,7.0
29,70,28.31111111111111,6.0,1000.0
30,77,17.11111111111111,6.0,1000.0
31,79,17.233333333333334,6.0,1000.0
32,60,6.0,6.0,6.0
33,75,28.22222222222222,6.0,1000.0
34,64,17.055555555555557,6.0,1000.0
35,79,6.044444444444444,6.0,7.0
36,68,6.022222222222222,6.0,8.0
37,76,17.155555555555555,6.0,1000.0
38,65,6.011111111111111,6.0,7.0
39,75,6.233333333333333,6.0,16.0
40,77,17.044444444444444,6.0,1000.0
41,76,17.07777777777778,6.0,1000.0
42,80,17.055555555555557,6.0,1000.0
43,66,6.111111111111111,6.0,16.0
44,78,28.144444444444446,6.0,1000.0
45,76,6.022222222222222,6.0,7.0
46,72,17.2,6.0,1000.0
47,63,6.122222222222222,6.0,13.0
48,79,6.033333333333333,6.0,8.0
49,68,17.044444444444444,6.0,1000.0
50,80,17.066666666666666,6.0,1000.0
51,68,6.0,6.0,6.0
52,76,6.011111111111111,6.0,7.0
53,73,6.266666666666667,6.0,16.0
54,70,6.011111111111111,6.0,7.0
55,69,17.044444444444444,6.0,1000.0
56,80,17.055555555555557,6.0,1000.0
57,78,6.0,6.0,6.0
58,78,6.144444444444445,6.0,16.0
59,76,6.033333333333333,6.0,9.0
60,76,17.044444444444444,6.0,1000.0
,,,,
gen,nevals,avg,min,max
0,90,735.8777777777777,7.0,1000.0
1,73,152.01111111111112,7.0,1000.0
2,80,41.2,7.0,1000.0
3,82,19.122222222222224,7.0,1000.0
4,70,51.44444444444444,6.0,1000.0
5,71,40.56666666666667,6.0,1000.0
6,83,40.477777777777774,6.0,1000.0
7,77,18.155555555555555,6.0,1000.0
8,83,62.58888888888889,6.0,1000.0
9,74,39.93333333333333,6.0,1000.0
10,76,17.988888888888887,6.0,1000.0
11,74,40.0,6.0,1000.0
12,70,29.744444444444444,6.0,1000.0
13,78,17.988888888888887,5.0,1000.0
14,63,17.566666666666666,5.0,1000.0
15,76,17.42222222222222,5.0,1000.0
16,71,27.81111111111111,5.0,1000.0
17,72,38.67777777777778,5.0,1000.0
18,74,5.5777777777777775,5.0,14.0
19,68,5.544444444444444,5.0,14.0
20,68,5.511111111111111,5.0,14.0
21,74,27.433333333333334,5.0,1000.0
22,68,27.344444444444445,5.0,1000.0
23,76,27.666666666666668,5.0,1000.0
24,68,27.644444444444446,5.0,1000.0
25,72,5.5,5.0,14.0
26,78,27.677777777777777,5.0,1000.0
27,72,5.777777777777778,5.0,19.0
28,68,5.855555555555555,5.0,19.0
29,75,27.377777777777776,5.0,1000.0
30,72,5.4222222222222225,5.0,14.0
31,72,16.42222222222222,5.0,1000.0
32,68,5.488888888888889,5.0,15.0
33,76,27.6,5.0,1000.0
34,75,38.388888888888886,5.0,1000.0
35,80,27.444444444444443,5.0,1000.0
36,62,16.288888888888888,5.0,1000.0
37,70,16.31111111111111,5.0,1000.0
38,71,5.233333333333333,5.0,20.0
39,70,16.233333333333334,5.0,1000.0
40,72,16.144444444444446,5.0,1000.0
41,82,38.53333333333333,5.0,1000.0
42,80,38.28888888888889,5.0,1000.0
43,79,38.51111111111111,5.0,1000.0
44,73,16.22222222222222,5.0,1000.0
45,72,38.48888888888889,5.0,1000.0
46,76,5.355555555555555,5.0,14.0
47,71,16.322222222222223,5.0,1000.0
48,76,16.18888888888889,5.0,1000.0
49,80,16.211111111111112,5.0,1000.0
50,68,27.233333333333334,5.0,1000.0
51,81,5.122222222222222,5.0,11.0
52,70,5.044444444444444,5.0,7.0
53,62,5.444444444444445,5.0,14.0
54,64,5.144444444444445,5.0,13.0
55,72,16.266666666666666,5.0,1000.0
56,74,5.155555555555556,5.0,13.0
57,84,5.144444444444445,5.0,7.0
58,71,5.088888888888889,5.0,7.0
59,71,16.31111111111111,5.0,1000.0
60,75,5.088888888888889,5.0,7.0
,,,,
gen,nevals,avg,min,max
0,90,823.8111111111111,7.0,1000.0
1,71,228.95555555555555,6.0,1000.0
2,70,117.74444444444444,6.0,1000.0
3,67,116.93333333333334,5.0,1000.0
4,72,94.58888888888889,5.0,1000.0
5,65,138.57777777777778,5.0,1000.0
6,74,105.47777777777777,5.0,1000.0
7,74,105.05555555555556,5.0,1000.0
8,70,116.0111111111111,5.0,1000.0
9,74,182.35555555555555,5.0,1000.0
10,70,93.82222222222222,5.0,1000.0
11,80,93.85555555555555,5.0,1000.0
12,80,16.61111111111111,5.0,1000.0
13,74,49.48888888888889,5.0,1000.0
14,73,60.44444444444444,5.0,1000.0
15,70,60.48888888888889,5.0,1000.0
16,75,38.333333333333336,5.0,1000.0
17,72,60.36666666666667,5.0,1000.0
18,78,16.211111111111112,5.0,1000.0
19,71,16.177777777777777,5.0,1000.0
20,63,38.233333333333334,5.0,1000.0
21,64,60.37777777777778,5.0,1000.0
22,77,38.22222222222222,5.0,1000.0
23,74,5.0777777777777775,5.0,6.0
24,71,27.177777777777777,5.0,1000.0
25,74,5.177777777777778,5.0,11.0
26,78,27.177777777777777,5.0,1000.0
27,75,49.3,5.0,1000.0
28,71,27.177777777777777,5.0,1000.0
29,73,16.1,5.0,1000.0
30,72,27.3,5.0,1000.0
31,77,5.033333333333333,5.0,6.0
32,76,5.044444444444444,5.0,7.0
33,78,38.24444444444445,5.0,1000.0
34,75,16.155555555555555,5.0,1000.0
35,77,16.177777777777777,5.0,1000.0
36,71,16.122222222222224,5.0,1000.0
37,75,5.066666666666666,5.0,7.0
38,76,5.044444444444444,5.0,6.0
39,73,5.055555555555555,5.0,6.0
40,78,5.033333333333333,5.0,6.0
41,74,16.066666666666666,5.0,1000.0
42,73,16.08888888888889,5.0,1000.0
43,74,16.1,5.0,1000.0
44,70,16.07777777777778,5.0,1000.0
45,74,5.066666666666666,5.0,8.0
46,73,27.166666666666668,5.0,1000.0
47,73,27.18888888888889,5.0,1000.0
48,73,5.033333333333333,5.0,6.0
49,74,27.155555555555555,5.0,1000.0
50,68,5.033333333333333,5.0,6.0
51,71,16.08888888888889,5.0,1000.0
52,73,5.088888888888889,5.0,8.0
53,80,5.033333333333333,5.0,7.0
54,76,16.11111111111111,5.0,1000.0
55,74,16.122222222222224,5.0,1000.0
56,72,16.155555555555555,5.0,1000.0
57,73,5.022222222222222,5.0,6.0
58,74,16.122222222222224,5.0,1000.0
59,63,5.033333333333333,5.0,6.0
60,73,16.1,5.0,1000.0
,,,,
gen,nevals,avg,min,max
0,90,790.8222222222222,6.0,1000.0
1,82,218.13333333333333,6.0,1000.0
2,70,84.96666666666667,6.0,1000.0
3,78,73.26666666666667,5.0,1000.0
4,84,17.733333333333334,5.0,1000.0
5,77,6.344444444444444,5.0,13.0
6,72,5.9,5.0,10.0
7,85,17.38888888888889,5.0,1000.0
8,65,5.666666666666667,5.0,10.0
9,75,27.877777777777776,5.0,1000.0
10,68,16.61111111111111,5.0,1000.0
11,68,16.57777777777778,5.0,1000.0
12,76,5.6,5.0,10.0
13,70,27.633333333333333,5.0,1000.0
14,72,5.588888888888889,5.0,11.0
15,66,5.2444444444444445,5.0,8.0
16,77,5.322222222222222,5.0,13.0
17,74,5.277777777777778,5.0,9.0
18,70,27.27777777777778,5.0,1000.0
19,66,16.27777777777778,5.0,1000.0
20,66,5.2555555555555555,5.0,15.0
21,78,5.466666666666667,5.0,24.0
22,72,5.222222222222222,5.0,8.0
23,79,5.2444444444444445,5.0,11.0
24,80,16.333333333333332,5.0,1000.0
25,81,16.27777777777778,5.0,1000.0
26,71,5.111111111111111,5.0,7.0
27,77,5.111111111111111,5.0,8.0
28,76,5.222222222222222,5.0,8.0
29,66,5.0777777777777775,5.0,6.0
30,64,5.088888888888889,5.0,7.0
31,63,16.166666666666668,5.0,1000.0
32,74,5.144444444444445,5.0,9.0
33,74,5.0777777777777775,5.0,7.0
34,71,5.377777777777778,5.0,22.0
35,83,5.222222222222222,5.0,8.0
36,68,16.166666666666668,5.0,1000.0
37,74,5.2,5.0,7.0
38,66,27.544444444444444,5.0,1000.0
39,70,5.122222222222222,5.0,11.0
40,74,16.166666666666668,5.0,1000.0
41,78,5.055555555555555,5.0,7.0
42,81,5.144444444444445,5.0,7.0
43,71,5.055555555555555,5.0,6.0
44,76,5.111111111111111,5.0,7.0
45,74,5.111111111111111,5.0,7.0
46,74,5.211111111111111,5.0,12.0
47,62,16.144444444444446,5.0,1000.0
48,66,5.066666666666666,5.0,7.0
49,72,5.266666666666667,5.0,9.0
50,75,5.066666666666666,5.0,6.0
51,76,5.011111111111111,5.0,6.0
52,75,5.066666666666666,5.0,7.0
53,77,5.2,5.0,10.0
54,73,16.144444444444446,5.0,1000.0
55,76,5.055555555555555,5.0,6.0
56,65,5.055555555555555,5.0,8.0
57,70,5.111111111111111,5.0,7.0
58,79,16.255555555555556,5.0,1000.0
59,69,5.066666666666666,5.0,7.0
60,74,5.144444444444445,5.0,12.0
,,,,
