rand,Avg_max_fit,Gen,Dataset,CosDist,Hof
31500,109.0,46,"[6, 6, 6, 6]",1.0,"div(repeat(repeat(if_then_else(sub([5], [8]), add([4], [7]), sub([5], [8]), add([12], [7])))), sub(add(repeat(sub([7], repeat([9]))), if_then_else(concatenate([3], [3]), if_then_else([5], [6], [8], [12]), repeat([5]), mul([7], [4]))), repeat(concatenate(add([1], [12]), div([1], [10])))))","[11, 11, 11, 11, 11, 11, 11, 1]"
32413,109.0,38,"[6, 6, 6, 6]",0.5917517095361369,"repeat(add(concatenate(if_then_else([12], [3], [12], [6]), repeat([10])), addOneAll(if_then_else([13], [12], [13], [9]))))","[12, 6, 10, 12, 12, 6, 10, 12]"
33479,109.0,44,"[6, 6, 6, 6]",0.6666666666666667,"addOneAll(if_then_else(concatenate(div(concatenate(addOneAll([4]), if_then_else([10], [7], [12], [1])), sub(subOneAll([6]), if_then_else([11], [13], [9], [5]))), subOneAll(subOneAll(concatenate([11], [1])))), repeat(sub(concatenate(add([11], [8]), if_then_else([10], [10], [11], [3])), subOneAll(addOneAll([2])))), sub(sub(concatenate([5], [11]), sub(if_then_else([5], [13], [10], [2]), subOneAll([12]))), subOneAll(addOneAll(repeat([11])))), repeat(mul(mul(sub([4], [6]), mul([12], [9])), if_then_else(mul([1], [2]), addOneAll([3]), addOneAll([2]), concatenate([11], [8]))))))","[6, 11, 2, 10, 13, 3, 3]"
34236,109.0,31,"[6, 6, 6, 6]",1.0,"add(repeat(mul(repeat(concatenate(div([6], [4]), addOneAll([2]))), mul(repeat(if_then_else([9], [9], [2], [6])), repeat(if_then_else([1], [6], [5], [6]))))), subOneAll(if_then_else(div(subOneAll(addOneAll([10])), mul(mul([9], [1]), mul([6], [5]))), if_then_else(addOneAll(repeat([9])), div(subOneAll([6]), repeat([1])), mul(add([7], [12]), add([4], [4])), if_then_else(mul([10], [2]), sub([1], [4]), div([3], [4]), subOneAll([4]))), sub(mul(add([9], [12]), mul([9], [9])), mul(add([11], [1]), if_then_else([12], [6], [6], [9]))), mul(subOneAll(sub([13], [4])), add(repeat([8]), repeat([8]))))))","[2, 3, 2, 2, 2, 3, 2, 3]"
35411,109.0,38,"[6, 6, 6, 6]",1.0,"repeat(add(add(repeat(repeat(add([7], [9]))), concatenate(div(add([8], [3]), div([5], [12])), if_then_else(sub([1], [2]), repeat(subOneAll(mul([2], [11]))), repeat([8]), subOneAll([9])))), addOneAll(repeat(add(if_then_else([9], [6], [3], [5]), add([7], [10]))))))","[4, 4, 4, 3, 4, 4, 4, 3]"
