gen,nevals,avg,min,max
8,30,12.325,12.0,31.0
9,25,12.1125,12.0,19.0
10,21,12.625,12.0,61.0
11,24,12.025,12.0,14.0
12,31,12.05,12.0,14.0
13,25,24.35,12.0,1000.0
14,19,12.225,12.0,30.0
15,22,12.0375,12.0,14.0
16,23,12.0,12.0,12.0
17,26,12.2375,12.0,22.0
18,25,12.0375,12.0,14.0
19,20,12.025,12.0,14.0
20,25,12.0,12.0,12.0
21,25,12.125,12.0,22.0
22,26,24.35,12.0,1000.0
23,22,12.075,12.0,18.0
24,21,12.0,12.0,12.0
25,31,12.0,12.0,12.0
26,20,12.0,12.0,12.0
27,26,12.025,12.0,14.0
28,22,12.0,12.0,12.0
29,26,12.0,12.0,12.0
30,29,12.0125,12.0,13.0
31,14,12.0,12.0,12.0
32,25,12.0125,12.0,13.0
33,20,12.0,12.0,12.0
34,26,12.0,12.0,12.0
35,24,12.0,12.0,12.0
36,24,12.0,12.0,12.0
37,27,12.025,12.0,14.0
38,23,12.0125,12.0,13.0
39,17,12.0,12.0,12.0
40,25,12.0,12.0,12.0
41,29,12.0,12.0,12.0
42,18,12.0,12.0,12.0
43,20,12.025,12.0,13.0
44,26,12.025,12.0,14.0
45,25,12.0,12.0,12.0
46,30,12.0125,12.0,13.0
47,22,24.35,12.0,1000.0
48,19,12.0,12.0,12.0
49,19,12.025,12.0,14.0
50,23,12.0625,12.0,17.0
51,20,12.0,12.0,12.0
52,16,12.0125,12.0,13.0
53,28,12.125,12.0,22.0
54,20,12.0,12.0,12.0
55,29,12.0,12.0,12.0
56,27,12.0,12.0,12.0
57,21,12.0,12.0,12.0
58,24,24.35,12.0,1000.0
59,21,12.0,12.0,12.0
60,22,12.0,12.0,12.0
,,,,
gen,nevals,avg,min,max
0,80,815.1125,12.0,1000.0
1,31,273.7,12.0,1000.0
2,30,13.3625,12.0,42.0
3,32,12.7875,12.0,38.0
4,33,12.425,12.0,30.0
5,29,12.6375,12.0,30.0
6,25,12.175,12.0,19.0
7,35,36.9125,12.0,1000.0
8,36,12.25,12.0,20.0
9,34,36.7875,12.0,1000.0
10,31,12.025,12.0,13.0
11,31,12.05,12.0,16.0
12,32,12.2375,12.0,30.0
13,31,12.0,12.0,12.0
14,40,12.125,12.0,18.0
15,31,12.2375,12.0,19.0
16,39,12.0,12.0,12.0
17,42,12.125,12.0,18.0
18,36,12.225,12.0,30.0
19,27,12.0,12.0,12.0
20,37,12.0875,12.0,19.0
