gen,nevals,avg,min,max
15,74,54.733333333333334,10.0,1000.0
16,85,32.666666666666664,10.0,1000.0
17,72,32.67777777777778,10.0,1000.0
18,75,32.922222222222224,10.0,1000.0
19,68,22.22222222222222,10.0,1000.0
20,78,10.777777777777779,10.0,22.0
21,78,44.03333333333333,10.0,1000.0
22,75,32.56666666666667,10.0,1000.0
23,65,10.566666666666666,10.0,21.0
24,72,21.355555555555554,10.0,1000.0
25,60,21.18888888888889,10.0,1000.0
26,66,10.077777777777778,10.0,12.0
27,71,32.24444444444445,10.0,1000.0
28,76,10.222222222222221,10.0,25.0
29,71,10.266666666666667,10.0,25.0
30,70,21.27777777777778,10.0,1000.0
31,77,10.222222222222221,10.0,18.0
32,75,10.11111111111111,10.0,12.0
33,71,10.044444444444444,10.0,12.0
34,62,21.133333333333333,10.0,1000.0
35,73,10.088888888888889,10.0,14.0
36,67,10.133333333333333,10.0,14.0
37,82,10.044444444444444,10.0,12.0
38,70,10.0,10.0,10.0
39,71,10.022222222222222,10.0,12.0
40,80,21.18888888888889,10.0,1000.0
41,75,21.044444444444444,10.0,1000.0
42,70,10.1,10.0,16.0
43,71,10.11111111111111,10.0,16.0
44,73,21.044444444444444,10.0,1000.0
45,75,21.1,10.0,1000.0
46,71,10.044444444444444,10.0,14.0
47,69,21.044444444444444,10.0,1000.0
48,69,10.188888888888888,10.0,16.0
49,74,10.222222222222221,10.0,24.0
50,75,21.055555555555557,10.0,1000.0
51,84,10.177777777777777,10.0,16.0
52,74,10.0,10.0,10.0
53,71,10.033333333333333,10.0,12.0
54,69,21.066666666666666,10.0,1000.0
55,69,10.022222222222222,10.0,12.0
56,80,10.0,10.0,10.0
57,73,10.11111111111111,10.0,16.0
58,80,10.244444444444444,10.0,25.0
59,63,10.044444444444444,10.0,12.0
60,63,10.066666666666666,10.0,14.0
,,,,
gen,nevals,avg,min,max
0,90,682.3222222222222,13.0,1000.0
1,67,134.37777777777777,12.0,1000.0
2,63,35.022222222222226,12.0,1000.0
3,73,89.28888888888889,12.0,1000.0
4,72,12.088888888888889,12.0,16.0
5,79,23.433333333333334,12.0,1000.0
6,80,23.066666666666666,12.0,1000.0
7,74,23.08888888888889,12.0,1000.0
8,82,12.066666666666666,12.0,14.0
9,75,12.155555555555555,12.0,20.0
