mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,109.0,3,"[6, 6, 6, 6]",0.5,"sub(repeat(div(if_then_else(if_then_else([6], [6], [3], [13]), subOneAll([2]), add([10], [10]), repeat([3])), if_then_else(sub([12], [2]), mul([12], [2]), addOneAll([6]), mul([2], [10])))), sub(subOneAll(div(concatenate([2], [3]), concatenate([2], [3]))), subOneAll(addOneAll(repeat([1])))))","[6, 13, 3, 1, 6, 13, 3, 1]"
0.1,109.0,18,"[6, 6, 6, 6]",0.6666666666666667,"concatenate(addOneAll(repeat(add(addOneAll(subOneAll([10])), sub(if_then_else([7], [12], [10], [9]), subOneAll([13]))))), repeat(div(if_then_else(if_then_else(div([9], [8]), subOneAll([13]), add([11], [12]), addOneAll([8])), if_then_else(addOneAll([6]), add([8], [9]), subOneAll([5]), sub([6], [8])), addOneAll(div([3], [10])), if_then_else(repeat([12]), sub([3], [10]), subOneAll([3]), repeat([4]))), repeat(if_then_else(repeat([7]), div([2], [8]), add(addOneAll(add(if_then_else(if_then_else(if_then_else([8], [3], [5], [3]), sub([9], [3]), concatenate([6], [13]), concatenate([7], [11])), mul(if_then_else([9], [13], [5], [4]), repeat([9])), if_then_else(repeat([12]), add([5], [11]), div([9], [1]), mul([6], [6])), div(repeat([5]), div([13], [12]))), subOneAll(if_then_else(if_then_else([11], [9], [4], [1]), repeat([4]), sub([12], [5]), add([10], [4]))))), [3]), subOneAll([10]))))))","[6, 6, 2, 11, 12, 12, 4, 1, 2, 11, 12, 12, 4, 1]"
0.2,109.0,9,"[6, 6, 6, 6]",0.8,"if_then_else(add(div(mul(addOneAll([3]), add([10], [7])), div(if_then_else([2], [3], [1], [8]), mul([2], [12]))), subOneAll(sub(mul([6], [5]), subOneAll([6])))), add(subOneAll(mul(mul([9], [1]), sub([10], [3]))), mul(addOneAll(sub([4], [11])), concatenate(repeat([11]), addOneAll([11])))), div(div(mul(subOneAll([2]), add([2], [12])), addOneAll(concatenate([10], [1]))), concatenate(concatenate(addOneAll([6]), div([10], [2])), repeat(addOneAll([11])))), concatenate(if_then_else(repeat(subOneAll([3])), concatenate(repeat([3]), add([3], [4])), repeat(if_then_else([2], [10], [1], [1])), addOneAll(div([7], [2]))), subOneAll(repeat(div([6], [11])))))","[6, 2, 2, 2, 1, 2, 1, 13, 13]"
0.3,109.0,4,"[6, 6, 6, 6]",0.8813218341806147,"subOneAll(concatenate(concatenate(sub(mul(if_then_else(concatenate([13], [12]), add([4], [4]), sub([7], [7]), concatenate([4], [5])), mul(mul([1], [4]), add([6], [9]))), subOneAll(concatenate(add([5], [8]), if_then_else([5], [3], [2], [6])))), repeat(repeat(div(concatenate([2], [5]), sub([11], [8]))))), mul(sub(subOneAll(sub(subOneAll([3]), div([11], [3]))), if_then_else(if_then_else(if_then_else([7], [5], [10], [4]), add([7], [6]), repeat([13]), mul([4], [13])), sub(add([3], [13]), if_then_else([3], [7], [7], [7])), repeat(sub([6], [11])), div(sub([7], [13]), sub([1], [12])))), add(concatenate(subOneAll(sub([2], [6])), if_then_else(sub([7], [12]), sub([4], [4]), repeat([10]), div([12], [1]))), addOneAll(add(addOneAll([12]), subOneAll([4])))))))","[12, 11, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 6]"
0.4,109.0,18,"[6, 6, 6, 6]",1.0,"addOneAll(repeat(repeat(addOneAll(div(concatenate(sub([3], [8]), subOneAll([9])), concatenate(repeat([6]), repeat(repeat(addOneAll(add(addOneAll(add(concatenate([5], [1]), concatenate([11], [6]))), mul(addOneAll(sub([12], [13])), concatenate(sub([12], [5]), div([1], [8])))))))))))))","[11, 4, 11, 4, 11, 4, 11, 4]"
0.5,109.0,11,"[6, 6, 6, 6]",0.5285954792089682,"sub(div(repeat(if_then_else(concatenate([12], [6]), addOneAll([5]), sub([1], [13]), repeat([2]))), mul(mul(sub([12], [2]), repeat([3])), mul(subOneAll([11]), mul([1], [4])))), addOneAll(mul(div(subOneAll([10]), subOneAll([13])), if_then_else(add([7], [2]), subOneAll([10]), add([3], [9]), addOneAll([7])))))","[12, 6, 2, 2, 12, 6, 2, 3]"
0.6,109.0,8,"[6, 6, 6, 6]",1.0,"addOneAll(if_then_else(subOneAll(repeat(subOneAll(sub([3], [11])))), if_then_else(if_then_else(mul(if_then_else([6], [10], [4], [9]), subOneAll([13])), subOneAll(add([1], [7])), concatenate(add([5], [10]), add([8], [2])), repeat(subOneAll([6]))), mul(addOneAll(div([6], [7])), concatenate(if_then_else([1], [6], [11], [12]), sub([9], [5]))), addOneAll(if_then_else(subOneAll([12]), repeat([10]), subOneAll([5]), if_then_else(mul(repeat(sub(if_then_else(mul([10], [2]), repeat([5]), if_then_else([6], [2], [12], [11]), concatenate([10], [1])), concatenate(subOneAll([2]), mul([9], [9])))), concatenate(mul(sub(sub([12], [7]), repeat([1])), div(sub([12], [11]), sub([1], [10]))), if_then_else(sub(if_then_else([12], [12], [7], [8]), sub([4], [1])), if_then_else(mul([7], [11]), subOneAll([3]), repeat([10]), repeat([13])), add(concatenate([11], [4]), div([6], [6])), subOneAll(repeat([8]))))), [8], [10], [9]))), if_then_else(div(sub([4], [8]), addOneAll([7])), addOneAll(add([4], [1])), if_then_else(div([8], [12]), mul([13], [12]), addOneAll([3]), div([12], [6])), div(div([6], [8]), concatenate([5], [6])))), subOneAll(concatenate(repeat(concatenate([12], [3])), subOneAll(sub([4], [5])))), addOneAll(add(div(if_then_else([1], [6], [7], [9]), sub([9], [8])), mul(subOneAll([12]), concatenate([12], [7]))))))","[5, 5, 12, 3, 12, 3, 12]"
0.7,109.0,14,"[6, 6, 6, 6]",1.0,"add(repeat(if_then_else(repeat(subOneAll(add([4], [8]))), if_then_else(subOneAll(concatenate([12], [9])), div(mul([6], [6]), concatenate([6], [8])), addOneAll(sub([9], [2])), if_then_else(add([10], [9]), addOneAll([4]), concatenate([5], [1]), div([8], [6]))), if_then_else(if_then_else(div([2], [10]), repeat([8]), sub([8], [7]), sub([3], [12])), concatenate(mul([11], [11]), sub([4], [10])), subOneAll(div([2], [9])), sub(concatenate([8], [5]), mul([4], [9]))), concatenate(concatenate(div([10], [1]), addOneAll([11])), add(subOneAll([8]), concatenate([5], [11]))))), add(sub(repeat(if_then_else(mul(div(sub(subOneAll([7]), sub([3], [13])), repeat(sub([6], [8]))), if_then_else(concatenate(concatenate([11], [13]), div([8], [9])), sub(if_then_else([2], [5], [11], [7]), sub([10], [8])), mul(add([7], [11]), add([2], [7])), addOneAll(subOneAll([12])))), div(repeat(addOneAll(if_then_else([6], [4], [2], [6]))), add(div(div([5], [10]), if_then_else([8], [5], [3], [3])), if_then_else(sub([4], [6]), subOneAll([13]), if_then_else([9], [12], [4], [10]), subOneAll([11])))), mul(repeat(sub(mul([12], [1]), addOneAll([11]))), concatenate(repeat(div([2], [5])), sub(subOneAll([1]), sub([6], [6])))), subOneAll(mul(if_then_else(add([6], [10]), sub([3], [7]), subOneAll([11]), subOneAll([13])), addOneAll(repeat([1])))))), subOneAll(addOneAll(mul([13], [5])))), addOneAll(div(sub(subOneAll([8]), if_then_else([5], [2], [8], [7])), addOneAll(repeat([6]))))))","[12, 12, 11, 12, 13, 12, 12, 11, 12, 13]"
0.8,109.0,15,"[6, 6, 6, 6]",0.7226499018873854,"add(if_then_else(concatenate(div(if_then_else(if_then_else(repeat([13]), mul([13], [9]), sub([11], [13]), subOneAll([3])), sub(div([9], [1]), concatenate([6], [10])), subOneAll(add([4], [6])), addOneAll(repeat([7]))), mul(div(concatenate([2], [13]), addOneAll([8])), if_then_else(mul([8], [10]), sub([12], [12]), sub([11], [11]), mul([9], [11])))), div(mul(subOneAll(sub([5], [4])), concatenate(div([13], [12]), repeat([1]))), mul(mul(subOneAll([13]), mul([12], [7])), sub(if_then_else([11], [12], [1], [1]), mul([3], [8]))))), sub(add(repeat(subOneAll(add([11], [2]))), concatenate(sub(mul([1], [2]), if_then_else([12], [6], [5], [7])), div(concatenate([8], [6]), addOneAll([2])))), if_then_else(if_then_else(addOneAll(div([12], [3])), div(addOneAll([3]), add([4], [11])), subOneAll(addOneAll([1])), if_then_else(mul([13], [9]), div([6], [7]), subOneAll([10]), subOneAll([9]))), mul(add(concatenate([13], [3]), div([8], [10])), add(mul([12], [6]), repeat([6]))), addOneAll(div(mul([2], [13]), addOneAll([6]))), add(sub(div([11], [10]), subOneAll([3])), concatenate(if_then_else([9], [10], [10], [5]), mul([6], [9]))))), repeat(addOneAll(add(subOneAll(addOneAll([1])), add(addOneAll([2]), repeat([11]))))), sub(if_then_else(concatenate(addOneAll(mul([2], [9])), sub(subOneAll([4]), sub([7], [4]))), addOneAll(addOneAll(addOneAll([5]))), concatenate(if_then_else(subOneAll([11]), mul([3], [9]), mul([10], mul(sub(addOneAll(concatenate(repeat(concatenate(subOneAll([2]), concatenate([6], [6]))), add(subOneAll(add([12], [12])), add(subOneAll([1]), mul([9], [2]))))), concatenate(if_then_else(sub(sub(repeat([7]), concatenate([13], [12])), add(add([11], [5]), addOneAll([10]))), add(repeat(addOneAll([12])), repeat(subOneAll([3]))), mul(sub(addOneAll([3]), sub([8], [5])), sub(addOneAll([10]), div([12], [13]))), concatenate(addOneAll(concatenate([6], [10])), mul(subOneAll([7]), sub([11], [1])))), mul(add(sub(sub([6], [8]), div([7], [4])), concatenate(repeat([11]), addOneAll([7]))), concatenate(mul(if_then_else([3], [13], [4], [2]), subOneAll([1])), add(if_then_else([7], [12], [5], [6]), repeat([2])))))), subOneAll(div(sub(if_then_else(add(sub([12], [13]), subOneAll([8])), mul(add([1], [9]), addOneAll([2])), mul(repeat([9]), add([11], [2])), sub(concatenate([10], [6]), concatenate([9], [5]))), concatenate(div(addOneAll([13]), sub([13], [11])), subOneAll(if_then_else([9], [9], [11], [11])))), if_then_else(mul(mul(repeat([4]), repeat([13])), mul(mul([1], [9]), mul([8], [4]))), repeat(addOneAll(if_then_else([4], [3], [6], [5]))), mul(sub(div([12], [9]), repeat([6])), add(repeat([2]), concatenate([6], [13]))), sub(add(sub([3], [12]), repeat([2])), add(repeat([13]), concatenate([2], [8])))))))), concatenate([3], [7])), addOneAll(concatenate([3], [10]))), subOneAll(if_then_else(concatenate([7], [3]), sub([12], [8]), sub([9], [1]), repeat([6])))), if_then_else(sub(if_then_else(add([10], [9]), mul([5], [13]), repeat([4]), concatenate([5], [7])), concatenate(sub([1], [6]), concatenate([6], [13]))), sub(subOneAll(div([11], [12])), concatenate(addOneAll([11]), mul([11], [11]))), div(sub(div([8], [10]), add([8], [10])), subOneAll(add([3], [12]))), sub(repeat(add([9], [10])), mul(sub([1], [9]), subOneAll([5])))))), addOneAll(if_then_else(addOneAll(if_then_else(mul(if_then_else([5], [11], [3], [4]), div([7], [8])), repeat(mul([2], [4])), if_then_else(mul([7], [2]), if_then_else([7], [1], [3], [2]), addOneAll([12]), repeat([7])), add(if_then_else([7], [9], [9], [13]), div([9], [13])))), repeat(sub(mul(add([11], [1]), mul([13], [5])), sub(repeat([6]), add([13], [12])))), mul(div(add(div([8], [9]), mul([12], [6])), if_then_else(add([11], [5]), concatenate([6], [1]), subOneAll([10]), concatenate([8], [9]))), mul(div(repeat([9]), add([3], [9])), mul(concatenate([8], [4]), mul([2], [6])))), div(concatenate(sub(addOneAll([6]), div([2], [10])), mul(subOneAll([3]), sub([13], [4]))), sub(subOneAll(sub([12], [9])), sub(sub([7], [12]), addOneAll([2])))))))","[13, 13, 2, 6, 1, 5, 13]"
0.9,109.0,7,"[6, 6, 6, 6]",0.6984886554222364,"if_then_else(div(if_then_else(repeat(mul(repeat([2]), subOneAll([6]))), add(subOneAll(subOneAll([10])), subOneAll(concatenate([11], [11]))), subOneAll(repeat(sub([1], [11]))), addOneAll(div(if_then_else([5], [3], [10], [4]), concatenate([5], [9])))), mul(addOneAll(sub(addOneAll([3]), concatenate([7], [11]))), if_then_else(addOneAll(addOneAll([1])), div(add([9], [11]), repeat([1])), concatenate(add([5], [1]), if_then_else([7], [13], [11], [12])), if_then_else(add([13], [11]), add([4], [13]), repeat([8]), add([3], [3]))))), mul(repeat(sub(sub(addOneAll([8]), add([12], [11])), mul(concatenate([10], [6]), repeat([2])))), mul(add(sub(repeat([11]), repeat([9])), mul(if_then_else([10], [9], [10], [7]), addOneAll([2]))), add(concatenate(add([10], [6]), concatenate([2], [3])), div(subOneAll([8]), add([6], [8]))))), subOneAll(sub(sub(add(div([7], [4]), sub([2], [13])), concatenate(subOneAll([11]), mul([6], [5]))), mul(addOneAll(addOneAll([5])), add(repeat([7]), mul([6], [7]))))), repeat(sub(concatenate(add(concatenate([8], [11]), add([3], [10])), if_then_else(div([4], [12]), add([1], subOneAll(add(mul(mul(addOneAll(mul(sub([9], [11]), sub([11], [4]))), subOneAll(mul(concatenate([7], [10]), concatenate([1], [3])))), if_then_else(sub(div(addOneAll([8]), addOneAll([8])), mul(if_then_else([6], [6], [4], [8]), add([3], [11]))), addOneAll(concatenate(if_then_else([11], [3], [11], [12]), repeat([8]))), sub(concatenate(concatenate([8], [1]), addOneAll([11])), div(concatenate([3], [6]), if_then_else([3], [11], [7], [6]))), if_then_else(subOneAll(add([9], [8])), mul(if_then_else([10], [5], [7], [3]), div([5], [8])), sub(repeat([3]), subOneAll([13])), sub(if_then_else([11], [12], [7], [12]), concatenate([5], [13]))))), div(concatenate(add(repeat(if_then_else([7], [7], [4], [11])), add(concatenate([13], [7]), if_then_else([1], [6], [2], [3]))), div(concatenate(subOneAll([9]), if_then_else([11], [1], [11], [8])), div(add([6], [12]), repeat([6])))), subOneAll(mul(if_then_else(repeat([10]), addOneAll([9]), if_then_else([1], [5], [5], [4]), concatenate([9], [1])), concatenate(repeat([4]), div([9], [6])))))))), add([5], [3]), add([10], [13]))), subOneAll(mul(subOneAll([11]), sub([6], [13]))))))","[2, 11, 2, 11, 6, 1, 12]"
