size,Avg_max_fit,Gen,Dataset,CosDist,Hof
80,109.0,15,"[6, 6, 6, 6]",1.0,"if_then_else(sub(addOneAll(repeat(add(addOneAll(repeat([2])), subOneAll(repeat([8]))))), div(repeat(div(concatenate(sub([6], [6]), mul([2], [13])), concatenate(add([6], [1]), mul([11], [3])))), mul(repeat(concatenate(repeat([7]), repeat([5]))), if_then_else(add(sub([3], [3]), sub([2], [10])), if_then_else(if_then_else([3], [2], [2], [4]), subOneAll([2]), subOneAll([5]), div([11], [2])), sub(mul([2], [10]), sub([5], [1])), concatenate(mul([11], [13]), addOneAll([6])))))), if_then_else(concatenate(repeat(repeat(subOneAll(addOneAll([2])))), add(concatenate(if_then_else(sub([12], [9]), repeat([5]), add([8], [12]), concatenate([13], [3])), add(subOneAll([9]), subOneAll([6]))), addOneAll(addOneAll(div([4], [10]))))), addOneAll(div(add(mul(repeat([1]), subOneAll([10])), concatenate(subOneAll([6]), if_then_else([6], [3], [3], [4]))), mul(add(repeat([2]), addOneAll([7])), if_then_else(sub([5], [8]), sub([3], [3]), repeat([7]), concatenate([4], [10]))))), add(subOneAll(addOneAll(mul(add([7], [10]), addOneAll([6])))), repeat(add(if_then_else(sub([10], [1]), concatenate([2], [5]), sub([2], [12]), mul([7], [11])), addOneAll(add([1], [13]))))), div(mul(addOneAll(concatenate(mul([9], [1]), add([6], [2]))), add(repeat(repeat([6])), add(concatenate([9], [11]), sub([6], [12])))), subOneAll(addOneAll(repeat(repeat([10])))))), addOneAll(add(addOneAll(div(repeat(mul([6], [2])), sub(div([5], [8]), addOneAll([2])))), subOneAll(subOneAll(add(addOneAll([8]), addOneAll([1])))))), sub(concatenate(subOneAll(div(concatenate(sub([8], [11]), mul([8], [12])), mul(if_then_else([6], [12], [1], [10]), concatenate([5], [4])))), concatenate(if_then_else(repeat(if_then_else([3], [9], [11], [13])), concatenate(concatenate([7], [12]), div([7], [10])), add(div([6], [11]), div([7], [1])), addOneAll(repeat([12]))), concatenate(addOneAll(div([12], [13])), div(mul([8], [2]), mul([12], [5]))))), repeat(addOneAll(subOneAll(repeat(concatenate([5], [1])))))))","[4, 12, 4, 12, 10, 1, 3, 11, 3, 11, 13, 13, 2, 10]"
81,109.0,51,"[6, 6, 6, 6]",0.39697731084447274,"if_then_else(if_then_else(addOneAll(repeat(add([9], [8]))), div(addOneAll(div([4], [10])), mul(div([11], [11]), subOneAll([5]))), concatenate(div(repeat([1]), div([2], [1])), add(concatenate([7], [8]), mul([7], [1]))), sub(mul(add([13], [5]), sub([8], [6])), concatenate(subOneAll([9]), add([3], [6])))), subOneAll(add(repeat(repeat([3])), repeat(subOneAll([3])))), if_then_else(if_then_else(sub(sub([13], [1]), sub([6], [12])), add(addOneAll([2]), add([7], [9])), add(mul([4], [10]), sub([13], [2])), addOneAll(concatenate([13], [9]))), repeat(subOneAll(subOneAll([11]))), sub(concatenate(mul([2], [12]), div([4], [4])), concatenate(add([7], [2]), mul([2], [1]))), if_then_else(concatenate(addOneAll([10]), div([10], [12])), subOneAll(add([13], [3])), div(add([5], [10]), mul([7], [13])), subOneAll(sub([13], [4])))), sub(addOneAll(repeat(if_then_else([10], [10], [2], [13]))), repeat(sub(subOneAll([11]), addOneAll([5])))))","[6, 6, 12, 11, 1, 11, 10]"
82,109.0,13,"[6, 6, 6, 6]",0.7817821097640076,"mul(if_then_else(if_then_else(if_then_else(mul(concatenate(sub([13], [10]), mul([6], [13])), if_then_else(sub([10], [12]), sub([1], [3]), add([8], [5]), if_then_else([1], [5], [9], [13]))), if_then_else(if_then_else(div([4], [2]), if_then_else([8], [4], [8], [10]), add([1], [2]), repeat([6])), mul(sub([5], [4]), mul([7], [7])), addOneAll(div([12], [2])), div(div([3], [8]), mul([8], [5]))), div(add(add([2], [12]), repeat([9])), sub(sub([11], [8]), repeat([12]))), concatenate(addOneAll(if_then_else([13], [2], [3], [11])), repeat(div([4], [2])))), addOneAll(add(sub(mul([7], [9]), add([5], [11])), sub(sub([11], [11]), concatenate([12], [4])))), mul(div(sub(subOneAll([4]), add([11], [3])), mul(mul([5], [2]), sub([11], [10]))), div(sub(addOneAll([13]), add([8], [8])), div(addOneAll([3]), add([1], [4])))), if_then_else(addOneAll(mul(div([7], [12]), mul([1], [11]))), addOneAll(concatenate(div([13], [4]), repeat([6]))), div(if_then_else(subOneAll([1]), subOneAll([12]), sub([1], [4]), sub([5], [8])), repeat(repeat([6]))), div(addOneAll(addOneAll([1])), add(sub([7], [2]), concatenate([2], [1]))))), mul(mul(add(div(div([2], [2]), add([11], [2])), sub(div([12], [10]), add([13], [7]))), concatenate(add(subOneAll([9]), mul([2], [6])), mul(concatenate([12], [9]), subOneAll([5])))), div(if_then_else(add(sub([6], [5]), sub([10], [13])), addOneAll(mul([13], [12])), concatenate(addOneAll([8]), repeat([6])), subOneAll(sub([11], [8]))), add(subOneAll(add([6], [7])), repeat(repeat([2]))))), mul(add(repeat(addOneAll(subOneAll([3]))), subOneAll(mul(repeat([12]), mul([8], [7])))), concatenate(subOneAll(addOneAll(div([3], [2]))), sub(div(subOneAll([8]), sub([5], [6])), add(sub([12], [7]), subOneAll([13]))))), addOneAll(div(subOneAll(add(add([8], [3]), add([10], [12]))), if_then_else(mul(concatenate([6], [7]), div([8], [6])), if_then_else(add([10], [2]), sub([3], [5]), addOneAll([4]), div([6], [10])), add(div([8], [12]), concatenate([7], [7])), mul(sub([11], [4]), subOneAll([2])))))), div(div(subOneAll(concatenate(mul(div([8], [13]), mul([13], [5])), div(addOneAll([12]), if_then_else([11], [11], [8], [2])))), div(mul(repeat(repeat([2])), subOneAll(div([7], [6]))), subOneAll(repeat(add([6], [11]))))), add(if_then_else(addOneAll(addOneAll(if_then_else([2], [4], [3], [13]))), concatenate(add(concatenate([2], [2]), add([13], [11])), add(sub([7], [3]), if_then_else([2], [10], [6], [2]))), repeat(mul(sub([10], [12]), div([10], [12]))), mul(subOneAll(concatenate([11], [6])), subOneAll(subOneAll([9])))), mul(add(mul(concatenate([1], [6]), addOneAll([11])), div(div([12], [11]), sub([5], [10]))), addOneAll(sub(div([10], [12]), subOneAll([8])))))))","[4, 13, 1, 12, 3, 3, 1, 13, 2, 3, 6]"
83,108.988,30,"[6, 6, 6, 6]",1.0,"repeat(add(if_then_else(if_then_else(subOneAll([5]), repeat([5]), add([7], [5]), mul([2], [11])), repeat(add([4], [2])), mul(mul([1], [5]), subOneAll([8])), div(concatenate([3], [8]), add([5], [12]))), div(if_then_else(mul([12], [7]), if_then_else([12], [12], [6], [4]), repeat([2]), repeat([2])), sub(subOneAll([3]), addOneAll([8])))))","[4, 13, 3, 10, 4, 13, 3, 10]"
84,109.0,66,"[6, 6, 6, 6]",1.0,"concatenate(subOneAll(repeat(mul(add(addOneAll(sub([11], [7])), subOneAll(subOneAll([11]))), mul(repeat(sub([3], [11])), repeat(repeat([1])))))), repeat(concatenate(if_then_else(sub(repeat(sub([9], [7])), div(sub([5], [13]), subOneAll([8]))), add(addOneAll(add([4], [13])), concatenate(div([5], [11]), concatenate([3], [9]))), addOneAll(concatenate(addOneAll([13]), add([11], [2]))), div(add(concatenate([1], [10]), subOneAll([10])), div(mul([11], [2]), add([9], [4])))), repeat(subOneAll(add(sub([13], [7]), concatenate([10], [12])))))))","[5, 5, 3, 3, 2, 2, 4, 4, 3, 3, 2, 2, 4, 4]"
