mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,109.0,3,"[6, 6, 6, 6]",1.0,"[2, 13, 2, 13, 2, 1, 11]"
0.1,109.0,4,"[6, 6, 6, 6]",0.5917517095361369,"[10, 12, 10, 6, 10, 12, 10, 6]"
0.2,109.0,17,"[6, 6, 6, 6]",0.7763932022500211,"[2, 4, 12, 4, 10, 4, 2, 6, 13, 13]"
0.3,109.0,8,"[6, 6, 6, 6]",0.8740118423302576,"[2, 10, 10, 10, 10, 10, 2, 12, 10, 12, 10, 12, 6]"
0.4,108.988,45,"[6, 6, 6, 6]",0.8377785788692375,"[3, 6, 12, 4, 12, 4, 10, 12, 4, 12, 4, 10]"
0.5,108.95,25,"[6, 6, 6, 6]",0.5411685322588765,"[6, 10, 6, 10, 3, 3, 4, 2, 3]"
0.6,108.888,44,"[6, 6, 6, 6]",1.0,"[2, 2, 4, 10, 2, 13, 5]"
0.7,108.988,23,"[6, 6, 6, 6]",1.0,"[3, 2, 3, 2, 1, 1, 5, 1, 1, 5]"
0.8,108.938,45,"[6, 6, 6, 6]",0.4836022205056778,"[10, 6, 11, 3, 3, 6, 3]"
0.9,109.0,27,"[6, 6, 6, 6]",0.75,"[2, 2, 2, 3, 10, 1, 10, 6]"
