cross,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,109.0,7,"[6, 6, 6, 6]",0.7867992836443896,"[12, 12, 13, 13, 10, 2, 3, 6, 10, 2, 1, 1]"
0.1,109.0,15,"[6, 6, 6, 6]",0.6984886554222364,"[2, 3, 2, 3, 4, 5, 6]"
0.2,109.0,14,"[6, 6, 6, 6]",0.7226499018873854,"[5, 6, 2, 1, 1, 1, 13]"
0.3,109.0,44,"[6, 6, 6, 6]",0.4654775161751512,"[6, 2, 4, 12, 6, 2, 4, 3]"
0.4,108.988,37,"[6, 6, 6, 6]",0.7226499018873854,"[6, 1, 2, 13, 1, 2, 13]"
0.5,109.0,33,"[6, 6, 6, 6]",1.0,"[3, 3, 11, 10, 13, 3, 3, 11, 10, 13, 4, 4]"
0.6,109.0,49,"[6, 6, 6, 6]",0.5149287499273341,"[3, 2, 6, 1, 3, 2, 6, 1, 4]"
0.7,108.988,43,"[6, 6, 6, 6]",1.0,"[11, 13, 1, 3, 12, 2, 12, 2, 3]"
0.8,108.975,15,"[6, 6, 6, 6]",1.0,"[13, 2, 13, 2, 10, 3, 10, 3, 1]"
