mutate,Max_fit,Gen,Dataset,Dist,Hof
0.0,13.0,0,"[7, 7, 7, 7, 7, 7, 7]",0.2928932188134524,"[3, 7]"
0.1,13.0,0,"[7, 7, 7, 7, 7, 7]",0.10557280900008414,"[7, 4, 7]"
0.2,11.0,9,"[6, 7, 7, 7, 7]",0.18590842158930576,"[7, 3, 6, 7, 4, 4, 7]"
0.30000000000000004,11.0,13,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.18670537878318916,"[4, 6, 11, 4, 3, 9, 9, 3]"
0.4,12.0,3,"[6, 7]",0.18350341907227408,"[3, 7, 6, 3, 6, 7]"
0.5,9.0,22,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2014957943904805,"[3, 4, 3, 7, 4, 6, 3, 7, 9, 9]"
0.6000000000000001,11.0,10,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.24450264348062567,"[4, 6, 3, 2, 3, 3, 9, 7, 1]"
0.7000000000000001,9.0,32,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14406598736065113,"[3, 7, 3, 4, 6, 7, 9, 4, 9, 4, 3]"
0.8,9.0,24,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2014957943904805,"[3, 7, 3, 4, 6, 4, 3, 9, 9, 7]"
0.9,9.0,49,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14406598736065113,"[3, 7, 4, 6, 3, 4, 9, 3, 9, 7, 4]"
