mu,Max_fit,Gen,Dataset,Dist,Hof
60,9.0,64,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2014957943904805,"[3, 7, 6, 7, 4, 9, 9, 4, 3, 4]"
61,11.0,17,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.11776915844926794,"[7, 6, 4, 9, 3, 4, 3]"
62,9.0,52,"[7, 7, 7, 7, 7, 7]",0.18889289434618728,"[3, 3, 3, 7, 7, 7, 7, 7, 4, 4]"
63,9.0,36,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.28806649533225837,"[4, 7, 7, 4, 6, 4, 7, 4, 9, 3, 4]"
64,9.0,55,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.3576834832770398,"[7, 7, 3, 6, 3, 3, 9, 9, 3, 3]"
65,9.0,40,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.21159950376363046,"[3, 7, 4, 4, 4, 3, 6, 9, 9, 9]"
66,10.0,69,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.28274156321128097,"[4, 7, 7, 4, 3, 9, 4, 9]"
67,9.0,32,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.3162018509268988,"[7, 7, 4, 4, 7, 9, 3, 9, 4, 4]"
68,11.0,16,"[7, 9, 9, 7, 9]",0.1501634144012024,"[7, 9, 9, 9, 3, 4, 7, 4]"
69,10.0,60,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14076541833431244,"[3, 7, 3, 6, 9, 9, 4, 3, 4]"
